Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
57.25,32.8,43.849999999999994,15.049999999999999,23.8,66.55000000000001,52.8,53.5
54.400000000000006,31.55,41.849999999999994,14.5,22.7,64.25,50.5,51.5
52.5,30.7,40.3,14.05,21.6,63.4,49.2,50.4
50.55,30.15,39.2,13.350000000000001,21.0,62.75,48.2,49.3
49.1,29.6,38.5,12.95,20.4,61.95,47.3,48.7
47.65,29.2,37.8,12.55,19.9,61.400000000000006,46.6,47.7
46.6,28.9,37.25,12.3,19.5,60.849999999999994,46.1,46.9
45.7,28.55,36.8,12.05,19.0,60.3,45.3,46.2
44.5,28.35,36.3,11.85,18.6,59.65,44.9,45.7
43.75,28.05,35.849999999999994,11.5,18.2,59.15,44.4,45.3
43.5,27.85,35.349999999999994,11.25,17.8,58.6,44.0,44.9
43.1,27.6,34.9,11.05,17.6,58.25,43.6,44.7
42.6,27.4,34.6,11.0,17.4,57.95,43.4,44.5
42.400000000000006,27.25,34.4,11.0,17.2,57.8,43.0,44.5
44.3,27.1,34.8,11.149999999999999,17.2,58.65,43.7,45.2
48.3,28.4,37.4,12.4,19.8,61.95,47.0,50.1
52.75,30.6,40.95,12.649999999999999,22.0,65.7,49.9,55.2
56.2,32.7,43.3,12.8,24.7,69.0,52.5,58.7
59.150000000000006,34.5,45.4,14.15,26.3,70.85,54.5,59.3
61.3,36.0,47.25,15.7,27.7,71.75,56.2,59.2
62.650000000000006,36.8,48.2,16.55,28.7,71.9,57.5,59.8
63.6,36.9,48.75,16.7,28.8,71.55,58.0,59.3
63.949999999999996,36.2,48.3,16.3,27.4,70.85,57.6,58.0
61.9,34.75,46.55,15.600000000000001,25.3,69.45,55.9,56.1
57.6,32.650000000000006,43.75,14.95,23.7,66.4,52.9,53.6
54.75,31.5,41.75,14.45,22.7,64.15,50.4,51.7
52.7,30.65,40.349999999999994,13.9,21.8,63.3,49.1,50.7
50.849999999999994,29.95,39.25,13.2,21.0,62.6,48.1,49.5
49.25,29.45,38.6,12.75,20.3,61.75,47.1,48.8
47.85,29.05,38.0,12.399999999999999,19.8,61.3,46.6,48.0
46.85,28.8,37.25,12.149999999999999,19.4,60.650000000000006,45.9,47.1
45.900000000000006,28.45,36.75,12.0,18.9,60.15,45.3,46.4
44.650000000000006,28.25,36.25,11.85,18.5,59.5,44.8,45.9
43.95,28.0,35.650000000000006,11.5,18.2,59.05,44.2,45.5
43.7,27.8,35.150000000000006,11.25,17.9,58.45,43.8,45.1
43.150000000000006,27.45,34.75,11.05,17.4,58.099999999999994,43.5,44.8
42.6,27.2,34.5,11.05,17.3,57.8,43.3,44.6
42.400000000000006,26.95,34.3,11.15,17.0,57.6,42.9,44.7
44.5,26.95,34.6,11.149999999999999,17.1,58.45,43.6,45.3
48.55,28.3,37.3,12.15,19.8,61.8,46.9,50.2
53.0,30.6,40.849999999999994,12.3,22.1,65.55000000000001,49.8,55.2
56.5,32.55,43.2,12.55,24.7,68.85,52.4,58.8
59.4,34.45,45.25,13.95,26.4,70.69999999999999,54.5,59.3
61.6,35.95,47.150000000000006,15.5,27.8,71.6,56.2,59.3
63.0,36.849999999999994,48.099999999999994,16.5,29.1,71.75,57.4,60.0
63.849999999999994,36.9,48.7,16.65,29.0,71.35,57.9,59.5
64.25,36.2,48.150000000000006,16.25,28.1,70.5,57.5,58.3
62.25,34.6,46.45,15.4,25.7,69.15,55.9,56.2
57.9,32.55,43.6,14.65,23.6,66.15,52.8,53.9
54.95,31.3,41.7,14.05,22.6,63.95,50.2,51.8
53.05,30.6,40.3,13.75,21.7,63.1,48.8,50.8
51.05,29.95,39.0,13.25,20.8,62.4,47.8,49.6
49.45,29.4,38.4,12.7,20.1,61.6,47.0,48.8
48.099999999999994,29.0,37.9,12.35,19.7,61.15,46.3,48.0
47.0,28.55,37.1,12.149999999999999,19.3,60.55,45.5,47.3
46.0,28.3,36.6,11.95,18.9,60.0,44.9,46.5
44.849999999999994,28.05,36.05,11.8,18.5,59.35,44.5,46.0
44.15,27.8,35.5,11.45,18.1,58.849999999999994,43.9,45.6
43.9,27.5,35.150000000000006,11.2,17.8,58.25,43.5,45.2
43.4,27.2,34.7,11.0,17.4,57.9,43.1,44.8
42.8,26.9,34.349999999999994,10.95,17.2,57.5,42.9,44.7
42.65,26.75,34.1,11.05,17.0,57.4,42.5,44.8
44.6,26.7,34.45,11.0,17.1,58.25,43.3,45.3
48.7,28.1,37.150000000000006,11.85,19.7,61.599999999999994,46.7,50.2
53.150000000000006,30.299999999999997,40.650000000000006,12.0,22.2,65.3,49.6,55.3
56.7,32.4,43.0,12.2,24.7,68.55000000000001,52.3,59.0
59.55,34.25,45.2,13.55,26.5,70.4,54.5,59.6
61.849999999999994,35.9,47.05,15.15,27.9,71.3,56.2,59.6
63.2,36.75,48.05,16.4,29.0,71.55,57.4,60.3
64.15,36.9,48.6,16.6,29.2,71.1,57.9,59.8
64.44999999999999,36.2,48.150000000000006,16.05,28.3,70.30000000000001,57.6,58.6
62.45,34.5,46.4,15.25,26.0,68.85,55.7,56.5
58.150000000000006,32.55,43.5,14.5,23.8,65.85,52.7,54.0
55.349999999999994,31.3,41.55,13.95,22.7,63.6,50.1,52.0
53.3,30.5,40.2,13.5,21.7,62.7,48.6,50.9
51.25,29.9,39.0,13.25,20.8,62.0,47.6,49.6
49.65,29.4,38.3,12.65,20.1,61.25,46.8,48.8
48.400000000000006,28.95,37.75,12.3,19.6,60.65,46.0,48.1
47.25,28.4,37.05,12.05,19.3,60.0,45.3,47.3
46.25,28.0,36.5,11.9,18.9,59.5,44.9,46.6
45.1,27.8,35.9,11.7,18.6,58.849999999999994,44.4,46.0
44.4,27.4,35.349999999999994,11.35,18.2,58.349999999999994,43.8,45.7
44.1,27.2,35.0,11.1,17.8,57.75,43.4,45.2
43.5,26.9,34.55,10.9,17.4,57.349999999999994,43.0,44.7
42.9,26.65,34.25,10.9,17.1,57.05,42.7,44.8
42.7,26.55,33.95,11.0,16.9,56.95,42.4,44.8
44.9,26.65,34.349999999999994,11.0,17.3,57.75,43.2,45.3
49.0,28.0,37.05,11.75,19.7,61.15,46.5,50.2
53.5,30.1,40.55,11.85,22.2,64.85,49.5,55.4
57.0,32.2,42.849999999999994,12.1,24.9,68.1,52.2,59.4
59.849999999999994,34.1,45.150000000000006,13.5,26.8,69.95,54.5,59.8
62.2,35.75,47.05,15.15,28.0,70.85,56.1,59.9
63.5,36.6,48.0,16.25,28.9,71.1,57.3,60.5
64.55,36.7,48.650000000000006,16.5,29.1,70.7,57.9,60.0
64.85,36.0,48.25,15.95,28.2,69.85,57.6,58.7
62.5,34.4,46.349999999999994,15.149999999999999,25.9,68.5,55.8,56.8
58.55,32.5,43.650000000000006,14.350000000000001,24.2,65.4,52.7,54.2
