Cluster 0,Cluster 1,Cluster 2,Cluster 3
35.30427807486631,23.358333333333334,47.269642857142856,24.772321428571427
34.8096256684492,23.019444444444446,46.666071428571435,24.36205357142857
34.36737967914439,22.74027777777778,46.142857142857146,24.01294642857143
33.959358288770055,22.46527777777778,45.6736607142857,23.701339285714287
33.57967914438503,22.243055555555557,45.23303571428572,23.41339285714286
33.24866310160428,21.993055555555557,44.831696428571426,23.14821428571429
32.99679144385028,21.8,44.488392857142856,22.932142857142853
32.76310160427808,21.640277777777776,44.220535714285724,22.746874999999996
33.21711229946524,21.856944444444444,44.910267857142856,22.925892857142856
35.84812834224599,23.98611111111111,48.05223214285714,24.641517857142855
38.65508021390374,26.620833333333334,51.325892857142854,26.920982142857138
41.08342245989304,28.934722222222224,54.122767857142854,28.96116071428571
43.00267379679144,30.77777777777778,56.223214285714285,30.60669642857143
44.40267379679144,32.087500000000006,57.731249999999996,31.795982142857145
45.28395721925134,32.82222222222222,58.67678571428571,32.473660714285714
45.52032085561497,32.96388888888889,59.00892857142856,32.540625
44.90695187165775,32.204166666666666,58.550446428571426,31.781249999999996
42.84117647058824,30.07638888888889,56.74241071428571,30.005357142857147
40.56898395721925,27.97361111111111,53.767410714285724,28.476339285714285
39.06256684491979,26.733333333333334,51.68035714285714,27.412946428571427
37.97219251336898,25.87222222222222,50.38392857142857,26.693303571428572
37.08716577540107,25.205555555555556,49.361607142857146,26.086160714285715
36.36577540106952,24.63888888888889,48.49910714285714,25.56517857142857
35.7427807486631,24.168055555555554,47.783482142857146,25.102678571428573
35.18395721925133,23.783333333333335,47.16160714285714,24.71607142857143
34.705882352941174,23.436111111111114,46.549107142857146,24.311160714285712
34.26791443850267,23.144444444444446,46.020089285714285,23.96473214285714
33.875401069518716,22.868055555555557,45.551785714285714,23.652232142857144
33.50534759358289,22.637500000000003,45.107142857142854,23.364285714285717
33.18609625668449,22.393055555555556,44.716517857142854,23.10178571428571
32.94385026737968,22.206944444444442,44.361607142857146,22.888392857142858
32.72352941176471,22.033333333333335,44.10133928571429,22.70357142857143
33.185561497326205,22.25138888888889,44.796875,22.88705357142857
35.81497326203208,24.365277777777777,47.93839285714286,24.606249999999996
38.63208556149733,27.01388888888889,51.221875000000004,26.88080357142857
41.071122994652406,29.325000000000003,54.03660714285714,28.939285714285713
43.0048128342246,31.18333333333333,56.136160714285715,30.592857142857138
44.4149732620321,32.50416666666666,57.65892857142857,31.791964285714283
45.300000000000004,33.24166666666666,58.61562500000001,32.47589285714286
45.554010695187166,33.393055555555556,58.95714285714286,32.56160714285714
44.97219251336899,32.64166666666667,58.518750000000004,31.81785714285714
42.94438502673796,30.533333333333328,56.73258928571429,30.052232142857143
40.67647058823529,28.413888888888888,53.763392857142854,28.494642857142853
39.159893048128346,27.16388888888889,51.67767857142858,27.404910714285716
38.067914438502676,26.31527777777778,50.39821428571429,26.670982142857145
37.19625668449198,25.62777777777778,49.369642857142864,26.046875
36.47165775401069,25.02777777777778,48.517857142857146,25.520982142857143
35.850802139037434,24.549999999999997,47.80446428571429,25.052232142857147
35.2903743315508,24.134722222222226,47.183035714285715,24.659375000000004
34.80534759358289,23.768055555555556,46.58214285714286,24.245089285714283
34.36310160427807,23.46805555555555,46.059374999999996,23.889732142857145
33.96631016042781,23.174999999999997,45.60133928571429,23.576785714285712
33.58609625668449,22.916666666666668,45.15758928571428,23.279910714285716
33.258823529411764,22.65972222222222,44.77321428571429,23.021874999999998
33.00588235294118,22.479166666666668,44.43928571428571,22.802232142857143
32.78181818181819,22.302777777777777,44.178125,22.620535714285715
33.241176470588236,22.508333333333333,44.864285714285714,22.80535714285714
35.89893048128342,24.65972222222222,48.011160714285715,24.54732142857143
38.724598930481285,27.34722222222222,51.27767857142857,26.83839285714286
41.168449197860966,29.6875,54.08794642857142,28.925892857142856
43.110695187165774,31.5625,56.190178571428575,30.599999999999998
44.52673796791443,32.87777777777777,57.707142857142856,31.80178571428571
45.41818181818182,33.61666666666667,58.677678571428565,32.51383928571429
45.68181818181818,33.76944444444444,59.02857142857143,32.612946428571426
45.09732620320856,33.00416666666667,58.60223214285714,31.872767857142858
43.07860962566844,30.887499999999996,56.854464285714286,30.10580357142857
40.781818181818174,28.70138888888889,53.90491071428572,28.526339285714283
39.25080213903744,27.41111111111111,51.80714285714286,27.44107142857143
38.15347593582888,26.53194444444445,50.513392857142854,26.701339285714287
37.261497326203205,25.827777777777776,49.48616071428571,26.08080357142857
36.53368983957219,25.240277777777777,48.63080357142858,25.550446428571426
35.912834224598924,24.758333333333336,47.903571428571425,25.089732142857144
35.336898395721924,24.359722222222224,47.270089285714285,24.69821428571429
34.8475935828877,23.981944444444444,46.66116071428571,24.284821428571433
34.398395721925134,23.67638888888889,46.13125,23.932142857142853
33.99786096256685,23.38472222222222,45.65535714285714,23.62455357142857
33.62673796791444,23.116666666666667,45.208482142857136,23.321428571428573
33.297326203208556,22.866666666666667,44.82098214285715,23.067410714285717
33.04866310160428,22.686111111111114,44.48080357142857,22.837946428571428
32.83262032085561,22.512500000000003,44.215624999999996,22.654910714285716
33.29358288770053,22.709722222222222,44.90089285714286,22.83794642857143
35.94652406417112,24.84583333333333,48.07544642857143,24.579910714285713
38.772192513368985,27.518055555555556,51.37633928571428,26.874107142857145
41.21497326203208,29.854166666666668,54.20401785714286,28.954910714285713
43.15187165775401,31.72361111111111,56.324553571428574,30.620535714285715
44.57807486631015,33.03611111111111,57.86026785714285,31.815625000000004
45.46524064171123,33.77916666666667,58.83705357142857,32.51116071428571
45.72139037433155,33.912499999999994,59.19375000000001,32.60848214285714
45.144919786096246,33.145833333333336,58.78214285714286,31.866964285714285
43.151336898395726,31.037499999999998,57.03303571428571,30.11696428571429
40.87540106951872,28.81666666666667,54.050000000000004,28.535267857142856
39.355614973262036,27.509722222222223,51.91383928571428,27.456250000000004
38.269518716577544,26.619444444444444,50.603125,26.705357142857142
37.38877005347594,25.912500000000005,49.55491071428571,26.091517857142858
36.67326203208557,25.316666666666663,48.699553571428574,25.56294642857143
36.05508021390374,24.806944444444447,47.966517857142854,25.089285714285715
35.490374331550804,24.40277777777778,47.330357142857146,24.688392857142862
34.99946524064171,24.020833333333332,46.70714285714285,24.267857142857142
34.548663101604284,23.71527777777778,46.16651785714286,23.909375
34.155080213903744,23.419444444444444,45.67232142857143,23.591517857142858
33.77326203208556,23.155555555555555,45.214285714285715,23.28392857142857
33.43743315508022,22.891666666666666,44.81919642857143,23.01517857142857
33.18609625668449,22.705555555555556,44.48080357142857,22.776339285714283
32.96417112299466,22.525,44.201339285714276,22.584375
33.41604278074866,22.720833333333335,44.88883928571429,22.74910714285715
36.04705882352941,24.84861111111111,48.089285714285715,24.46160714285714
38.85401069518717,27.522222222222226,51.41294642857143,26.728125000000002
41.28556149732621,29.852777777777774,54.261160714285715,28.78125
43.22032085561498,31.71944444444444,56.390625,30.439285714285713
44.641176470588235,33.025000000000006,57.92991071428571,31.61651785714286
45.5283422459893,33.78333333333333,58.91160714285714,32.308928571428574
45.789304812834224,33.92638888888889,59.269196428571426,32.402678571428574
45.216577540106954,33.163888888888884,58.85758928571429,31.680803571428573
43.248128342245984,31.07083333333334,57.109375,29.941517857142856
40.94759358288769,28.82222222222222,54.09375,28.35089285714286
39.41336898395721,27.522222222222222,51.925892857142856,27.267857142857142
