day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93,Median
33.6,34.7,35.65,37.05,38.55,40.6,44.25,46.7,47.95,48.35,48.35,47.5,46.55,45.0,43.35,41.45,38.6,36.0,34.1,34.7,35.45,36.3,37.5,38.8,40.1,41.35,43.1,45.0,47.150000000000006,50.2,53.7,55.7,56.650000000000006,57.15,57.2,56.75,55.7,54.3,52.45,50.55,48.05,45.25,42.05,41.35,42.4,43.3,44.35,45.75,47.150000000000006,48.5,49.9,52.1,55.150000000000006,58.95,62.2,63.85,64.45,64.95,64.94999999999999,64.35,63.8,62.55,61.05,59.2,56.9,54.0,51.1,49.6,50.150000000000006,51.4,52.5,53.650000000000006,55.05,56.8,58.45,60.55,63.2,67.19999999999999,69.8,71.4,72.6,73.30000000000001,73.3,72.65,71.5,69.95,68.05,65.8,63.35,60.3,58.0,55.65,56.25,57.150000000000006,52.275000000000006
32.8,33.8,34.8,36.05,37.150000000000006,38.65,40.650000000000006,44.5,46.8,48.05,48.5,48.7,47.75,46.85,45.35,43.9,41.8,39.0,36.2,34.25,34.85,35.65,36.7,38.0,39.3,40.35,41.9,43.6,45.5,47.650000000000006,50.6,53.95,56.0,57.0,57.35,57.35,57.05,56.0,54.75,53.05,51.05,48.65,45.65,42.1,41.75,42.65,43.35,44.7,46.1,47.55,49.0,50.4,52.8,55.6,59.2,62.25,63.9,64.8,65.2,65.25,64.95,64.2,63.1,61.650000000000006,59.75,57.4,54.4,51.4,49.9,50.5,51.8,52.7,54.2,55.55,57.150000000000006,58.85,60.9,63.6,67.5,69.95,71.85,72.95,73.4,73.25,72.75,71.65,69.95,68.55,66.0,63.5,60.55,58.3,55.95,56.5,52.25
32.2,33.0,34.1,35.2,36.150000000000006,37.35,38.85,40.75,44.75,46.85,48.2,48.85,48.85,48.150000000000006,47.15,45.95,44.3,42.0,39.3,36.45,34.5,35.099999999999994,35.95,37.2,38.4,39.55,40.85,42.3,44.1,45.8,48.0,50.8,54.35,56.25,57.25,57.8,57.7,57.400000000000006,56.400000000000006,55.1,53.45,51.5,49.2,45.900000000000006,42.5,42.0,42.65,43.7,45.05,46.4,48.05,49.6,51.0,53.25,55.9,59.45,62.3,64.05,64.95,65.5,65.80000000000001,65.45,64.7,63.55,62.25,60.45,57.900000000000006,54.8,51.8,50.2,51.05,52.05,53.1,54.5,55.85,57.45,59.1,61.05,63.6,67.80000000000001,70.35,71.9,72.9,73.3,73.35,72.7,71.7,70.55000000000001,68.75,66.25,63.75,60.75,58.55,56.2,51.925
31.55,32.5,33.4,34.45,35.3,36.45,37.7,39.05,40.95,44.8,47.150000000000006,48.7,49.35,49.2,48.6,47.5,46.35,44.650000000000006,42.3,39.7,36.8,34.7,35.45,36.4,37.55,38.650000000000006,39.85,41.35,42.75,44.650000000000006,45.95,48.150000000000006,51.05,54.6,56.6,57.7,58.0,57.95,57.75,56.85,55.650000000000006,53.95,52.1,49.35,46.2,42.8,41.95,42.9,43.95,45.3,46.8,48.4,50.0,51.4,53.400000000000006,56.2,59.8,62.45,64.3,65.55,66.0,66.25,65.9,65.1,63.95,62.7,60.95,58.35,55.25,52.3,50.55,51.45,52.35,53.45,54.8,56.2,57.6,59.3,61.0,63.7,68.05,70.5,72.05,73.0,73.4,73.35,72.95,72.05000000000001,70.85,68.85,66.5,64.0,61.05,58.8,52.2
31.1,31.9,32.8,33.8,34.650000000000006,35.6,36.75,37.8,39.3,41.35,45.15,47.5,49.0,49.6,49.6,49.0,48.1,46.75,44.95,42.7,40.05,37.150000000000006,35.2,35.849999999999994,36.7,37.85,39.150000000000006,40.35,41.85,43.2,44.85,46.0,48.45,51.45,54.8,56.95,58.05,58.3,58.3,58.25,57.25,56.2,54.45,52.5,49.6,46.45,42.9,42.2,43.2,44.3,45.8,47.4,48.95,50.3,51.85,53.650000000000006,56.25,59.9,62.65,64.69999999999999,65.85,66.55,66.6,66.35,65.5,64.6,63.15,61.35,58.85,55.7,52.7,50.9,51.75,52.7,53.650000000000006,55.1,56.5,57.75,59.35,61.150000000000006,64.15,68.15,70.8,72.3,73.1,73.5,73.65,73.05,72.19999999999999,71.15,69.19999999999999,66.65,64.35,61.4,52.175
30.8,31.35,32.150000000000006,33.2,34.0,34.9,35.849999999999994,36.95,38.2,39.8,41.650000000000006,45.5,47.95,49.25,49.9,49.95,49.35,48.3,47.150000000000006,45.45,43.05,40.5,37.7,35.6,36.1,37.05,38.25,39.45,40.8,42.2,43.6,44.85,46.35,48.75,51.9,55.150000000000006,57.35,58.35,58.7,59.05,58.650000000000006,57.650000000000006,56.45,54.75,52.6,49.95,46.8,43.25,42.5,43.6,44.7,46.2,47.85,49.25,50.35,52.0,53.7,56.45,60.2,63.150000000000006,65.25,66.45,67.19999999999999,67.19999999999999,67.0,65.95,65.1,63.6,61.8,59.35,56.1,53.150000000000006,51.5,52.0,52.9,53.9,55.45,56.75,57.8,59.5,61.55,64.75,68.35,70.9,72.45,73.2,73.80000000000001,73.9,73.45,72.75,71.44999999999999,69.55,67.0,64.7,52.0
30.5,31.05,31.8,32.55,33.45,34.2,35.150000000000006,36.0,37.150000000000006,38.6,40.150000000000006,42.1,45.95,48.45,49.650000000000006,50.2,50.05,49.6,48.85,47.45,45.8,43.3,41.05,38.25,35.9,36.35,37.35,38.6,39.85,41.1,42.400000000000006,43.75,45.25,46.6,48.95,52.150000000000006,55.55,57.7,58.7,59.45,59.5,59.1,57.9,56.7,54.9,53.05,50.2,47.150000000000006,43.55,42.95,43.95,45.1,46.7,48.15,49.35,50.650000000000006,52.150000000000006,53.95,56.7,60.650000000000006,63.65,65.80000000000001,67.05,67.55,67.55,67.25,66.65,65.5,64.0,62.2,59.650000000000006,56.4,53.6,51.9,52.3,53.150000000000006,54.3,55.6,56.85,58.05,59.75,61.7,64.80000000000001,68.6,71.0,72.55,73.5,74.2,74.25,73.69999999999999,73.0,71.69999999999999,70.05,67.5,52.150000000000006
31.05,30.7,31.4,32.05,32.8,33.6,34.4,35.3,36.3,37.6,38.85,40.6,42.5,46.55,48.8,50.05,50.45,50.45,50.05,49.05,47.9,46.1,43.9,41.55,38.7,36.25,36.65,37.650000000000006,38.9,40.2,41.4,42.55,44.05,45.5,46.9,49.2,52.45,55.95,58.2,59.3,59.95,59.9,59.3,58.150000000000006,56.95,55.2,53.3,50.45,47.5,43.95,43.25,44.15,45.75,47.05,48.15,49.55,50.85,52.3,54.45,56.95,61.0,64.05,66.35,67.4,67.75,68.15,68.0,67.1,65.95,64.44999999999999,62.55,59.8,56.85,53.85,52.1,52.5,53.5,54.55,55.85,57.1,58.25,59.9,61.95,64.8,68.65,71.05,72.85,73.9,74.55,74.65,73.9,73.25,72.1,70.4,52.2
33.95,31.4,30.9,31.65,32.2,33.0,33.849999999999994,34.45,35.5,36.45,37.75,39.2,40.95,42.95,46.9,49.3,50.25,50.7,50.75,50.35,49.45,48.2,46.650000000000006,44.4,41.9,39.1,36.75,36.900000000000006,38.1,39.3,40.5,41.5,42.7,44.25,45.650000000000006,47.1,49.65,52.9,56.5,58.5,59.8,60.25,60.05,59.650000000000006,58.55,57.25,55.55,53.6,50.8,47.9,44.45,43.400000000000006,44.75,46.2,47.3,48.45,49.7,51.1,52.45,54.75,57.3,61.55,64.45,66.65,67.69999999999999,68.15,68.75,68.45,67.5,66.4,65.0,62.95,60.3,57.3,54.2,52.400000000000006,52.8,53.8,54.8,56.1,57.3,58.65,60.35,62.35,65.15,68.95,71.1,73.05,74.30000000000001,74.95,74.9,74.3,73.7,72.55,51.75
37.2,34.150000000000006,31.6,31.200000000000003,31.75,32.4,33.150000000000006,34.0,34.650000000000006,35.650000000000006,36.7,38.0,39.4,41.3,43.5,47.35,49.55,50.45,51.1,51.150000000000006,50.75,49.85,48.95,47.1,45.0,42.35,39.5,37.1,37.4,38.45,39.6,40.650000000000006,41.6,42.95,44.6,45.9,47.3,50.0,53.35,56.9,58.9,60.1,60.45,60.35,59.85,58.85,57.650000000000006,55.8,54.0,51.35,48.4,45.0,44.0,45.25,46.45,47.55,48.55,50.0,51.45,52.95,55.15,57.8,61.8,65.1,66.95,68.05,68.8,69.3,68.85,67.85,66.94999999999999,65.25,63.15,60.650000000000006,57.85,54.6,52.5,53.150000000000006,54.0,55.1,56.4,57.6,58.8,60.6,62.650000000000006,65.3,69.05,71.35,73.35,74.8,75.3,75.2,74.8,74.15,51.400000000000006
