Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
44.3,28.78189655172414,42.257894736842104,58.10138888888889,21.666249999999998,46.340540540540545,17.739240506329118,10.46111111111111,32.84761904761905
43.47368421052631,28.445689655172412,41.64035087719298,57.583333333333336,21.17375,45.859459459459465,17.39873417721519,10.444444444444443,32.36666666666667
42.77368421052631,28.158620689655177,41.111111111111114,57.12916666666667,20.766250000000003,45.4054054054054,17.107594936708857,10.466666666666665,31.925396825396824
42.11578947368421,27.887068965517237,40.62865497076023,56.71805555555556,20.42625,45.0,16.836708860759494,10.433333333333334,31.519047619047615
41.478947368421046,27.606034482758623,40.18245614035087,56.354166666666664,20.09625,44.62702702702702,16.61139240506329,10.494444444444447,31.134920634920633
41.02105263157895,27.37844827586207,39.760233918128655,56.00833333333333,19.7875,44.31351351351352,16.38101265822785,10.511111111111113,30.795238095238098
40.52105263157895,27.187068965517245,39.40760233918129,55.729166666666664,19.560000000000002,44.12702702702702,16.182278481012656,10.477777777777778,30.52698412698413
40.28421052631578,27.028448275862075,39.10760233918129,55.525000000000006,19.34625,44.018918918918914,15.997468354430376,10.544444444444444,30.284126984126978
42.12105263157895,27.13879310344827,39.6,56.293055555555554,19.89,45.31351351351351,16.01392405063291,10.555555555555555,30.41984126984127
46.652631578947364,28.51293103448276,42.59766081871346,59.25,23.0,48.92972972972972,17.383544303797464,10.855555555555556,32.529365079365085
50.957894736842114,30.268103448275863,45.78538011695906,62.166666666666664,26.566250000000004,52.32162162162162,19.465822784810122,11.183333333333334,35.084920634920636
54.48421052631578,31.825000000000003,48.60643274853802,64.54861111111111,29.63125,54.88378378378378,21.441772151898736,11.627777777777776,37.400000000000006
57.0578947368421,33.09310344827586,50.8672514619883,66.225,31.95,56.435135135135134,23.073417721518986,12.35,39.32698412698412
58.91578947368421,34.02844827586207,52.57368421052632,67.32638888888889,33.5475,57.213513513513504,24.27341772151899,13.127777777777778,40.78333333333334
60.12105263157895,34.59051724137932,53.72397660818713,67.94722222222221,34.37375,57.38918918918919,24.954430379746835,13.527777777777779,41.769047619047626
60.647368421052626,34.662068965517236,54.21345029239766,67.99583333333334,34.425,57.03243243243243,24.95569620253164,13.522222222222224,42.10634920634919
60.17894736842104,34.081896551724135,53.83684210526317,67.42083333333332,33.323750000000004,55.986486486486484,24.046835443037974,13.183333333333332,41.63253968253969
57.28421052631578,32.748275862068965,51.909356725146196,65.96249999999999,30.314999999999998,53.53783783783784,22.29493670886076,12.616666666666667,39.82619047619047
53.68421052631579,31.624137931034483,48.833333333333336,63.343055555555566,27.488750000000003,51.61351351351351,20.97215189873418,12.27222222222222,37.642857142857146
51.136842105263156,30.819827586206895,46.75614035087719,61.530555555555566,25.817500000000006,50.27567567567568,20.065822784810127,12.027777777777779,36.20079365079365
49.18947368421053,30.23103448275862,45.42163742690059,60.513888888888886,24.661250000000003,49.24594594594594,19.446835443037976,11.872222222222222,35.24285714285714
47.66842105263157,29.717241379310344,44.38947368421052,59.67777777777778,23.775,48.41891891891891,18.90886075949367,11.761111111111111,34.46031746031746
46.24736842105264,29.262931034482754,43.53567251461988,58.979166666666664,23.0425,47.70540540540539,18.49620253164557,11.661111111111111,33.80238095238096
45.28421052631579,28.875,42.785964912280704,58.40555555555555,22.41375,47.0918918918919,18.106329113924048,11.633333333333333,33.22063492063492
44.40526315789474,28.527586206896554,42.14327485380117,57.87916666666667,21.9375,46.53243243243244,17.779746835443035,11.583333333333336,32.7015873015873
43.573684210526324,28.199137931034485,41.52280701754386,57.354166666666664,21.47,46.054054054054056,17.451898734177217,11.56111111111111,32.22857142857143
42.84736842105263,27.928448275862067,40.99239766081872,56.895833333333336,21.064999999999998,45.59729729729729,17.15063291139241,11.555555555555557,31.79444444444444
42.19999999999999,27.66551724137931,40.51169590643275,56.49305555555555,20.735,45.18918918918919,16.87721518987342,11.544444444444444,31.400000000000002
41.55263157894737,27.398275862068967,40.06959064327486,56.11527777777778,20.411250000000003,44.8054054054054,16.640506329113922,11.566666666666668,31.02539682539682
41.1,27.192241379310342,39.653801169590636,55.77916666666667,20.11,44.491891891891896,16.402531645569624,11.583333333333332,30.701587301587306
40.6,27.018965517241377,39.29473684210526,55.483333333333334,19.889999999999997,44.31621621621622,16.21139240506329,11.555555555555555,30.4468253968254
40.38421052631579,26.87844827586207,39.004093567251466,55.28611111111111,19.67125,44.202702702702695,16.0,11.583333333333334,30.21904761904762
42.22105263157894,27.00172413793104,39.50175438596491,56.041666666666664,20.22375,45.46486486486488,16.020253164556962,11.6,30.36269841269841
46.77368421052632,28.368103448275864,42.494152046783626,59.03472222222222,23.325,49.048648648648644,17.41645569620253,11.894444444444446,32.47460317460318
51.089473684210525,30.11637931034483,45.69181286549707,61.97083333333333,26.919999999999998,52.44054054054054,19.544303797468356,12.244444444444444,35.029365079365085
54.68421052631579,31.694827586206895,48.53333333333334,64.3722222222222,29.982500000000005,54.98378378378378,21.568354430379753,12.694444444444445,37.33412698412698
57.28947368421053,32.96724137931035,50.797660818713446,66.0597222222222,32.31375,56.518918918918914,23.2240506329114,13.45,39.256349206349206
59.18421052631579,33.907758620689656,52.51871345029239,67.17222222222222,33.927499999999995,57.28108108108107,24.43544303797468,14.233333333333333,40.72619047619048
60.400000000000006,34.487931034482756,53.67719298245615,67.79722222222222,34.73625,57.46756756756756,25.118987341772154,14.666666666666666,41.71031746031745
60.926315789473676,34.570689655172416,54.17953216374269,67.85694444444442,34.802499999999995,57.12162162162162,25.145569620253166,14.683333333333334,42.06190476190476
60.49473684210527,34.022413793103446,53.82807017543861,67.30000000000001,33.73625,56.08648648648648,24.2493670886076,14.294444444444443,41.60793650793651
57.59473684210526,32.717241379310344,51.931578947368415,65.84166666666667,30.797500000000003,53.68378378378378,22.436708860759495,13.72777777777778,39.82539682539683
54.01052631578948,31.583620689655174,48.861988304093565,63.21111111111111,27.895000000000003,51.79459459459461,21.053164556962027,13.366666666666665,37.640476190476186
51.44210526315789,30.756896551724143,46.79298245614035,61.37083333333333,26.203749999999996,50.49189189189188,20.1,13.083333333333334,36.2
49.626315789473686,30.174137931034487,45.47543859649122,60.352777777777774,25.029999999999998,49.513513513513516,19.44683544303798,12.955555555555556,35.22460317460316
48.23684210526315,29.64913793103449,44.43859649122807,59.5,24.119999999999997,48.72702702702703,18.883544303797468,12.838888888888889,34.44206349206349
46.910526315789475,29.188793103448273,43.59239766081872,58.800000000000004,23.369999999999997,48.06216216216217,18.446835443037973,12.722222222222221,33.785714285714285
46.078947368421055,28.786206896551718,42.853216374269,58.224999999999994,22.735000000000003,47.47567567567569,18.041772151898734,12.711111111111112,33.19920634920636
45.26315789473684,28.42241379310345,42.21520467836257,57.69861111111111,22.23,46.94324324324325,17.712658227848106,12.666666666666666,32.68571428571429
44.6,28.07586206896552,41.605847953216376,57.1888888888889,21.732499999999998,46.5027027027027,17.36835443037975,12.66111111111111,32.20793650793651
43.95263157894736,27.794827586206896,41.071345029239765,56.75555555555555,21.313750000000002,46.05945945945946,17.07848101265823,12.638888888888888,31.759523809523813
43.32631578947369,27.518103448275863,40.59181286549707,56.37638888888888,20.96125,45.67297297297298,16.80253164556962,12.605555555555556,31.370634920634924
