station _1,station _10,station _100,station _101,station _102,station _103,station _104,station _105,station _106,station _107,station _108,station _109,station _11,station _110,station _111,station _112,station _113,station _114,station _115,station _116,station _117,station _118,station _119,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _21,station _22,station _23,station _24,station _25,station _26,station _27,station _28,station _29,station _3,station _30,station _31,station _32,station _33,station _34,station _35,station _36,station _37,station _38,station _39,station _4,station _40,station _41,station _42,station _43,station _44,station _45,station _46,station _47,station _48,station _49,station _5,station _50,station _51,station _52,station _53,station _54,station _55,station _56,station _57,station _58,station _59,station _6,station _60,station _61,station _62,station _63,station _64,station _65,station _66,station _67,station _68,station _69,station _7,station _70,station _71,station _72,station _73,station _74,station _75,station _76,station _77,station _78,station _79,station _8,station _80,station _81,station _82,station _83,station _84,station _85,station _86,station _87,station _88,station _89,station _9,station _90,station _91,station _92,station _93,station _94,station _95,station _96,station _97,station _98,station _99
18.38888888888889,7.88888888888889,15.22222222222222,12.944444444444445,15.22222222222222,12.166666666666666,17.11111111111111,17.333333333333336,13.277777777777777,14.444444444444445,12.999999999999998,21.77777777777778,13.11111111111111,15.111111111111112,17.11111111111111,21.166666666666664,8.777777777777777,23.38888888888889,11.333333333333332,27.111111111111107,13.333333333333332,12.666666666666664,13.666666666666668,19.444444444444443,15.666666666666668,14.611111111111107,17.83333333333333,19.944444444444446,15.22222222222222,12.27777777777778,18.833333333333336,12.444444444444445,25.88888888888889,12.27777777777778,18.722222222222225,26.83333333333333,16.5,12.27777777777778,28.111111111111107,16.055555555555554,15.166666666666664,15.833333333333332,17.27777777777778,22.27777777777777,22.61111111111111,20.83333333333333,13.833333333333332,15.999999999999998,19.72222222222222,29.0,14.833333333333334,17.444444444444443,27.944444444444443,20.33333333333333,12.999999999999998,13.499999999999998,13.555555555555554,26.166666666666664,15.666666666666668,21.611111111111114,7.833333333333334,20.666666666666668,11.055555555555555,18.38888888888889,27.38888888888889,21.944444444444443,12.88888888888889,10.555555555555555,23.666666666666664,27.83333333333333,13.777777777777777,21.38888888888889,17.5,16.333333333333332,14.72222222222222,21.83333333333333,19.61111111111111,12.666666666666664,16.444444444444446,19.22222222222221,12.555555555555555,14.388888888888888,25.33333333333333,18.277777777777786,19.22222222222221,12.444444444444445,8.944444444444445,13.444444444444446,27.61111111111111,13.499999999999998,19.111111111111114,17.944444444444443,14.72222222222222,17.83333333333333,22.5,18.277777777777786,16.666666666666668,14.888888888888888,20.611111111111107,21.83333333333333,17.88888888888889,9.944444444444445,20.38888888888889,20.38888888888889,18.444444444444446,17.388888888888886,22.27777777777777,20.444444444444443,9.5,26.38888888888889,23.111111111111107,19.33333333333333,13.055555555555555,19.61111111111111,27.333333333333336,15.333333333333334,20.33333333333333,24.666666666666668,12.833333333333334
17.0,7.555555555555556,14.888888888888888,12.72222222222222,14.72222222222222,12.055555555555555,16.555555555555554,17.0,15.61111111111111,14.11111111111111,12.555555555555555,22.27777777777777,13.22222222222222,14.833333333333334,16.77777777777778,19.88888888888889,8.555555555555555,23.05555555555556,10.944444444444446,26.72222222222221,12.944444444444445,12.22222222222222,13.444444444444446,19.05555555555556,15.277777777777777,14.166666666666666,16.666666666666668,19.61111111111111,15.055555555555555,12.0,21.83333333333333,11.944444444444445,25.72222222222222,11.944444444444445,15.666666666666668,26.11111111111111,16.166666666666668,12.111111111111107,27.61111111111111,15.055555555555555,15.055555555555555,15.499999999999998,15.555555555555555,21.0,21.166666666666664,20.55555555555556,13.499999999999998,15.833333333333332,19.5,29.05555555555556,14.611111111111107,17.5,27.38888888888889,17.5,12.555555555555555,13.722222222222223,13.444444444444446,25.0,15.277777777777777,21.44444444444444,7.944444444444443,19.88888888888889,11.555555555555554,20.38888888888889,25.83333333333333,20.05555555555556,12.5,10.166666666666664,24.55555555555556,28.61111111111111,13.499999999999998,22.0,19.166666666666668,18.000000000000004,14.444444444444445,20.55555555555556,19.944444444444446,12.5,16.166666666666668,20.777777777777786,12.22222222222222,13.88888888888889,26.0,17.72222222222222,18.666666666666664,12.555555555555555,8.833333333333332,13.11111111111111,28.000000000000004,13.22222222222222,18.77777777777777,17.666666666666664,14.27777777777778,17.333333333333336,21.166666666666664,17.83333333333333,16.5,14.833333333333334,20.166666666666664,21.333333333333336,17.72222222222222,9.388888888888888,19.5,19.55555555555556,17.88888888888889,17.27777777777778,22.0,19.27777777777778,9.222222222222223,24.611111111111107,22.5,19.33333333333333,15.666666666666668,20.0,26.333333333333336,15.0,21.77777777777778,25.33333333333333,12.666666666666664
15.88888888888889,7.277777777777779,14.666666666666666,12.666666666666664,14.222222222222223,14.055555555555554,16.11111111111111,16.666666666666668,18.166666666666668,13.833333333333332,12.333333333333334,22.55555555555556,15.22222222222222,14.666666666666666,16.555555555555554,17.555555555555557,8.22222222222222,21.72222222222221,10.72222222222222,25.444444444444443,12.777777777777777,11.722222222222223,13.11111111111111,19.166666666666668,14.888888888888888,13.777777777777777,15.88888888888889,19.22222222222221,14.888888888888888,11.722222222222223,24.27777777777778,11.61111111111111,25.11111111111111,11.61111111111111,14.222222222222223,24.666666666666668,15.88888888888889,13.11111111111111,26.77777777777778,14.27777777777778,16.72222222222222,15.22222222222222,14.27777777777778,19.77777777777777,18.666666666666664,20.444444444444443,13.277777777777777,15.666666666666668,19.27777777777778,28.38888888888889,14.388888888888888,19.666666666666668,26.333333333333336,15.38888888888889,12.22222222222222,15.944444444444446,13.61111111111111,23.722222222222225,14.944444444444445,20.38888888888889,10.111111111111112,18.277777777777786,13.666666666666668,22.55555555555556,23.55555555555556,18.444444444444446,12.166666666666666,10.0,25.166666666666664,29.22222222222221,13.22222222222222,22.11111111111111,21.222222222222225,19.166666666666668,14.27777777777778,18.22222222222222,19.833333333333336,14.222222222222223,15.833333333333332,22.88888888888889,11.944444444444445,13.38888888888889,26.38888888888889,17.27777777777778,18.22222222222222,14.77777777777778,8.444444444444446,12.666666666666664,27.83333333333333,13.11111111111111,18.833333333333336,17.444444444444443,13.833333333333332,17.055555555555557,18.94444444444444,17.333333333333336,16.277777777777775,14.333333333333332,20.05555555555556,20.88888888888889,16.88888888888889,8.944444444444445,17.61111111111111,17.944444444444443,17.333333333333336,19.166666666666668,21.77777777777778,16.444444444444446,10.555555555555555,21.77777777777778,21.55555555555556,18.77777777777777,17.88888888888889,19.88888888888889,23.444444444444446,14.666666666666666,22.88888888888889,25.666666666666668,14.833333333333334
14.944444444444445,7.000000000000001,14.5,14.5,13.833333333333332,16.38888888888889,15.61111111111111,16.38888888888889,20.33333333333333,13.555555555555554,12.27777777777778,22.55555555555556,17.388888888888886,14.444444444444445,18.277777777777786,16.5,8.555555555555555,18.5,10.555555555555555,22.333333333333336,12.5,11.277777777777777,12.777777777777777,21.222222222222225,14.611111111111107,13.499999999999998,15.277777777777777,19.444444444444443,15.166666666666664,11.555555555555554,26.11111111111111,11.277777777777777,23.277777777777786,11.38888888888889,13.277777777777777,22.61111111111111,15.666666666666668,15.499999999999998,25.27777777777778,13.555555555555554,19.22222222222221,15.0,13.22222222222222,19.0,17.666666666666664,20.55555555555556,12.944444444444445,15.666666666666668,19.33333333333333,26.611111111111114,14.166666666666666,21.77777777777778,24.166666666666664,14.000000000000002,11.888888888888888,18.277777777777786,15.666666666666668,23.166666666666668,14.666666666666666,16.5,12.72222222222222,17.22222222222222,15.277777777777777,24.611111111111107,22.22222222222222,17.555555555555557,11.833333333333332,9.77777777777778,25.444444444444443,29.33333333333333,12.999999999999998,21.77777777777778,23.166666666666668,19.944444444444446,14.055555555555554,16.77777777777778,18.833333333333336,17.166666666666664,15.499999999999998,24.833333333333336,11.666666666666666,12.999999999999998,26.27777777777777,16.72222222222222,17.88888888888889,17.055555555555557,9.000000000000002,12.388888888888888,26.83333333333333,15.166666666666664,20.500000000000004,19.22222222222221,13.444444444444446,16.833333333333332,17.72222222222222,16.88888888888889,17.88888888888889,14.166666666666666,19.944444444444446,20.55555555555556,14.5,8.61111111111111,16.5,16.444444444444446,16.77777777777778,21.83333333333333,21.611111111111114,14.72222222222222,13.166666666666668,20.38888888888889,19.944444444444446,16.38888888888889,19.33333333333333,19.0,21.38888888888889,14.333333333333332,23.61111111111111,25.555555555555557,17.055555555555557
14.222222222222223,6.722222222222223,14.222222222222223,16.88888888888889,13.444444444444446,18.444444444444446,15.277777777777777,17.333333333333336,22.27777777777777,13.22222222222222,12.166666666666666,22.333333333333336,19.388888888888893,14.27777777777778,20.666666666666668,15.72222222222222,10.555555555555555,16.555555555555554,10.72222222222222,20.666666666666668,12.333333333333334,10.88888888888889,12.555555555555555,23.277777777777786,14.388888888888888,13.277777777777777,14.666666666666666,21.38888888888889,17.444444444444443,12.166666666666666,27.444444444444446,11.11111111111111,21.666666666666668,11.055555555555555,12.72222222222222,21.5,15.555555555555555,17.77777777777778,24.444444444444443,13.11111111111111,21.166666666666664,14.833333333333334,12.27777777777778,18.38888888888889,17.11111111111111,22.166666666666668,13.833333333333332,17.666666666666664,21.83333333333333,24.611111111111107,14.11111111111111,23.05555555555556,22.5,13.11111111111111,11.61111111111111,20.05555555555556,17.88888888888889,22.61111111111111,14.388888888888888,14.11111111111111,15.333333333333334,16.333333333333332,16.77777777777778,26.166666666666664,21.27777777777777,17.055555555555557,11.555555555555554,9.555555555555555,25.222222222222225,29.166666666666664,14.72222222222222,20.72222222222222,24.666666666666668,20.33333333333333,14.222222222222223,15.88888888888889,16.72222222222222,19.944444444444446,15.277777777777777,26.27777777777777,11.444444444444445,12.666666666666664,25.88888888888889,16.444444444444446,17.444444444444443,19.27777777777778,11.166666666666668,12.166666666666666,25.444444444444443,17.388888888888886,22.444444444444446,21.5,12.999999999999998,18.666666666666664,17.0,16.5,20.27777777777778,13.944444444444445,21.55555555555556,20.222222222222225,12.555555555555555,8.22222222222222,15.61111111111111,15.38888888888889,16.333333333333332,24.27777777777778,22.666666666666664,13.722222222222223,15.666666666666668,19.55555555555556,18.88888888888889,14.27777777777778,20.222222222222225,16.055555555555554,20.38888888888889,14.055555555555554,24.111111111111114,25.0,19.0
13.722222222222223,7.222222222222222,14.27777777777778,18.94444444444444,13.166666666666668,20.0,15.0,19.77777777777777,23.833333333333336,13.055555555555555,12.055555555555555,21.83333333333333,20.88888888888889,16.166666666666668,23.000000000000004,15.166666666666664,12.72222222222222,15.666666666666668,12.72222222222222,19.72222222222222,12.666666666666664,10.555555555555555,12.333333333333334,25.11111111111111,14.333333333333332,13.11111111111111,14.27777777777778,23.5,19.72222222222222,14.944444444444445,28.27777777777778,10.833333333333334,20.72222222222222,10.833333333333334,12.388888888888888,20.611111111111107,15.38888888888889,19.388888888888893,24.05555555555556,12.555555555555555,22.666666666666664,14.666666666666666,11.500000000000002,17.944444444444443,16.666666666666668,24.22222222222221,15.944444444444446,19.88888888888889,24.111111111111114,23.33333333333333,16.277777777777775,24.05555555555556,21.611111111111114,12.388888888888888,11.277777777777777,21.333333333333336,19.444444444444443,22.05555555555556,14.166666666666666,12.833333333333334,17.166666666666664,15.72222222222222,18.05555555555556,27.333333333333336,20.500000000000004,16.5,11.222222222222223,9.27777777777778,24.55555555555556,28.61111111111111,17.388888888888886,17.11111111111111,25.88888888888889,20.38888888888889,16.11111111111111,15.166666666666664,14.72222222222222,21.944444444444443,15.111111111111112,27.333333333333336,12.88888888888889,12.388888888888888,24.111111111111114,16.166666666666668,17.11111111111111,20.83333333333333,13.722222222222223,12.27777777777778,24.05555555555556,19.5,24.166666666666664,23.33333333333333,12.777777777777777,21.27777777777777,16.333333333333332,16.222222222222225,22.722222222222225,13.722222222222223,23.5,20.05555555555556,11.166666666666668,7.999999999999999,14.77777777777778,14.555555555555555,16.055555555555554,26.166666666666664,23.88888888888889,13.055555555555555,17.61111111111111,18.94444444444444,18.33333333333333,13.11111111111111,20.777777777777786,14.388888888888888,19.55555555555556,13.88888888888889,24.27777777777778,23.055555555555557,20.500000000000004
13.166666666666668,9.77777777777778,16.5,20.444444444444443,12.944444444444445,21.11111111111111,14.666666666666666,22.05555555555556,24.944444444444446,13.055555555555555,11.944444444444445,20.777777777777786,21.944444444444443,18.88888888888889,24.833333333333336,14.72222222222222,14.72222222222222,14.944444444444445,15.111111111111112,19.0,15.22222222222222,10.333333333333334,12.388888888888888,26.611111111111114,15.944444444444446,14.611111111111107,13.833333333333332,25.500000000000004,21.55555555555556,17.444444444444443,28.94444444444444,11.11111111111111,19.944444444444446,12.88888888888889,11.944444444444445,19.944444444444446,17.61111111111111,20.33333333333333,23.88888888888889,12.055555555555555,23.88888888888889,14.555555555555555,10.88888888888889,17.666666666666664,16.444444444444446,25.83333333333333,17.944444444444443,21.83333333333333,26.11111111111111,22.5,18.88888888888889,24.944444444444446,21.11111111111111,11.666666666666666,10.999999999999998,22.11111111111111,20.55555555555556,21.611111111111114,14.11111111111111,11.722222222222223,18.55555555555556,15.055555555555555,19.111111111111114,28.111111111111107,19.88888888888889,15.999999999999998,10.88888888888889,10.388888888888893,21.77777777777778,27.5,20.0,15.277777777777777,26.611111111111114,20.166666666666664,18.277777777777786,14.611111111111107,13.38888888888889,23.277777777777786,15.0,28.05555555555556,15.111111111111112,12.111111111111107,20.33333333333333,15.944444444444446,16.833333333333332,21.888888888888893,15.999999999999998,14.5,22.944444444444443,21.27777777777777,25.77777777777778,24.944444444444446,12.611111111111112,23.94444444444444,15.88888888888889,15.833333333333332,24.611111111111107,14.055555555555554,25.166666666666664,21.27777777777777,10.22222222222222,7.777777777777778,14.000000000000002,13.722222222222223,17.27777777777778,27.38888888888889,25.27777777777778,12.555555555555555,18.94444444444444,18.5,18.000000000000004,12.333333333333334,21.0,13.38888888888889,18.88888888888889,15.833333333333332,24.05555555555556,21.05555555555556,21.666666666666668
12.611111111111112,12.72222222222222,18.833333333333336,21.611111111111114,12.72222222222222,21.83333333333333,14.444444444444445,23.94444444444444,25.77777777777778,15.055555555555555,11.944444444444445,19.388888888888893,22.77777777777778,21.27777777777777,26.166666666666664,14.333333333333332,16.333333333333332,14.388888888888888,17.11111111111111,18.33333333333333,17.666666666666664,10.111111111111112,14.666666666666666,27.722222222222225,18.05555555555556,16.61111111111111,13.666666666666668,27.0,22.88888888888889,19.33333333333333,29.388888888888893,13.166666666666668,19.27777777777778,15.499999999999998,11.61111111111111,19.33333333333333,20.166666666666664,20.944444444444446,23.77777777777777,11.77777777777778,24.88888888888889,16.944444444444443,10.277777777777777,17.27777777777778,16.055555555555554,27.22222222222222,19.77777777777777,23.22222222222222,27.666666666666664,21.77777777777778,21.166666666666664,25.500000000000004,20.666666666666668,11.055555555555555,10.944444444444446,22.666666666666664,21.38888888888889,21.11111111111111,15.944444444444446,11.11111111111111,19.33333333333333,14.388888888888888,19.72222222222222,28.444444444444446,19.33333333333333,15.833333333333332,10.88888888888889,12.777777777777777,19.22222222222221,24.611111111111107,21.944444444444443,14.555555555555555,27.27777777777777,19.61111111111111,20.27777777777778,14.222222222222223,12.611111111111112,24.111111111111114,14.944444444444445,28.33333333333333,17.555555555555557,11.888888888888888,18.444444444444446,15.666666666666668,16.555555555555554,22.722222222222225,17.77777777777778,16.833333333333332,22.05555555555556,22.61111111111111,26.944444444444443,26.27777777777777,12.5,25.88888888888889,15.38888888888889,16.333333333333332,25.944444444444446,13.833333333333332,26.666666666666664,23.000000000000004,9.388888888888888,7.944444444444443,13.333333333333332,13.055555555555555,19.5,28.166666666666668,26.5,12.055555555555555,19.77777777777777,18.111111111111107,17.61111111111111,11.77777777777778,20.88888888888889,12.833333333333334,18.33333333333333,18.111111111111107,23.111111111111107,20.11111111111111,22.444444444444446
12.27777777777778,15.166666666666664,20.944444444444446,22.38888888888889,12.555555555555555,22.27777777777777,14.222222222222223,25.33333333333333,26.11111111111111,17.27777777777778,11.77777777777778,18.77777777777777,23.277777777777786,22.944444444444443,27.05555555555556,14.000000000000002,17.5,13.833333333333332,18.444444444444446,17.88888888888889,19.61111111111111,11.722222222222223,17.166666666666664,28.444444444444446,20.11111111111111,18.444444444444446,13.277777777777777,28.111111111111107,23.722222222222225,20.666666666666668,29.388888888888893,16.222222222222225,18.666666666666664,17.666666666666664,11.333333333333332,18.77777777777777,22.55555555555556,21.27777777777777,23.61111111111111,11.38888888888889,25.611111111111107,20.0,9.77777777777778,16.944444444444443,15.777777777777777,28.38888888888889,21.166666666666664,24.22222222222221,28.88888888888889,21.11111111111111,22.944444444444443,25.77777777777778,20.444444444444443,10.555555555555555,12.88888888888889,22.77777777777778,21.666666666666668,20.72222222222222,18.33333333333333,10.444444444444445,19.77777777777777,13.777777777777777,20.05555555555556,28.666666666666664,18.77777777777777,15.499999999999998,12.777777777777777,15.333333333333334,18.111111111111107,22.666666666666664,23.33333333333333,13.944444444444445,27.5,18.77777777777777,21.666666666666668,13.722222222222223,11.888888888888888,24.611111111111107,16.944444444444443,28.666666666666664,19.72222222222222,11.61111111111111,17.5,16.833333333333332,16.277777777777775,23.111111111111107,18.88888888888889,18.833333333333336,21.27777777777777,23.55555555555556,27.944444444444443,27.38888888888889,12.388888888888888,27.333333333333336,14.944444444444445,18.444444444444446,26.83333333333333,14.944444444444445,28.000000000000004,24.611111111111107,8.777777777777777,10.833333333333334,12.666666666666664,12.333333333333334,21.44444444444444,28.72222222222222,27.5,11.61111111111111,20.222222222222225,17.77777777777778,17.27777777777778,11.222222222222223,20.11111111111111,12.22222222222222,18.000000000000004,20.0,20.72222222222222,19.222222222222214,23.055555555555554
11.888888888888888,16.77777777777778,22.444444444444446,23.000000000000004,14.166666666666666,22.61111111111111,14.000000000000002,26.333333333333336,25.88888888888889,19.05555555555556,11.61111111111111,18.33333333333333,23.444444444444446,24.111111111111114,27.722222222222225,13.666666666666668,18.33333333333333,13.38888888888889,19.33333333333333,17.388888888888886,21.05555555555556,14.166666666666666,19.388888888888893,29.05555555555556,21.72222222222221,19.944444444444446,12.999999999999998,28.833333333333336,24.166666666666664,21.611111111111114,28.94444444444444,18.94444444444444,18.22222222222222,19.388888888888893,10.944444444444446,18.33333333333333,24.05555555555556,21.222222222222225,23.38888888888889,11.166666666666668,25.944444444444446,22.444444444444446,9.333333333333332,16.61111111111111,15.499999999999998,29.27777777777778,22.22222222222222,24.88888888888889,30.0,20.611111111111107,24.27777777777778,25.88888888888889,20.05555555555556,10.111111111111112,15.22222222222222,22.666666666666664,21.77777777777778,20.33333333333333,20.38888888888889,9.833333333333334,19.77777777777777,13.22222222222222,19.88888888888889,28.38888888888889,18.38888888888889,15.22222222222222,15.055555555555555,17.388888888888886,17.22222222222222,21.55555555555556,24.166666666666664,13.444444444444446,27.5,17.5,22.61111111111111,13.38888888888889,11.333333333333332,24.72222222222222,19.5,28.444444444444446,21.38888888888889,11.888888888888888,16.833333333333332,19.444444444444443,17.055555555555557,23.22222222222222,19.5,20.38888888888889,20.55555555555556,24.166666666666664,28.5,28.05555555555556,14.000000000000002,28.38888888888889,14.5,20.777777777777786,27.444444444444446,17.61111111111111,29.111111111111114,26.22222222222222,8.277777777777777,13.555555555555554,12.0,11.833333333333332,23.22222222222222,28.833333333333336,28.111111111111107,11.166666666666668,20.33333333333333,17.555555555555557,17.0,10.72222222222222,18.111111111111107,11.722222222222223,17.72222222222222,21.5,19.166666666666668,18.5,23.277777777777782
