station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _3,station _4,station _5,station _6,station _7,station _8,station _9
31.72222222222221,22.88888888888889,27.444444444444446,28.666666666666664,13.444444444444446,22.83333333333333,29.22222222222221,17.666666666666664,22.05555555555556,23.111111111111107,19.33333333333333,15.72222222222222,17.388888888888886,21.166666666666664,16.72222222222222,25.666666666666668,28.833333333333336,34.61111111111111,24.444444444444443,17.388888888888886
31.77777777777778,23.111111111111107,26.83333333333333,29.05555555555556,12.88888888888889,23.166666666666668,30.88888888888889,19.88888888888889,21.11111111111111,22.27777777777777,17.944444444444443,15.111111111111112,16.833333333333332,19.88888888888889,16.055555555555554,25.83333333333333,29.55555555555556,35.111111111111114,25.222222222222225,16.444444444444446
31.44444444444444,23.277777777777786,25.166666666666664,29.05555555555556,12.27777777777778,23.111111111111107,32.22222222222222,21.944444444444443,20.38888888888889,21.5,16.833333333333332,14.72222222222222,16.277777777777775,18.94444444444444,15.277777777777777,25.666666666666668,29.88888888888889,35.22222222222222,25.666666666666668,15.555555555555555
30.500000000000004,22.77777777777778,23.277777777777786,28.666666666666664,11.722222222222223,22.722222222222225,33.22222222222222,23.61111111111111,19.666666666666668,20.83333333333333,15.777777777777777,14.166666666666666,15.88888888888889,18.05555555555556,14.666666666666666,25.222222222222225,29.833333333333336,34.94444444444445,25.77777777777778,14.777777777777779
28.000000000000004,21.666666666666668,21.77777777777778,27.83333333333333,11.222222222222223,21.611111111111114,34.0,25.166666666666664,19.166666666666668,20.38888888888889,14.77777777777778,14.222222222222223,15.944444444444446,17.27777777777778,14.166666666666666,24.05555555555556,28.88888888888889,34.111111111111114,25.444444444444443,14.000000000000002
24.611111111111107,20.166666666666664,20.666666666666668,26.166666666666664,11.222222222222223,20.611111111111107,34.44444444444444,26.22222222222222,21.27777777777777,21.72222222222221,13.666666666666668,17.27777777777778,18.111111111111107,16.666666666666668,13.555555555555554,22.666666666666664,26.944444444444443,32.666666666666664,24.444444444444443,13.333333333333332
23.33333333333333,18.88888888888889,19.666666666666668,24.388888888888893,13.333333333333332,19.61111111111111,34.66666666666667,27.22222222222222,24.27777777777778,23.666666666666664,12.5,20.55555555555556,20.83333333333333,15.999999999999998,13.055555555555555,21.27777777777777,25.27777777777778,30.444444444444443,22.444444444444446,14.388888888888888
22.27777777777777,17.72222222222222,18.55555555555556,22.944444444444443,15.777777777777777,18.55555555555556,34.55555555555556,27.722222222222225,26.944444444444443,25.33333333333333,11.666666666666666,22.88888888888889,23.05555555555556,15.499999999999998,12.666666666666664,20.166666666666664,24.05555555555556,28.94444444444444,20.72222222222222,17.61111111111111
21.44444444444444,16.72222222222222,17.5,21.333333333333336,18.05555555555556,17.61111111111111,34.05555555555555,27.944444444444443,29.111111111111114,26.83333333333333,10.666666666666668,24.72222222222222,24.72222222222222,15.055555555555555,12.666666666666664,19.0,22.88888888888889,27.722222222222225,19.33333333333333,20.11111111111111
20.83333333333333,15.88888888888889,16.555555555555554,20.05555555555556,20.0,16.77777777777778,33.166666666666664,27.77777777777778,30.83333333333333,28.22222222222222,9.888888888888888,26.11111111111111,26.0,14.666666666666666,15.055555555555555,17.88888888888889,21.944444444444443,26.666666666666664,17.666666666666664,22.055555555555557
20.0,15.111111111111112,15.61111111111111,18.666666666666664,21.666666666666668,16.055555555555554,31.611111111111114,27.22222222222222,32.22222222222222,29.5,12.555555555555555,27.22222222222222,26.944444444444443,14.444444444444445,17.61111111111111,17.0,21.11111111111111,25.77777777777778,15.88888888888889,23.722222222222225
