station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _21,station _22,station _23,station _24,station _25,station _26,station _27,station _28,station _29,station _3,station _30,station _31,station _32,station _33,station _34,station _35,station _36,station _37,station _38,station _39,station _4,station _40,station _41,station _42,station _43,station _44,station _45,station _46,station _47,station _48,station _49,station _5,station _50,station _51,station _52,station _6,station _7,station _8,station _9
20.444444444444443,24.22222222222221,19.666666666666668,24.33333333333333,18.88888888888889,16.38888888888889,22.88888888888889,19.61111111111111,22.722222222222225,17.83333333333333,24.611111111111107,22.05555555555556,22.5,17.11111111111111,27.83333333333333,20.222222222222225,19.833333333333336,18.722222222222225,17.333333333333336,24.611111111111107,26.55555555555556,17.22222222222222,24.5,21.77777777777778,27.333333333333336,22.5,18.94444444444444,27.111111111111107,20.38888888888889,16.166666666666668,19.77777777777777,19.33333333333333,25.77777777777778,17.944444444444443,21.666666666666668,24.388888888888893,21.666666666666668,25.500000000000004,24.72222222222222,27.77777777777778,24.111111111111114,23.166666666666668,15.38888888888889,20.33333333333333,15.777777777777777,18.22222222222222,20.166666666666664,21.55555555555556,15.444444444444445,21.83333333333333,18.22222222222222,17.0
20.27777777777778,24.166666666666664,19.5,23.94444444444444,18.61111111111111,16.277777777777775,22.666666666666664,19.388888888888893,22.55555555555556,17.666666666666664,24.388888888888893,21.77777777777778,22.27777777777777,16.944444444444443,27.88888888888889,19.944444444444446,19.61111111111111,18.666666666666664,17.055555555555557,24.0,26.44444444444444,18.33333333333333,23.77777777777777,21.5,28.111111111111107,22.27777777777777,18.722222222222225,26.611111111111114,20.166666666666664,15.944444444444446,19.61111111111111,18.94444444444444,24.77777777777777,17.77777777777778,21.5,24.166666666666664,21.5,27.61111111111111,24.5,27.0,24.0,22.88888888888889,15.777777777777777,20.222222222222225,15.499999999999998,18.05555555555556,19.88888888888889,20.83333333333333,15.22222222222222,21.611111111111114,17.5,16.77777777777778
20.166666666666664,24.111111111111114,19.444444444444443,23.61111111111111,18.38888888888889,16.222222222222225,23.000000000000004,19.33333333333333,22.444444444444446,17.61111111111111,24.27777777777778,21.55555555555556,22.11111111111111,16.77777777777778,27.38888888888889,19.666666666666668,19.5,18.38888888888889,16.72222222222222,23.05555555555556,26.333333333333336,20.55555555555556,23.05555555555556,21.222222222222225,28.444444444444446,22.11111111111111,18.55555555555556,25.55555555555556,19.944444444444446,15.833333333333332,19.388888888888893,18.722222222222225,23.277777777777786,17.61111111111111,21.333333333333336,23.88888888888889,21.222222222222225,28.88888888888889,24.27777777777778,25.83333333333333,23.88888888888889,22.666666666666664,16.11111111111111,20.11111111111111,15.38888888888889,17.83333333333333,19.666666666666668,19.666666666666668,14.944444444444445,21.38888888888889,17.0,16.61111111111111
20.11111111111111,25.05555555555555,21.222222222222225,23.277777777777786,18.22222222222222,16.11111111111111,25.27777777777778,19.22222222222221,22.38888888888889,19.27777777777778,24.22222222222221,21.44444444444444,22.05555555555556,16.61111111111111,26.38888888888889,19.5,19.444444444444443,18.277777777777786,16.555555555555554,21.44444444444444,26.27777777777777,22.666666666666664,22.444444444444446,21.0,28.5,21.944444444444443,18.444444444444446,23.88888888888889,19.72222222222222,15.777777777777777,19.166666666666668,18.444444444444446,22.61111111111111,17.5,21.222222222222225,23.666666666666664,20.944444444444446,29.72222222222222,24.166666666666664,24.88888888888889,23.77777777777777,22.5,16.11111111111111,20.11111111111111,15.22222222222222,17.72222222222222,19.55555555555556,18.666666666666664,14.77777777777778,21.27777777777777,16.61111111111111,16.5
20.611111111111107,25.77777777777778,23.22222222222222,22.944444444444443,18.000000000000004,16.666666666666668,26.944444444444443,20.444444444444443,22.444444444444446,21.333333333333336,24.33333333333333,21.44444444444444,22.11111111111111,16.5,24.55555555555556,19.27777777777778,20.500000000000004,18.277777777777786,16.277777777777775,20.444444444444443,26.166666666666664,24.22222222222221,21.888888888888893,20.83333333333333,27.77777777777778,22.166666666666668,18.5,22.5,19.72222222222222,17.72222222222222,19.166666666666668,18.166666666666668,22.22222222222222,17.5,21.611111111111114,23.444444444444446,20.88888888888889,30.166666666666664,24.111111111111114,24.55555555555556,23.722222222222225,22.38888888888889,15.88888888888889,21.0,15.111111111111112,17.61111111111111,19.388888888888893,18.166666666666668,14.444444444444445,21.11111111111111,16.222222222222225,17.666666666666664
23.166666666666668,26.333333333333336,24.72222222222222,22.666666666666664,17.944444444444443,18.5,28.000000000000004,22.22222222222222,23.666666666666664,23.22222222222222,25.38888888888889,23.5,23.94444444444444,17.055555555555557,23.33333333333333,19.166666666666668,22.333333333333336,19.944444444444446,16.166666666666668,19.944444444444446,26.05555555555556,25.11111111111111,21.5,20.944444444444446,25.944444444444446,24.5,19.666666666666668,21.72222222222221,21.888888888888893,20.166666666666664,20.944444444444446,18.05555555555556,21.888888888888893,19.166666666666668,23.722222222222225,23.5,20.777777777777786,30.33333333333333,24.27777777777778,24.388888888888893,23.833333333333336,22.55555555555556,15.0,22.61111111111111,17.11111111111111,17.83333333333333,19.27777777777778,17.666666666666664,14.166666666666666,21.166666666666664,15.944444444444446,19.833333333333336
24.88888888888889,26.666666666666664,25.444444444444443,22.333333333333336,19.27777777777778,20.38888888888889,28.72222222222222,23.722222222222225,25.0,24.55555555555556,26.44444444444444,25.444444444444443,25.944444444444446,18.444444444444446,22.5,19.111111111111114,23.666666666666664,22.27777777777777,16.055555555555554,19.55555555555556,25.88888888888889,25.611111111111107,21.11111111111111,23.5,24.22222222222221,26.77777777777778,20.777777777777786,21.166666666666664,24.5,22.05555555555556,23.277777777777786,19.27777777777778,21.55555555555556,21.38888888888889,25.88888888888889,25.944444444444446,20.72222222222222,30.222222222222225,25.944444444444446,24.111111111111114,25.166666666666664,25.500000000000004,14.5,23.88888888888889,20.05555555555556,18.55555555555556,20.500000000000004,17.166666666666664,14.055555555555554,22.55555555555556,15.499999999999998,22.11111111111111
25.55555555555556,27.0,26.0,22.05555555555556,21.27777777777777,21.944444444444443,29.0,24.666666666666668,26.05555555555556,25.33333333333333,27.333333333333336,27.05555555555556,27.38888888888889,19.944444444444446,21.83333333333333,20.33333333333333,24.55555555555556,23.88888888888889,16.944444444444443,19.166666666666668,26.05555555555556,25.666666666666668,20.777777777777786,26.11111111111111,23.166666666666668,28.166666666666668,21.611111111111114,20.611111111111107,26.38888888888889,23.22222222222222,24.833333333333336,21.38888888888889,21.333333333333336,23.33333333333333,26.888888888888893,27.27777777777777,20.72222222222222,29.72222222222222,27.333333333333336,23.94444444444444,26.55555555555556,27.22222222222222,14.055555555555554,24.77777777777777,22.444444444444446,19.5,22.61111111111111,16.72222222222222,14.944444444444445,24.444444444444443,15.22222222222222,23.666666666666664
26.0,27.166666666666668,26.11111111111111,21.77777777777778,23.05555555555556,22.88888888888889,29.05555555555556,25.166666666666664,26.666666666666664,25.77777777777778,27.944444444444443,28.22222222222222,28.55555555555556,21.27777777777777,21.27777777777777,22.333333333333336,25.166666666666664,25.0,19.166666666666668,18.833333333333336,27.0,25.444444444444443,20.55555555555556,27.83333333333333,22.166666666666668,29.166666666666664,22.166666666666668,20.11111111111111,28.000000000000004,23.88888888888889,25.611111111111107,23.38888888888889,21.0,24.55555555555556,27.55555555555555,27.944444444444443,22.944444444444443,29.05555555555556,28.22222222222222,23.77777777777777,27.38888888888889,28.166666666666668,13.777777777777777,25.166666666666664,24.111111111111114,20.444444444444443,24.111111111111114,16.166666666666668,16.833333333333332,25.77777777777778,15.0,24.777777777777775
26.11111111111111,27.22222222222222,26.05555555555556,21.55555555555556,24.27777777777778,23.444444444444446,28.833333333333336,25.33333333333333,27.111111111111107,25.88888888888889,28.33333333333333,29.05555555555556,29.22222222222221,22.38888888888889,20.944444444444446,23.833333333333336,25.33333333333333,25.611111111111107,21.5,18.55555555555556,27.77777777777778,24.944444444444446,20.33333333333333,29.111111111111114,21.38888888888889,29.833333333333336,22.55555555555556,19.55555555555556,29.0,24.27777777777778,26.0,24.833333333333336,20.72222222222222,25.27777777777778,27.83333333333333,28.38888888888889,24.611111111111107,27.944444444444443,28.88888888888889,23.55555555555556,27.88888888888889,28.88888888888889,13.444444444444446,25.38888888888889,25.222222222222225,21.55555555555556,25.05555555555555,15.833333333333332,18.94444444444444,26.44444444444444,14.77777777777778,25.38888888888889
