Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
45.1,31.85479452054794,17.696296296296296,58.291891891891886,45.36153846153846,41.61648936170213,26.775138121546966,10.461111111111112
44.4121212121212,31.356164383561637,17.33333333333334,57.810810810810814,44.917948717948704,40.99574468085107,26.4182320441989,10.444444444444445
43.7939393939394,30.906164383561652,17.02777777777778,57.393243243243234,44.50769230769232,40.46382978723404,26.120441988950276,10.466666666666667
43.260606060606065,30.501369863013696,16.75925925925926,57.00945945945946,44.146153846153844,39.9813829787234,25.84696132596685,10.433333333333332
42.81212121212121,30.118493150684937,16.51666666666667,56.670270270270265,43.8076923076923,39.520212765957446,25.580662983425416,10.494444444444445
42.309090909090905,29.77465753424658,16.27962962962963,56.358108108108105,43.53589743589743,39.119680851063826,25.35082872928177,10.511111111111113
41.9030303030303,29.511643835616443,16.08981481481481,56.11351351351351,43.37948717948717,38.770212765957446,25.168508287292816,10.477777777777778
41.63030303030303,29.27465753424658,15.916666666666664,55.939189189189186,43.3025641025641,38.4813829787234,25.001657458563532,10.544444444444444
42.60909090909091,29.484246575342464,16.03240740740741,56.76216216216217,44.58461538461539,39.102127659574464,25.2,10.555555555555555
46.5060606060606,31.76986301369863,17.812037037037037,59.73783783783783,48.14871794871795,42.16808510638298,26.976795580110494,10.855555555555556
50.487878787878785,34.482191780821914,20.332407407407405,62.57567567567567,51.484615384615374,45.40797872340426,29.200000000000003,11.183333333333334
53.724242424242426,36.92739726027397,22.609259259259254,64.8391891891892,54.0025641025641,48.263829787234044,31.158011049723754,11.627777777777776
56.24545454545454,38.9445205479452,24.38425925925926,66.42567567567569,55.53846153846154,50.513829787234044,32.712707182320436,12.35
58.16666666666667,40.47260273972603,25.656481481481475,67.41756756756757,56.31282051282052,52.193617021276594,33.82596685082873,13.12777777777778
59.49090909090909,41.46917808219178,26.337962962962962,67.92702702702704,56.49230769230769,53.30691489361703,34.47458563535911,13.527777777777777
60.21212121212121,41.8054794520548,26.352777777777778,67.89594594594595,56.15128205128205,53.7654255319149,34.54585635359117,13.522222222222222
60.01818181818182,41.27602739726027,25.38055555555556,67.28108108108107,55.151282051282045,53.33989361702128,33.83038674033149,13.183333333333332
58.15151515151515,39.30753424657534,23.315740740740743,65.81756756756758,52.78717948717949,51.319148936170215,32.04364640883978,12.616666666666667
54.88787878787878,37.02054794520548,21.65925925925926,63.34054054054054,50.94358974358973,48.285106382978725,30.450276243093924,12.272222222222219
52.272727272727266,35.52876712328767,20.566666666666666,61.69864864864864,49.67179487179487,46.225531914893615,29.421546961325973,12.027777777777779
50.3969696969697,34.52602739726027,19.792592592592587,60.802702702702696,48.697435897435895,44.89468085106383,28.712154696132593,11.872222222222222
48.94242424242424,33.70890410958904,19.152777777777775,60.04054054054054,47.91538461538462,43.871276595744675,28.125966850828725,11.761111111111113
47.709090909090904,33.030136986301365,18.65462962962963,59.404054054054065,47.25641025641026,43.01170212765958,27.61270718232044,11.661111111111111
46.75151515151515,32.428082191780824,18.19722222222222,58.870270270270275,46.689743589743586,42.27127659574467,27.167403314917127,11.633333333333333
45.972727272727276,31.897260273972602,17.825925925925926,58.379729729729725,46.16153846153846,41.62712765957447,26.795580110497237,11.583333333333336
45.27272727272727,31.40684931506849,17.462962962962962,57.89324324324325,45.72051282051282,41.00265957446808,26.43480662983426,11.561111111111112
44.627272727272725,30.954109589041096,17.14814814814815,57.47162162162163,45.30769230769231,40.464893617021275,26.13480662983426,11.555555555555557
44.09090909090909,30.54794520547945,16.877777777777776,57.095945945945935,44.94358974358975,39.98457446808511,25.859116022099446,11.544444444444444
43.630303030303025,30.160273972602738,16.633333333333333,56.748648648648654,44.59487179487179,39.525,25.59060773480663,11.566666666666668
43.133333333333326,29.823287671232883,16.387962962962963,56.44459459459459,44.32307692307693,39.13404255319149,25.36243093922652,11.583333333333334
42.71818181818182,29.559589041095894,16.203703703703702,56.18783783783783,44.179487179487175,38.77606382978723,25.18453038674033,11.555555555555554
42.42424242424242,29.33013698630137,16.010185185185183,56.020270270270274,44.094871794871786,38.49521276595745,25.01823204419889,11.583333333333336
43.421212121212115,29.53972602739726,16.122222222222224,56.82972972972973,45.34615384615385,39.12340425531915,25.22099447513812,11.6
47.32121212121212,31.82808219178082,17.920370370370367,59.84324324324325,48.87692307692308,42.19734042553191,26.99226519337017,11.894444444444444
51.306060606060605,34.55410958904109,20.46111111111111,62.70135135135135,52.21282051282052,45.448936170212775,29.222099447513806,12.244444444444444
54.551515151515154,37.0082191780822,22.771296296296295,64.99324324324323,54.71282051282051,48.32659574468086,31.199999999999996,12.694444444444445
57.07272727272727,39.03287671232877,24.573148148148146,66.5891891891892,56.23333333333334,50.57659574468085,32.767403314917125,13.450000000000001
59.021212121212116,40.571917808219176,25.864814814814817,67.5891891891892,56.992307692307676,52.272872340425536,33.89171270718232,14.233333333333333
60.34848484848486,41.56438356164384,26.55925925925926,68.11216216216216,57.18205128205128,53.39627659574468,34.54696132596685,14.666666666666666
61.06666666666667,41.90684931506849,26.5962962962963,68.09054054054054,56.853846153846156,53.86702127659574,34.62817679558012,14.683333333333334
60.93030303030303,41.38767123287671,25.64259259259259,67.48378378378379,55.86153846153848,53.459574468085115,33.927624309392264,14.294444444444444
59.054545454545455,39.42602739726028,23.571296296296296,66.02567567567569,53.54358974358974,51.471808510638304,32.158011049723754,13.72777777777778
55.82727272727273,37.12397260273973,21.876851851851853,63.53108108108108,51.707692307692305,48.44042553191489,30.544751381215473,13.366666666666667
53.157575757575756,35.61643835616438,20.762037037037036,61.87162162162162,50.44102564102564,46.373936170212765,29.493922651933705,13.083333333333336
51.27272727272727,34.593835616438355,19.976851851851848,60.972972972972975,49.48205128205129,45.04734042553191,28.788397790055253,12.955555555555556
49.8030303030303,33.77671232876712,19.332407407407413,60.193243243243245,48.710256410256406,44.01702127659575,28.19060773480663,12.838888888888889
48.54545454545455,33.092465753424655,18.831481481481482,59.552702702702696,48.06153846153846,43.15851063829788,27.679005524861875,12.722222222222223
47.56969696969696,32.48835616438355,18.37962962962963,59.020270270270274,47.48717948717949,42.41808510638298,27.23591160220995,12.711111111111112
46.760606060606065,31.961643835616435,18.013888888888886,58.528378378378385,46.95384615384616,41.76702127659574,26.859668508287296,12.666666666666664
46.054545454545455,31.46301369863014,17.64537037037037,58.04594594594595,46.5102564102564,41.150000000000006,26.49558011049724,12.66111111111111
45.40303030303029,31.006849315068493,17.34351851851852,57.62837837837838,46.08205128205128,40.609042553191486,26.19558011049724,12.638888888888888
44.86666666666667,30.61506849315068,17.074074074074073,57.256756756756744,45.71025641025641,40.126595744680856,25.917127071823206,12.605555555555554
