Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
60.9,39.1,23.85,67.45,56.3,51.5,32.1,15.7
57.2,37.1,22.15,64.55,53.8,48.650000000000006,30.5,15.049999999999999
54.2,35.7,20.95,62.55,51.6,46.6,29.5,14.5
52.5,34.75,20.25,61.3,50.5,45.3,28.8,14.05
50.4,34.05,19.6,60.2,49.5,44.25,28.2,13.350000000000001
49.1,33.25,19.049999999999997,59.35,48.7,43.4,27.7,12.95
48.0,32.6,18.3,58.5,47.8,42.650000000000006,27.4,12.55
47.0,32.05,17.85,57.849999999999994,47.1,42.1,27.0,12.3
46.1,31.65,17.45,57.4,46.5,41.55,26.7,12.05
45.1,31.299999999999997,17.0,57.0,45.8,41.05,26.4,11.85
44.7,30.95,16.7,56.6,45.5,40.6,26.2,11.5
44.3,30.5,16.35,56.3,45.0,40.1,25.9,11.25
43.9,30.15,16.0,56.0,44.7,39.75,25.7,11.05
43.5,29.950000000000003,15.850000000000001,55.6,44.7,39.4,25.5,11.0
43.1,29.75,15.5,55.45,44.7,39.05,25.5,11.0
43.9,30.1,16.35,55.85,45.3,39.35,25.6,11.149999999999999
47.6,32.2,18.3,59.099999999999994,50.8,42.349999999999994,27.6,12.4
51.6,34.5,20.450000000000003,62.349999999999994,55.7,45.5,29.1,12.649999999999999
55.2,37.0,22.5,65.3,59.2,48.45,31.3,12.8
58.2,38.75,24.35,67.4,60.5,50.6,32.6,14.15
60.6,40.2,25.45,68.80000000000001,60.5,52.349999999999994,33.8,15.7
61.8,41.0,26.15,69.6,60.2,53.55,34.3,16.55
62.8,41.3,26.3,69.5,60.0,54.2,34.4,16.7
62.5,40.95,25.55,68.95,59.2,53.95,33.7,16.3
60.9,38.8,23.85,67.4,56.5,51.650000000000006,32.1,15.600000000000001
57.4,37.0,22.05,64.45,53.9,48.8,30.5,14.95
54.6,35.7,20.9,62.5,51.8,46.650000000000006,29.5,14.45
52.6,34.849999999999994,20.35,61.35,50.7,45.349999999999994,28.8,13.9
50.8,34.0,19.75,60.1,49.6,44.3,28.0,13.2
49.2,33.25,19.1,59.15,48.8,43.4,27.6,12.75
48.0,32.55,18.4,58.400000000000006,48.0,42.7,27.3,12.399999999999999
47.2,32.0,17.9,57.8,47.2,42.2,26.9,12.149999999999999
46.2,31.65,17.450000000000003,57.4,46.5,41.5,26.5,12.0
45.1,31.15,17.1,56.95,46.0,41.0,26.3,11.85
44.7,30.700000000000003,16.75,56.55,45.6,40.5,26.1,11.5
44.4,30.2,16.4,56.150000000000006,45.1,40.1,25.7,11.25
44.0,29.75,16.1,55.9,44.9,39.7,25.6,11.05
43.5,29.6,15.95,55.45,44.7,39.349999999999994,25.4,11.05
43.2,29.45,15.65,55.2,44.8,39.0,25.2,11.15
44.0,29.7,16.450000000000003,55.6,45.4,39.3,25.5,11.149999999999999
47.6,32.0,18.25,58.900000000000006,50.8,42.150000000000006,27.4,12.15
51.5,34.349999999999994,20.35,62.150000000000006,55.7,45.349999999999994,28.9,12.3
55.4,36.8,22.35,65.1,59.4,48.3,31.2,12.55
58.5,38.45,24.2,67.1,60.6,50.650000000000006,32.6,13.95
60.8,40.05,25.4,68.55,60.7,52.3,33.7,15.5
62.2,40.9,25.95,69.25,60.4,53.55,34.3,16.5
63.0,41.1,26.25,69.25,60.2,54.1,34.3,16.65
62.5,40.7,25.6,68.69999999999999,59.4,53.849999999999994,33.7,16.25
60.9,38.7,23.9,67.1,56.7,51.8,32.1,15.4
57.4,36.9,22.05,64.2,54.0,48.7,30.4,14.65
54.8,35.55,21.05,62.3,51.9,46.7,29.4,14.05
52.7,34.55,20.25,61.2,50.9,45.4,28.7,13.75
50.8,33.849999999999994,19.65,59.95,49.7,44.3,27.9,13.25
49.2,33.0,19.15,59.0,48.9,43.349999999999994,27.5,12.7
47.9,32.45,18.5,58.25,48.1,42.55,27.0,12.35
47.2,32.0,17.95,57.650000000000006,47.3,41.95,26.6,12.149999999999999
46.3,31.35,17.5,57.2,46.6,41.349999999999994,26.3,11.95
45.0,30.799999999999997,17.1,56.75,46.0,40.849999999999994,26.1,11.8
44.7,30.35,16.85,56.3,45.7,40.3,25.8,11.45
44.5,29.85,16.45,55.9,45.2,39.9,25.5,11.2
43.8,29.4,16.1,55.650000000000006,45.0,39.4,25.5,11.0
43.3,29.2,15.95,55.3,44.8,39.0,25.3,10.95
43.0,29.1,15.600000000000001,55.05,44.8,38.75,25.1,11.05
43.8,29.45,16.4,55.4,45.5,39.05,25.3,11.0
47.6,31.8,18.25,58.7,51.0,42.25,27.2,11.85
51.4,34.25,20.35,61.95,56.0,45.3,28.9,12.0
55.6,36.8,22.4,64.9,59.5,48.2,31.1,12.2
58.7,38.349999999999994,24.2,66.9,61.0,50.6,32.4,13.55
61.1,40.05,25.45,68.25,60.9,52.4,33.8,15.15
62.5,40.7,25.95,68.9,60.8,53.6,34.4,16.4
63.3,41.05,26.299999999999997,69.0,60.4,54.2,34.4,16.6
62.5,40.6,25.75,68.45,59.7,53.95,33.9,16.05
61.0,38.7,24.15,66.8,57.0,51.75,32.1,15.25
57.7,36.849999999999994,22.25,63.849999999999994,54.2,48.75,30.5,14.5
55.0,35.5,21.15,61.9,52.1,46.650000000000006,29.3,13.95
52.7,34.4,20.5,61.0,50.9,45.2,28.7,13.5
51.0,33.6,19.9,59.7,49.8,44.2,28.0,13.25
49.4,32.849999999999994,19.45,58.65,49.0,43.3,27.5,12.65
48.1,32.349999999999994,18.55,58.0,48.1,42.55,27.0,12.3
47.3,31.8,18.2,57.45,47.4,41.849999999999994,26.6,12.05
46.4,31.25,17.799999999999997,57.0,46.6,41.2,26.1,11.9
45.3,30.65,17.4,56.4,46.1,40.75,25.9,11.7
44.9,30.049999999999997,17.0,56.0,45.8,40.25,25.6,11.35
44.6,29.6,16.65,55.5,45.4,39.75,25.3,11.1
44.0,29.15,16.3,55.25,45.1,39.4,25.1,10.9
43.5,28.9,16.05,54.8,44.9,38.95,24.9,10.9
43.1,28.799999999999997,15.75,54.6,44.9,38.650000000000006,24.8,11.0
43.7,29.35,16.55,55.2,45.4,38.95,25.3,11.0
47.7,31.65,18.4,58.55,51.1,42.1,26.9,11.75
51.6,34.2,20.5,61.75,56.2,45.349999999999994,29.0,11.85
56.0,36.55,22.5,64.6,59.7,48.25,31.0,12.1
59.1,38.4,24.3,66.7,61.3,50.55,32.5,13.5
61.4,39.849999999999994,25.55,67.85,61.2,52.45,33.7,15.15
62.9,40.7,26.2,68.5,61.0,53.75,34.5,16.25
63.7,41.05,26.7,68.69999999999999,60.6,54.3,34.5,16.5
62.7,40.9,25.95,68.0,59.8,54.1,33.8,15.95
61.2,39.0,24.1,66.45,57.2,51.849999999999994,32.1,15.149999999999999
58.0,36.9,22.55,63.4,54.4,48.7,30.4,14.350000000000001
55.2,35.5,21.6,61.75,52.2,46.7,29.3,13.8
53.0,34.35,20.85,60.8,51.0,45.2,28.6,13.399999999999999
51.2,33.650000000000006,20.15,59.45,49.9,44.25,28.0,13.25
49.7,33.0,19.75,58.45,49.1,43.5,27.5,12.649999999999999
48.3,32.349999999999994,19.1,57.650000000000006,48.2,42.6,27.2,12.3
