Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
103.24723320158105,38.88509515039902,101.09879781420764,32.394815175774454,157.92305263157894,20.60753560371517,29.05510652515723
96.99359683794465,38.54069183548189,98.64152459016393,31.818219282979463,158.76660526315789,20.436004815961475,28.194433569182394
91.04766798418973,37.98316267648865,96.27203278688525,31.57729516185172,156.95923684210527,20.413649810801513,27.445864386792444
85.61055335968378,37.55545058317986,93.922131147541,31.201627567003133,154.62463157894734,20.203053319573446,26.86824528301887
81.6618181818182,37.25080847145489,91.778131147541,30.998720501218237,154.50305263157892,20.250632266941864,26.27969143081761
76.05723320158104,37.012860036832414,90.063043715847,30.97806787330317,154.78365789473682,20.135061575507397,25.79159748427673
72.02347826086958,37.02360343769184,88.4292349726776,30.99247476505395,153.73484210526314,20.191373237014105,25.5216411163522
68.54494071146246,37.07136893799878,87.05011475409835,31.054828054298643,153.45642105263158,20.153938080495358,25.469558176100623
72.65422924901185,38.74405524861879,90.99416939890709,32.60717194570136,153.96884210526315,21.65299690402477,29.81449646226415
86.90521739130438,45.96006445672191,98.82939344262296,36.92120988513749,154.4368421052631,27.29162848297214,34.239543632075474
100.70292490118577,51.65650276243093,100.10727868852459,39.35155064392621,155.87989473684212,33.68315445476436,36.62067767295598
108.82541501976283,54.57741190914672,97.213868852459,41.00521963104769,161.08831578947368,38.315597523219814,37.78170440251573
113.93695652173913,55.30285573971763,93.96124043715847,41.56698259658893,166.09368421052633,40.84251461988304,37.17731918238994
116.34347826086955,55.0923505217925,90.1073770491803,41.662609119387405,167.23473684210524,41.84298452012384,35.51408805031446
116.03529644268778,53.90135850214857,86.01505464480874,41.38002819352593,164.77102631578947,41.25540626074992,33.29696698113207
113.7316996047431,52.290718845917745,81.77315300546448,41.41722798468499,165.51713157894739,40.103820433436525,30.920980738993713
107.93264822134388,50.01194536525476,77.74116393442623,39.82088722589628,163.68344736842107,37.37764568283454,28.463465408805035
95.92936758893279,44.74392449355433,74.02651366120219,35.86251166028542,158.99418421052633,29.887338149294802,26.15281407232704
79.63968379446641,41.002831798649474,70.56536612021858,31.300663069961715,155.28726315789473,23.0547306501548,23.440326650943398
67.94312252964427,39.17204788213628,68.72946448087434,29.31161468847894,155.22471052631576,21.121338149294804,21.660172562893084
58.13332015810277,37.64660282381829,67.68984153005466,28.054290288896627,156.18115789473686,19.91282421740626,20.78175943396226
50.81675889328062,36.49654205033764,66.0964480874317,27.290496345283678,157.08578947368417,19.349965600275198,20.171792452830186
46.01719367588933,35.8690963781461,64.6410382513661,26.63815697876784,158.25713157894742,18.997249398004815,19.662420990566034
40.750197628458494,35.25418907305095,63.04046448087433,26.223906717716673,162.52726315789477,19.14195528035776,19.346090801886792
36.66177865612649,34.97900491098833,61.18039344262295,25.666184824225546,164.2714736842105,19.03503887168903,18.994603380503147
34.12857707509881,34.975944137507675,60.00362295081968,25.525286808214414,167.30431578947366,19.221207430340556,18.589168238993715
31.63173913043478,34.804448127685696,58.78830054644808,25.70405464671076,168.10513157894738,19.57964155486756,18.2866945754717
29.664466403162063,34.759549416820136,57.60261202185793,25.878275321963102,169.04049999999998,19.822520811833506,18.17641470125786
29.00241106719367,34.83708655616943,56.69251366120218,26.07671597633136,171.85410526315786,20.351431028551772,17.93043867924528
26.84679841897234,34.956124616329035,55.87024043715847,26.421644274277764,174.36000000000004,20.650079119367046,17.89096855345912
