station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _21,station _22,station _23,station _24,station _25,station _26,station _27,station _28,station _29,station _3,station _30,station _31,station _32,station _33,station _4,station _5,station _6,station _7,station _8,station _9
20.72222222222222,20.72222222222222,19.833333333333336,11.500000000000002,14.77777777777778,14.944444444444445,21.77777777777778,15.22222222222222,14.944444444444445,17.72222222222222,22.38888888888889,26.55555555555556,17.22222222222222,10.833333333333334,12.166666666666666,22.944444444444443,24.77777777777777,17.5,25.38888888888889,20.444444444444443,17.5,14.77777777777778,23.77777777777777,12.444444444444445,11.944444444444445,19.666666666666668,19.111111111111114,19.388888888888893,21.944444444444443,19.77777777777777,23.444444444444446,18.33333333333333,22.5
22.333333333333336,21.55555555555556,19.61111111111111,11.166666666666668,14.5,14.666666666666666,21.333333333333336,14.944444444444445,14.72222222222222,15.777777777777777,21.77777777777778,27.0,16.61111111111111,10.666666666666668,12.055555555555555,24.05555555555556,26.72222222222221,17.333333333333336,25.166666666666664,20.33333333333333,17.444444444444443,14.611111111111107,23.05555555555556,13.499999999999998,11.77777777777778,19.666666666666668,19.27777777777778,20.444444444444443,24.111111111111114,20.777777777777786,24.388888888888893,18.277777777777786,23.388888888888886
24.388888888888893,22.38888888888889,19.33333333333333,10.999999999999998,14.388888888888888,14.5,20.444444444444443,14.888888888888888,14.5,15.055555555555555,20.55555555555556,27.0,16.11111111111111,10.555555555555555,12.944444444444445,24.611111111111107,27.61111111111111,17.166666666666664,24.88888888888889,20.222222222222225,17.444444444444443,14.388888888888888,21.944444444444443,15.055555555555555,11.666666666666666,19.444444444444443,19.22222222222221,21.83333333333333,25.55555555555556,22.166666666666668,24.88888888888889,18.111111111111107,23.94444444444444
26.166666666666664,22.77777777777778,19.166666666666668,10.666666666666668,14.333333333333332,14.388888888888888,19.27777777777778,14.833333333333334,14.333333333333332,14.77777777777778,18.94444444444444,26.888888888888893,15.666666666666668,10.444444444444445,13.666666666666668,24.833333333333336,27.88888888888889,17.0,24.27777777777778,20.33333333333333,18.88888888888889,14.27777777777778,20.88888888888889,16.72222222222222,13.22222222222222,18.833333333333336,18.833333333333336,22.55555555555556,26.166666666666664,23.77777777777777,25.0,18.38888888888889,24.333333333333332
26.888888888888893,22.88888888888889,18.833333333333336,11.666666666666666,15.166666666666664,14.222222222222223,18.000000000000004,15.555555555555555,14.27777777777778,14.555555555555555,17.11111111111111,26.22222222222222,15.38888888888889,11.166666666666668,14.27777777777778,24.944444444444446,27.77777777777778,16.77777777777778,23.55555555555556,21.27777777777777,20.33333333333333,14.11111111111111,20.38888888888889,18.111111111111107,15.666666666666668,18.000000000000004,18.05555555555556,22.83333333333333,26.38888888888889,25.11111111111111,24.833333333333336,19.222222222222214,24.444444444444443
27.22222222222222,22.61111111111111,18.38888888888889,14.11111111111111,16.944444444444443,14.166666666666666,16.555555555555554,17.22222222222222,14.055555555555554,14.388888888888888,15.72222222222222,25.166666666666664,15.055555555555555,13.22222222222222,15.0,24.666666666666668,27.55555555555555,16.61111111111111,22.55555555555556,22.55555555555556,21.77777777777778,14.11111111111111,20.166666666666664,18.77777777777777,17.72222222222222,16.944444444444443,16.833333333333332,23.05555555555556,26.44444444444444,25.944444444444446,24.444444444444443,20.555555555555557,24.333333333333332
27.27777777777777,22.0,18.33333333333333,16.944444444444443,17.83333333333333,14.666666666666666,16.055555555555554,19.0,14.000000000000002,14.222222222222223,15.38888888888889,23.77777777777777,14.72222222222222,14.555555555555555,15.61111111111111,24.111111111111114,27.111111111111107,16.555555555555554,22.0,24.166666666666664,22.722222222222225,14.944444444444445,20.0,19.388888888888893,19.833333333333336,15.833333333333332,15.111111111111112,23.166666666666668,26.22222222222222,26.72222222222221,23.55555555555556,21.888888888888893,24.111111111111114
27.166666666666668,20.83333333333333,18.166666666666668,19.833333333333336,18.833333333333336,15.833333333333332,15.833333333333332,20.55555555555556,14.72222222222222,14.11111111111111,15.111111111111112,21.83333333333333,14.444444444444445,15.166666666666664,15.944444444444446,23.277777777777786,26.27777777777777,16.5,21.77777777777778,25.666666666666668,23.166666666666668,16.88888888888889,19.88888888888889,19.388888888888893,21.77777777777778,15.22222222222222,14.166666666666666,23.111111111111107,25.77777777777778,27.333333333333336,22.27777777777777,22.77777777777778,23.666666666666664
26.77777777777778,19.388888888888893,18.05555555555556,22.55555555555556,19.944444444444446,17.61111111111111,15.61111111111111,21.944444444444443,15.88888888888889,14.000000000000002,14.77777777777778,20.611111111111107,15.166666666666664,15.833333333333332,16.277777777777775,22.27777777777777,25.05555555555555,17.72222222222222,21.55555555555556,26.611111111111114,23.277777777777786,19.55555555555556,19.77777777777777,19.111111111111114,23.61111111111111,14.72222222222222,13.555555555555554,22.83333333333333,24.944444444444446,27.722222222222225,20.72222222222222,23.111111111111107,23.000000000000004
26.0,18.22222222222222,18.05555555555556,24.944444444444446,21.27777777777777,19.944444444444446,15.444444444444445,23.22222222222222,17.055555555555557,13.833333333333332,14.444444444444445,19.5,16.444444444444446,16.38888888888889,16.333333333333332,21.05555555555556,23.38888888888889,19.166666666666668,21.333333333333336,27.111111111111107,23.22222222222222,22.55555555555556,19.61111111111111,18.55555555555556,24.88888888888889,14.222222222222223,12.999999999999998,22.38888888888889,23.77777777777777,27.722222222222225,19.55555555555556,23.166666666666668,22.055555555555557
