station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _21,station _22,station _23,station _24,station _25,station _26,station _27,station _28,station _29,station _3,station _30,station _31,station _32,station _33,station _34,station _35,station _36,station _37,station _38,station _39,station _4,station _40,station _41,station _42,station _43,station _44,station _45,station _46,station _47,station _48,station _5,station _6,station _7,station _8,station _9
17.72222222222222,19.88888888888889,18.05555555555556,13.499999999999998,16.222222222222225,14.388888888888888,17.333333333333336,18.111111111111107,15.111111111111112,15.72222222222222,15.61111111111111,14.888888888888888,14.611111111111107,12.5,18.38888888888889,19.05555555555556,18.55555555555556,16.38888888888889,15.666666666666668,21.611111111111114,17.61111111111111,12.0,19.55555555555556,22.55555555555556,19.33333333333333,11.333333333333332,11.833333333333332,13.666666666666668,13.055555555555555,17.166666666666664,19.05555555555556,21.0,17.72222222222222,15.333333333333334,18.77777777777777,26.166666666666664,19.0,20.611111111111107,19.77777777777777,18.166666666666668,19.27777777777778,18.22222222222222,15.72222222222222,17.61111111111111,18.77777777777777,13.61111111111111,15.777777777777777,21.222222222222225
17.555555555555557,20.72222222222222,17.944444444444443,13.22222222222222,15.944444444444446,14.055555555555554,17.0,18.000000000000004,14.77777777777778,15.499999999999998,15.22222222222222,14.611111111111107,14.388888888888888,12.27777777777778,18.277777777777786,18.833333333333336,18.22222222222222,16.055555555555554,15.38888888888889,21.44444444444444,17.166666666666664,12.27777777777778,17.88888888888889,23.666666666666664,18.33333333333333,11.722222222222223,11.555555555555554,13.555555555555554,12.833333333333334,16.72222222222222,18.833333333333336,21.888888888888893,17.666666666666664,15.0,19.77777777777777,26.11111111111111,19.05555555555556,20.500000000000004,19.61111111111111,17.944444444444443,19.72222222222222,18.111111111111107,16.61111111111111,16.222222222222225,18.5,13.38888888888889,15.61111111111111,21.222222222222225
17.444444444444443,21.38888888888889,17.83333333333333,12.999999999999998,15.72222222222222,13.61111111111111,16.77777777777778,17.83333333333333,14.444444444444445,15.111111111111112,15.0,14.388888888888888,14.166666666666666,12.22222222222222,18.277777777777786,18.61111111111111,17.88888888888889,15.72222222222222,15.111111111111112,21.27777777777777,16.944444444444443,14.27777777777778,17.11111111111111,24.5,16.833333333333332,12.777777777777777,11.222222222222223,13.277777777777777,12.555555555555555,15.72222222222222,18.722222222222225,24.666666666666668,17.61111111111111,14.666666666666666,22.83333333333333,26.05555555555556,19.0,20.38888888888889,19.5,17.72222222222222,20.0,18.000000000000004,17.27777777777778,15.666666666666668,18.38888888888889,13.166666666666668,15.499999999999998,21.11111111111111
17.333333333333336,21.5,18.38888888888889,12.833333333333334,15.499999999999998,13.444444444444446,16.61111111111111,18.61111111111111,14.166666666666666,15.72222222222222,14.77777777777778,14.166666666666666,14.11111111111111,11.888888888888888,20.0,18.5,17.72222222222222,15.499999999999998,15.055555555555555,21.11111111111111,16.72222222222222,16.38888888888889,16.222222222222225,24.77777777777777,15.72222222222222,13.555555555555554,10.999999999999998,13.499999999999998,12.611111111111112,14.388888888888888,19.72222222222222,25.611111111111107,18.111111111111107,14.5,24.72222222222222,25.77777777777778,19.22222222222221,20.38888888888889,19.33333333333333,17.5,19.88888888888889,19.72222222222222,17.666666666666664,15.111111111111112,18.166666666666668,12.999999999999998,17.055555555555557,21.11111111111111
17.22222222222222,21.333333333333336,19.88888888888889,13.38888888888889,15.38888888888889,13.22222222222222,16.444444444444446,20.166666666666664,13.944444444444445,17.055555555555557,14.611111111111107,15.88888888888889,14.000000000000002,12.22222222222222,21.944444444444443,18.5,17.555555555555557,15.277777777777777,14.944444444444445,21.0,16.5,18.277777777777786,15.61111111111111,24.666666666666668,15.0,14.27777777777778,10.944444444444446,15.277777777777777,14.166666666666666,13.722222222222223,22.22222222222222,26.22222222222222,20.55555555555556,14.27777777777778,25.77777777777778,25.222222222222225,20.166666666666664,20.777777777777786,19.33333333333333,18.277777777777786,19.55555555555556,21.83333333333333,17.72222222222222,14.555555555555555,18.000000000000004,14.833333333333334,19.444444444444443,21.999999999999996
17.055555555555557,20.777777777777786,21.44444444444444,15.444444444444445,16.444444444444446,14.833333333333334,17.444444444444443,21.666666666666668,13.722222222222223,18.61111111111111,16.222222222222225,17.88888888888889,14.555555555555555,14.000000000000002,23.33333333333333,20.05555555555556,17.388888888888886,15.111111111111112,17.77777777777778,21.0,16.38888888888889,19.5,15.111111111111112,23.61111111111111,14.555555555555555,14.888888888888888,10.88888888888889,17.055555555555557,16.055555555555554,13.333333333333332,24.166666666666664,26.55555555555556,22.11111111111111,14.166666666666666,26.44444444444444,24.22222222222221,22.722222222222225,22.333333333333336,20.0,20.05555555555556,18.722222222222225,23.33333333333333,17.27777777777778,14.055555555555554,19.77777777777777,17.444444444444443,21.611111111111114,22.83333333333333
18.22222222222222,19.88888888888889,22.55555555555556,17.5,18.277777777777786,17.83333333333333,19.5,22.61111111111111,15.444444444444445,19.833333333333336,18.77777777777777,19.77777777777777,16.11111111111111,16.166666666666668,24.388888888888893,21.888888888888893,17.388888888888886,16.72222222222222,20.500000000000004,21.944444444444443,18.111111111111107,20.27777777777778,14.5,21.611111111111114,14.333333333333332,15.166666666666664,11.055555555555555,18.444444444444446,17.88888888888889,12.999999999999998,25.05555555555555,26.55555555555556,22.944444444444443,16.166666666666668,26.77777777777778,23.5,23.88888888888889,23.833333333333336,23.166666666666668,21.55555555555556,17.88888888888889,24.27777777777778,15.999999999999998,13.61111111111111,21.77777777777778,19.5,23.166666666666668,23.499999999999996
20.944444444444446,18.38888888888889,23.166666666666668,19.111111111111114,20.0,20.05555555555556,21.222222222222225,23.277777777777786,17.88888888888889,20.55555555555556,20.777777777777786,21.38888888888889,17.61111111111111,18.05555555555556,25.0,23.277777777777786,19.833333333333336,19.444444444444443,22.05555555555556,23.000000000000004,20.55555555555556,20.72222222222222,14.166666666666666,20.05555555555556,14.11111111111111,15.38888888888889,12.999999999999998,19.27777777777778,19.33333333333333,12.833333333333334,25.38888888888889,26.72222222222221,23.55555555555556,18.61111111111111,26.72222222222221,23.166666666666668,24.611111111111107,24.611111111111107,24.77777777777777,22.5,17.388888888888886,24.88888888888889,14.888888888888888,13.333333333333332,23.166666666666668,20.83333333333333,24.33333333333333,24.055555555555554
22.333333333333336,17.333333333333336,23.61111111111111,20.38888888888889,21.333333333333336,21.333333333333336,22.333333333333336,23.61111111111111,20.05555555555556,20.944444444444446,22.05555555555556,22.5,19.05555555555556,19.33333333333333,25.38888888888889,24.166666666666664,22.11111111111111,21.611111111111114,23.05555555555556,23.88888888888889,22.5,20.777777777777786,13.833333333333332,19.0,14.000000000000002,15.333333333333334,14.888888888888888,19.77777777777777,20.33333333333333,12.555555555555555,25.666666666666668,26.611111111111114,23.94444444444444,20.611111111111107,26.44444444444444,22.83333333333333,25.0,24.944444444444446,25.55555555555556,23.05555555555556,16.88888888888889,25.222222222222225,14.222222222222223,12.944444444444445,24.22222222222221,21.666666666666668,25.05555555555555,24.499999999999996
23.000000000000004,16.72222222222222,23.833333333333336,21.222222222222225,22.27777777777777,22.11111111111111,23.166666666666668,23.722222222222225,21.55555555555556,21.05555555555556,23.05555555555556,23.277777777777786,20.222222222222225,20.38888888888889,25.444444444444443,24.833333333333336,23.61111111111111,23.166666666666668,23.666666666666664,24.666666666666668,23.77777777777777,20.38888888888889,13.61111111111111,18.05555555555556,13.88888888888889,15.0,16.555555555555554,19.88888888888889,21.166666666666664,12.444444444444445,25.611111111111107,26.38888888888889,24.111111111111114,22.0,25.944444444444446,22.444444444444446,25.11111111111111,25.11111111111111,26.05555555555556,23.444444444444446,16.555555555555554,25.33333333333333,13.666666666666668,12.666666666666664,24.833333333333336,22.27777777777777,25.500000000000004,24.555555555555557
