station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _21,station _22,station _23,station _24,station _25,station _26,station _27,station _28,station _29,station _3,station _30,station _31,station _32,station _33,station _34,station _35,station _36,station _37,station _38,station _39,station _4,station _40,station _41,station _42,station _43,station _44,station _45,station _46,station _5,station _6,station _7,station _8,station _9
2.1111111111111094,0.7222222222222207,1.3888888888888888,10.166666666666664,1.722222222222223,-15.22222222222222,0.4444444444444428,6.333333333333332,8.666666666666668,7.444444444444444,8.722222222222223,-2.2777777777777786,-3.3888888888888897,-4.444444444444445,-7.555555555555556,-4.611111111111112,-2.2777777777777786,-18.83333333333333,-8.222222222222223,-5.222222222222221,-1.722222222222223,-15.944444444444445,-6.111111111111111,-8.555555555555555,-19.166666666666668,-10.833333333333334,-15.444444444444445,-11.61111111111111,-5.388888888888888,2.388888888888887,-0.2777777777777778,-1.277777777777778,5.277777777777778,1.3888888888888888,4.11111111111111,7.111111111111109,5.277777777777778,10.666666666666668,9.055555555555554,5.222222222222221,-6.61111111111111,4.388888888888888,9.055555555555554,1.277777777777776,-1.3333333333333326,8.166666666666668
0.8888888888888896,0.0555555555555563,1.0555555555555547,10.999999999999998,1.1111111111111112,-15.555555555555555,0.3333333333333341,5.999999999999998,7.999999999999999,7.333333333333335,8.61111111111111,-2.111111111111112,-3.3888888888888897,-4.500000000000001,-7.111111111111112,-4.166666666666667,-2.3888888888888893,-19.05555555555556,-8.777777777777779,-4.444444444444445,-1.4999999999999996,-16.333333333333332,-6.499999999999999,-8.88888888888889,-19.88888888888889,-11.055555555555555,-16.0,-11.0,-6.0555555555555545,1.222222222222224,-0.5555555555555556,-1.7777777777777772,4.055555555555554,0.2777777777777778,3.4999999999999982,6.61111111111111,4.944444444444444,11.500000000000002,9.611111111111107,4.944444444444444,-6.888888888888888,4.722222222222222,8.833333333333332,3.111111111111112,-2.000000000000001,5.611111111111112
-0.2222222222222214,-0.4444444444444448,0.6666666666666682,11.666666666666666,0.5555555555555556,-13.833333333333332,0.1111111111111126,5.611111111111112,7.388888888888887,7.166666666666666,8.499999999999998,-0.777777777777777,-3.5000000000000004,-4.500000000000001,-7.055555555555555,-4.055555555555556,-2.3888888888888893,-19.27777777777778,-9.72222222222222,-4.11111111111111,-1.4999999999999996,-16.61111111111111,-6.944444444444445,-9.222222222222223,-20.38888888888889,-10.777777777777777,-16.72222222222222,-10.722222222222223,-6.555555555555555,0.3333333333333341,-0.8333333333333333,-2.111111111111112,3.277777777777777,-0.7222222222222227,2.8888888888888906,6.111111111111111,4.777777777777779,11.888888888888888,10.0,4.777777777777779,-7.111111111111112,5.0,8.666666666666668,4.444444444444445,-2.444444444444444,4.2777777777777795
-0.8888888888888896,-0.7222222222222227,0.4444444444444428,11.888888888888888,0.1111111111111126,-11.666666666666666,-0.0555555555555563,5.222222222222221,6.944444444444445,7.000000000000001,8.277777777777777,0.6666666666666682,-3.277777777777777,-3.3888888888888897,-7.555555555555556,-4.055555555555556,-2.444444444444444,-19.38888888888889,-10.611111111111112,-4.166666666666667,-1.8333333333333337,-16.88888888888889,-7.222222222222222,-9.666666666666666,-20.72222222222222,-10.22222222222222,-17.0,-10.499999999999998,-7.111111111111112,-0.3888888888888885,-1.1666666666666674,-2.5,2.833333333333334,-1.4999999999999996,2.333333333333335,5.777777777777777,4.61111111111111,12.166666666666666,10.111111111111112,4.777777777777779,-7.444444444444444,5.1111111111111125,8.499999999999998,5.555555555555555,-2.8888888888888884,3.3888888888888897
-1.4999999999999996,-1.1666666666666674,0.1111111111111126,11.666666666666666,-0.2777777777777778,-9.555555555555555,-0.2777777777777778,5.0,6.500000000000002,6.888888888888888,8.22222222222222,2.000000000000001,-2.2222222222222223,-1.6111111111111105,-8.444444444444445,-4.500000000000001,-2.6111111111111107,-19.0,-11.444444444444445,-4.944444444444444,-2.6111111111111107,-17.22222222222222,-7.555555555555556,-9.944444444444445,-21.05555555555556,-9.5,-17.38888888888889,-10.444444444444445,-7.444444444444444,-1.0000000000000004,-1.3888888888888888,-2.666666666666667,2.444444444444444,-2.111111111111112,1.833333333333332,5.555555555555555,4.444444444444445,12.0,10.0,4.666666666666666,-7.666666666666667,5.055555555555556,8.277777777777777,6.388888888888888,-3.277777777777777,2.6111111111111125
-2.055555555555555,-1.5555555555555558,0.0555555555555563,10.999999999999998,-0.777777777777777,-7.444444444444444,-0.4999999999999992,4.666666666666666,6.0555555555555545,6.555555555555554,8.055555555555555,3.2222222222222205,-1.1666666666666674,-0.166666666666667,-9.055555555555555,-5.444444444444445,-2.666666666666667,-17.555555555555557,-12.22222222222222,-6.944444444444445,-3.333333333333333,-17.555555555555557,-7.888888888888888,-10.11111111111111,-21.222222222222225,-8.833333333333332,-17.555555555555557,-10.777777777777777,-7.666666666666667,-1.3888888888888888,-1.722222222222223,-2.999999999999999,2.1666666666666656,-2.666666666666667,1.5000000000000016,5.38888888888889,4.333333333333331,11.444444444444445,9.611111111111107,4.555555555555557,-7.888888888888888,4.777777777777779,8.22222222222222,6.888888888888888,-3.6666666666666674,2.1111111111111094
-2.5,-1.9444444444444444,0.0555555555555563,9.77777777777778,-1.222222222222222,-6.111111111111111,-0.5555555555555556,4.555555555555557,5.7222222222222205,6.444444444444445,7.88888888888889,4.11111111111111,-0.2777777777777778,0.944444444444446,-9.5,-6.61111111111111,-2.722222222222221,-15.499999999999998,-12.666666666666666,-8.722222222222221,-3.8333333333333326,-17.5,-8.111111111111112,-10.22222222222222,-21.5,-8.222222222222223,-17.61111111111111,-11.333333333333332,-7.999999999999999,-1.888888888888888,-1.9444444444444444,-3.3888888888888897,2.000000000000001,-3.333333333333333,1.1111111111111112,5.1111111111111125,4.222222222222223,10.333333333333334,8.944444444444445,4.555555555555557,-8.222222222222223,4.222222222222223,7.999999999999999,7.166666666666666,-3.944444444444445,1.3888888888888888
