Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
45.443703703703704,44.788372093023256,25.317813765182187,35.65,13.92962962962963,61.272222222222226
44.80222222222223,44.36046511627907,24.923076923076923,35.09444444444444,13.687037037037037,60.768518518518526
44.232592592592596,43.979069767441864,24.60080971659919,34.61,13.442592592592591,60.314814814814824
43.748888888888885,43.62325581395349,24.303238866396764,34.14388888888889,13.238888888888887,59.91296296296295
43.2837037037037,43.29302325581395,24.023886639676114,33.71222222222222,13.088888888888892,59.54814814814816
42.85111111111111,43.01395348837209,23.76923076923077,33.33111111111111,12.87962962962963,59.227777777777774
42.48962962962963,42.84418604651162,23.57085020242915,33.01833333333333,12.720370370370372,58.9462962962963
42.21185185185184,42.73023255813953,23.38663967611336,32.742222222222225,12.612962962962966,58.7574074074074
43.01555555555556,43.811627906976746,23.59433198380567,33.02888888888889,12.601851851851851,59.52037037037038
46.26296296296295,46.96976744186047,25.487044534412952,35.66277777777778,13.755555555555553,62.56481481481482
49.57333333333333,50.04883720930231,27.887044534412954,38.61166666666667,15.62037037037037,65.45925925925926
52.465185185185184,52.427906976744175,29.99311740890688,41.24222222222222,17.38888888888889,67.7611111111111
54.75111111111111,53.916279069767434,31.645344129554655,43.38166666666666,18.909259259259255,69.3425925925926
56.45333333333334,54.72558139534885,32.80728744939271,45.00055555555556,20.092592592592595,70.32777777777778
57.56592592592593,54.97209302325581,33.46315789473683,46.090555555555554,20.746296296296297,70.8351851851852
58.03111111111111,54.70697674418605,33.525101214574896,46.52166666666666,20.77962962962963,70.78888888888889
57.63481481481481,53.74418604651163,32.749797570850205,46.065000000000005,20.000000000000004,70.17037037037038
55.71037037037038,51.44651162790697,30.83036437246963,44.07555555555556,18.45,68.73333333333333
52.552592592592596,49.651162790697676,29.133198380566803,41.41833333333333,17.133333333333333,66.21666666666667
50.361481481481476,48.416279069767434,28.030769230769227,39.656666666666666,16.287037037037038,64.47962962962963
48.908888888888896,47.472093023255816,27.268016194331985,38.498333333333335,15.707407407407409,63.56481481481481
47.79259259259259,46.72790697674419,26.639271255060727,37.58,15.201851851851854,62.757407407407406
46.863703703703706,46.086046511627906,26.09514170040486,36.80722222222222,14.846296296296295,62.09074074074075
46.07111111111111,45.51627906976745,25.63279352226721,36.13,14.505555555555555,61.51851851851852
45.4,45.0,25.23967611336033,35.519999999999996,14.216666666666665,61.0
44.74666666666666,44.56744186046512,24.848582995951418,34.96833333333334,13.966666666666665,60.49814814814814
