day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,Median
51.150000000000006,48.05,44.75,43.8,43.95,44.25,44.150000000000006,44.4,44.45,44.45,48.4,45.1,42.55,41.3,41.8,42.1,42.2,42.55,43.1,43.6,44.15,44.9,45.7,46.8,48.1,49.55,51.4,54.55,56.55,56.5,56.0,55.2,53.5,51.4,48.85,46.0,42.5,41.55,41.95,42.3,42.8,43.4,44.0,44.95,45.55,46.6,47.7,48.75,50.0,52.0,55.1,58.35,59.5,60.15,59.8,58.95,57.25,55.0,52.25,49.4,46.3,44.35,44.6,45.3,46.2,47.150000000000006,47.9,49.0,49.7,50.55,51.75,52.55,54.2,56.05,59.05,61.95,63.85,64.75,64.55,64.0,63.3,61.8,60.0,56.8,53.85,50.85,50.45,51.150000000000006,51.6,52.150000000000006,48.925
53.95,51.05,48.0,44.7,43.75,43.95,43.85,43.95,44.0,43.95,50.9,48.4,45.25,42.650000000000006,41.35,41.75,41.75,42.05,42.6,43.1,43.6,44.2,44.95,45.7,46.95,48.15,49.45,51.4,54.75,56.55,56.6,56.25,55.3,53.650000000000006,51.7,49.150000000000006,46.2,42.650000000000006,41.650000000000006,42.0,42.35,42.85,43.45,44.3,44.75,45.75,46.8,47.75,48.6,50.45,52.25,55.150000000000006,58.4,59.95,60.4,60.1,59.0,57.15,55.1,52.35,49.650000000000006,46.4,44.3,44.95,45.6,46.400000000000006,47.3,48.0,48.85,49.65,50.8,51.5,52.7,54.2,56.2,59.4,62.150000000000006,64.05,65.15,64.85,64.19999999999999,63.5,62.4,60.45,57.3,54.35,51.2,50.75,51.150000000000006,51.55,49.300000000000004
56.150000000000006,53.8,50.95,47.8,44.7,43.7,43.650000000000006,43.55,43.6,43.6,53.1,50.9,48.55,45.45,42.75,41.4,41.6,41.650000000000006,42.150000000000006,42.6,43.150000000000006,43.7,44.2,45.05,45.85,47.05,48.2,49.3,51.400000000000006,54.7,56.45,56.8,56.45,55.5,54.0,52.05,49.35,46.3,42.75,41.6,42.1,42.5,42.95,43.7,44.3,44.95,46.0,46.9,47.7,49.150000000000006,50.6,52.150000000000006,55.2,58.7,60.150000000000006,60.5,60.15,58.95,57.25,55.05,52.55,49.7,46.5,44.65,45.25,45.85,46.6,47.4,47.95,48.8,49.75,50.55,51.4,52.85,54.5,56.4,59.85,62.65,64.35,65.4,65.15,64.75,63.9,63.0,60.6,57.7,54.85,51.6,50.75,51.05,49.525000000000006
57.7,55.9,53.75,50.95,47.7,44.55,43.4,43.2,43.25,43.0,54.6,52.95,51.05,48.5,45.4,42.25,41.35,41.35,41.7,42.150000000000006,42.650000000000006,43.150000000000006,43.55,44.3,45.1,45.9,47.05,48.1,49.4,51.35,54.85,56.55,57.0,56.7,55.9,54.45,52.25,49.35,46.45,42.7,41.8,42.2,42.55,43.150000000000006,43.7,44.35,45.2,46.0,46.8,48.150000000000006,49.35,50.5,52.25,55.5,58.9,60.3,60.65,60.1,59.1,57.35,55.2,52.650000000000006,49.9,47.0,45.400000000000006,45.45,46.05,46.75,47.3,47.900000000000006,48.85,49.7,50.35,51.65,53.150000000000006,54.85,56.95,60.25,62.95,64.65,65.75,65.55000000000001,65.15,64.65,63.25,60.95,58.1,55.2,51.7,50.650000000000006,49.8
58.45,57.5,55.85,53.650000000000006,50.85,47.8,44.35,42.9,42.85,42.75,55.6,54.45,53.05,51.05,48.5,45.25,41.85,41.150000000000006,41.4,41.75,42.150000000000006,42.650000000000006,43.05,43.75,44.5,45.2,46.0,47.0,48.0,49.4,51.5,55.0,56.75,57.3,57.1,56.05,54.5,52.3,49.55,46.55,42.9,41.8,42.25,42.7,43.2,43.8,44.45,45.2,46.0,47.1,48.3,49.150000000000006,50.7,52.55,55.650000000000006,58.95,60.4,60.6,60.2,59.1,57.4,55.2,53.0,50.55,47.5,45.65,45.6,46.1,46.75,47.3,48.150000000000006,48.85,49.650000000000006,50.6,52.0,53.55,55.25,57.25,60.6,63.25,65.0,66.05,66.0,65.75,64.75,63.5,61.2,58.400000000000006,55.35,51.75,50.575
58.900000000000006,58.35,57.4,55.75,53.35,50.55,47.35,43.8,42.4,42.3,55.9,55.6,54.6,53.25,51.2,48.4,45.35,41.9,41.2,41.5,41.75,42.2,42.6,43.2,44.05,44.7,45.45,45.85,46.85,48.0,49.4,51.85,55.150000000000006,57.0,57.7,57.45,56.1,54.45,52.5,49.7,46.7,43.1,41.95,42.3,42.8,43.35,43.9,44.6,45.25,46.3,47.35,48.1,49.4,50.9,52.7,55.75,59.1,60.6,60.6,60.3,59.1,57.6,55.6,53.85,51.1,47.6,45.650000000000006,45.7,45.95,46.7,47.45,48.1,48.95,49.85,51.0,52.2,53.85,55.7,57.6,60.85,63.5,65.05000000000001,66.25,66.6,66.1,64.75,63.8,61.5,58.6,55.25,50.95
58.1,58.75,58.3,57.05,55.5,52.9,50.05,46.75,43.6,42.05,55.400000000000006,55.95,55.75,54.7,53.3,51.1,48.150000000000006,45.150000000000006,41.75,41.1,41.5,41.9,42.2,42.7,43.45,44.3,44.8,45.3,45.8,46.8,47.95,49.5,52.0,55.2,57.35,58.05,57.45,56.25,54.650000000000006,52.6,49.95,46.85,43.3,42.0,42.35,42.9,43.45,43.95,44.45,45.45,46.45,47.150000000000006,48.4,49.6,50.95,52.8,55.85,59.3,60.6,60.8,60.25,59.1,58.05,56.5,54.3,51.25,47.75,45.75,45.6,45.95,46.8,47.45,48.35,48.95,50.15,51.25,52.55,54.150000000000006,55.9,57.75,61.150000000000006,63.85,65.25,66.45,66.6,66.30000000000001,65.1,64.0,61.6,58.650000000000006,51.175
55.7,57.95,58.7,58.0,56.8,55.0,52.7,49.650000000000006,46.45,43.05,53.35,55.3,56.2,55.8,54.7,53.25,50.8,48.1,45.1,41.8,41.150000000000006,41.4,41.8,42.35,43.05,43.75,44.25,44.55,45.0,45.75,46.9,48.05,49.650000000000006,51.95,55.6,57.6,58.1,57.5,56.35,54.75,52.8,50.25,47.05,43.5,42.1,42.5,43.05,43.45,43.95,44.75,45.5,46.35,47.3,48.55,49.75,51.25,53.1,56.05,59.3,60.6,60.9,60.150000000000006,59.6,58.95,56.9,54.45,51.35,47.95,45.6,45.45,46.0,46.75,47.7,48.45,49.4,50.45,51.6,52.95,54.5,56.0,57.9,61.75,64.25,65.80000000000001,66.6,66.69999999999999,66.6,65.3,64.1,61.6,51.475
52.85,55.55,57.900000000000006,58.35,57.7,56.5,54.6,52.25,49.3,46.1,50.5,53.3,55.65,56.2,55.8,54.75,53.2,50.85,47.9,45.1,41.95,41.05,41.45,41.9,42.55,43.3,43.7,43.9,44.25,45.0,45.8,47.05,48.150000000000006,49.7,52.2,56.0,57.75,58.2,57.55,56.5,55.05,53.1,50.45,47.15,43.6,42.2,42.6,42.95,43.45,44.2,44.8,45.55,46.6,47.45,48.6,49.95,51.5,53.25,56.25,59.3,60.75,60.95,60.7,60.35,59.1,57.150000000000006,54.65,51.45,48.0,45.45,45.4,46.150000000000006,46.95,47.9,48.8,49.7,50.650000000000006,51.9,53.2,54.6,56.150000000000006,58.25,62.0,64.95,66.19999999999999,66.75,67.0,66.7,65.4,64.05,51.7
51.2,52.650000000000006,55.6,57.6,58.0,57.3,56.2,54.25,51.9,48.8,48.7,50.55,53.45,55.7,56.150000000000006,55.55,54.55,53.05,50.9,47.95,45.2,42.05,41.1,41.6,42.150000000000006,42.75,43.25,43.3,43.75,44.2,44.95,45.9,47.1,48.2,50.05,52.6,56.05,57.9,58.35,57.6,56.75,55.35,53.35,50.7,47.15,43.7,42.35,42.55,43.05,43.7,44.3,44.85,45.8,46.650000000000006,47.55,48.9,50.25,51.8,53.55,56.35,59.3,60.75,61.3,61.35,60.6,59.3,57.25,54.9,51.65,48.25,45.35,45.55,46.4,47.3,48.2,49.1,49.9,50.95,52.25,53.35,54.7,56.5,58.8,62.65,65.19999999999999,66.55,67.05,67.1,66.65,65.44999999999999,51.724999999999994
49.8,51.05,52.75,55.3,57.3,57.5,57.05,55.95,54.0,51.45,47.35,48.650000000000006,50.6,53.650000000000006,55.75,56.1,55.4,54.4,52.95,50.95,48.150000000000006,45.2,42.3,41.55,41.75,42.45,42.6,42.85,43.05,43.6,44.2,45.0,46.05,47.150000000000006,48.4,50.3,52.7,56.1,57.9,58.5,58.05,57.1,55.6,53.650000000000006,50.85,47.3,43.8,42.25,42.6,43.35,43.85,44.2,45.05,45.95,46.7,47.9,49.3,50.45,51.95,53.95,56.5,59.45,60.95,61.7,61.6,60.8,59.5,57.5,54.85,51.85,48.55,45.55,45.9,46.75,47.75,48.55,49.35,50.45,51.25,52.45,53.45,54.95,56.95,59.35,63.05,65.5,66.9,67.15,67.1,66.55,51.35
48.85,49.75,50.9,52.6,55.05,56.900000000000006,57.2,56.8,55.75,53.55,46.6,47.45,48.85,50.7,53.7,55.5,55.95,55.35,54.4,53.1,51.0,48.3,45.35,42.4,41.55,42.0,42.3,42.35,42.650000000000006,43.05,43.55,44.3,45.2,46.1,47.25,48.7,50.4,52.8,56.25,58.05,58.75,58.45,57.45,55.85,53.9,51.05,47.55,43.8,42.3,42.85,43.35,43.650000000000006,44.45,45.1,46.05,47.0,48.35,49.400000000000006,50.45,52.0,54.150000000000006,56.7,59.650000000000006,61.25,61.9,61.5,61.0,59.7,57.5,55.0,51.95,48.5,45.65,46.150000000000006,47.2,48.0,48.8,49.95,50.8,51.3,52.5,53.7,55.5,57.650000000000006,59.9,63.35,65.75,67.0,67.25,66.95,51.025
48.1,48.8,49.85,50.85,52.45,54.8,56.65,57.05,56.6,55.150000000000006,45.85,46.55,47.45,48.85,50.85,53.55,55.45,55.9,55.35,54.45,53.150000000000006,51.05,48.45,45.4,42.5,41.8,41.9,41.9,42.150000000000006,42.650000000000006,42.95,43.75,44.55,45.3,46.3,47.5,48.85,50.45,52.85,56.5,58.4,59.0,58.85,57.7,56.1,54.0,51.25,47.7,43.95,42.55,42.95,43.25,43.9,44.55,45.4,46.2,47.4,48.55,49.55,50.650000000000006,52.150000000000006,54.35,57.05,60.2,61.35,61.75,61.650000000000006,61.15,59.7,57.55,55.05,52.2,48.75,46.1,46.6,47.45,48.35,49.45,50.3,50.8,51.4,52.8,54.150000000000006,56.05,57.8,60.150000000000006,63.6,65.9,67.1,66.95,50.85
47.400000000000006,48.0,48.75,49.75,50.55,52.1,54.400000000000006,56.55,56.85,56.1,45.2,45.95,46.6,47.4,48.85,50.7,53.6,55.6,55.95,55.55,54.6,53.3,51.2,48.650000000000006,45.45,42.5,41.650000000000006,41.6,41.8,42.2,42.55,43.150000000000006,43.95,44.6,45.5,46.45,47.6,49.0,50.6,53.15,56.7,58.65,59.4,58.85,57.8,56.2,54.05,51.150000000000006,47.6,44.25,42.650000000000006,42.9,43.5,44.0,44.8,45.6,46.6,47.85,48.7,49.7,50.8,52.3,54.5,57.25,60.3,61.35,61.9,61.8,61.15,59.8,57.650000000000006,55.4,52.35,49.15,46.55,46.9,47.75,48.7,49.7,50.35,50.95,51.95,53.2,54.8,56.55,58.150000000000006,60.35,63.8,66.0,67.05,50.650000000000006
46.8,47.400000000000006,47.85,48.65,49.5,50.3,51.75,54.1,56.400000000000006,56.45,44.5,45.3,45.9,46.45,47.55,48.650000000000006,50.6,53.650000000000006,55.7,56.05,55.65,54.75,53.35,51.4,48.7,45.5,42.400000000000006,41.3,41.4,41.8,42.1,42.8,43.35,43.9,44.6,45.6,46.6,47.7,49.05,50.650000000000006,53.45,57.0,59.05,59.35,58.95,57.8,56.1,53.8,51.3,47.95,44.3,42.7,43.1,43.650000000000006,44.2,44.95,46.0,47.0,48.1,48.95,49.85,51.0,52.85,54.9,57.3,60.4,61.55,62.1,61.8,61.3,59.8,58.05,55.9,52.75,49.55,46.95,47.35,48.2,48.95,50.0,50.400000000000006,51.25,52.55,53.7,55.3,56.95,58.3,60.6,63.9,65.9,50.35
