Cluster 0,Cluster 1,Cluster 2
57.8,42.95,29.6
59.25,44.5,30.75
60.1,45.849999999999994,31.5
60.55,46.0,31.6
60.45,45.55,30.85
58.95,43.95,29.3
55.7,41.25,27.65
53.400000000000006,39.5,26.65
51.75,38.5,25.8
50.55,37.349999999999994,24.95
49.6,36.45,24.3
48.75,35.8,23.9
47.95,35.05,23.35
47.25,34.55,22.85
46.6,34.1,22.3
46.150000000000006,33.6,22.0
45.6,33.3,21.65
45.2,32.75,21.3
44.7,32.5,21.1
44.4,32.25,20.85
45.9,32.45,21.75
49.6,35.150000000000006,23.65
52.849999999999994,37.9,26.05
55.8,40.5,28.15
57.95,43.05,29.700000000000003
59.349999999999994,44.650000000000006,30.9
60.2,45.95,31.6
60.55,46.1,31.65
60.349999999999994,45.650000000000006,30.8
59.05,44.1,29.3
55.650000000000006,41.5,27.8
53.5,39.55,26.7
51.85,38.5,25.95
50.55,37.55,25.1
49.75,36.650000000000006,24.4
48.8,35.95,24.0
47.95,35.2,23.5
47.150000000000006,34.7,23.0
46.75,34.3,22.5
46.05,33.75,22.2
45.650000000000006,33.4,21.9
45.150000000000006,32.9,21.5
44.7,32.6,21.3
44.45,32.349999999999994,21.15
45.900000000000006,32.65,21.700000000000003
49.75,35.3,23.8
53.0,37.849999999999994,26.2
56.0,40.7,28.3
58.0,43.2,29.8
59.6,44.95,30.9
60.4,45.9,31.6
60.75,46.150000000000006,31.75
60.5,45.75,30.9
59.150000000000006,44.349999999999994,29.4
55.849999999999994,41.7,27.9
53.650000000000006,39.650000000000006,26.7
52.0,38.650000000000006,26.1
50.75,37.650000000000006,25.2
49.95,36.8,24.6
48.95,36.2,24.2
48.2,35.349999999999994,23.75
47.349999999999994,34.75,23.2
46.7,34.3,22.75
46.150000000000006,33.849999999999994,22.45
45.8,33.5,22.1
45.25,33.1,21.8
44.8,32.6,21.45
44.4,32.349999999999994,21.3
46.0,32.7,21.75
49.8,35.25,23.95
53.2,38.05,26.3
56.1,41.1,28.2
58.1,43.45,29.8
59.7,45.25,30.9
60.45,46.150000000000006,31.5
60.9,46.4,31.6
60.7,46.0,31.05
59.4,44.4,29.45
56.0,42.0,28.0
53.650000000000006,39.8,26.8
52.05,38.8,26.15
50.8,37.849999999999994,25.4
50.1,36.95,24.75
49.1,36.25,24.3
48.3,35.6,23.8
47.45,35.05,23.35
46.95,34.55,22.85
46.349999999999994,34.1,22.5
45.95,33.7,22.15
45.349999999999994,33.3,21.85
44.9,32.8,21.5
44.6,32.4,21.35
46.0,32.75,21.55
49.9,35.4,23.9
53.5,38.2,26.3
56.3,41.150000000000006,28.1
58.25,43.5,29.7
59.75,45.349999999999994,30.799999999999997
60.6,46.25,31.45
61.05,46.6,31.5
60.75,46.1,31.0
59.55,44.55,29.4
56.25,42.150000000000006,27.8
53.8,39.9,26.7
52.25,38.8,25.9
51.2,37.9,25.25
50.2,37.05,24.7
49.25,36.349999999999994,24.2
48.5,35.55,23.700000000000003
47.75,35.1,23.299999999999997
47.25,34.6,22.8
46.650000000000006,34.1,22.4
46.0,33.7,22.2
45.650000000000006,33.25,21.799999999999997
45.1,32.8,21.45
44.849999999999994,32.4,21.25
46.1,32.5,21.5
50.150000000000006,35.349999999999994,23.7
53.7,38.2,26.05
56.5,41.1,27.95
58.45,43.4,29.4
59.95,45.3,30.6
60.9,46.150000000000006,31.3
61.25,46.55,31.3
60.849999999999994,46.05,30.9
59.650000000000006,44.55,29.3
56.4,42.150000000000006,27.7
54.0,40.1,26.7
52.55,38.8,25.8
51.4,37.7,25.2
50.45,37.05,24.6
49.5,36.3,24.1
48.650000000000006,35.5,23.6
48.0,35.1,23.15
47.45,34.6,22.75
46.8,34.0,22.35
46.25,33.650000000000006,22.1
45.75,33.2,21.8
45.4,32.7,21.45
45.1,32.5,21.200000000000003
46.349999999999994,32.5,21.5
50.3,35.45,23.6
53.7,38.2,26.0
56.55,41.1,27.8
58.55,43.349999999999994,29.4
60.1,45.05,30.5
61.0,45.95,31.1
61.3,46.349999999999994,31.4
60.9,46.1,30.9
59.75,44.5,29.25
56.6,42.1,27.7
54.2,40.15,26.6
52.75,38.75,25.8
51.6,37.7,25.1
50.6,37.05,24.6
49.7,36.45,24.0
48.75,35.45,23.6
48.3,35.05,23.15
47.55,34.45,22.7
46.9,34.05,22.3
46.349999999999994,33.6,22.0
46.05,33.05,21.65
45.650000000000006,32.7,21.35
45.2,32.4,21.200000000000003
46.650000000000006,32.5,21.45
50.35,35.35,23.6
53.8,38.3,25.95
56.650000000000006,41.0,27.7
58.6,43.2,29.3
60.2,44.95,30.5
61.1,46.0,31.2
61.2,46.3,31.25
60.9,46.0,30.9
59.650000000000006,44.4,29.2
56.75,42.150000000000006,27.55
54.099999999999994,40.150000000000006,26.55
52.7,38.8,25.6
51.45,37.7,25.0
50.5,37.05,24.35
49.6,36.4,23.85
48.7,35.5,23.35
48.0,34.95,23.0
47.349999999999994,34.3,22.6
46.8,33.9,22.2
46.4,33.4,21.9
45.849999999999994,33.0,21.6
45.4,32.55,21.35
45.2,32.25,21.0
46.55,32.4,21.5
50.35,35.2,23.4
53.650000000000006,38.150000000000006,25.9
56.5,40.95,27.55
58.45,43.3,29.15
59.95,45.0,30.35
60.849999999999994,46.0,30.95
61.25,46.3,31.200000000000003
60.95,45.849999999999994,30.85
59.7,44.5,29.25
56.599999999999994,42.05,27.6
54.05,40.1,26.5
52.650000000000006,38.8,25.5
51.25,37.75,24.95
50.349999999999994,36.95,24.4
49.4,36.25,23.85
48.55,35.45,23.45
47.9,34.8,23.1
47.25,34.2,22.6
46.55,33.7,22.2
46.05,33.349999999999994,21.95
45.650000000000006,32.95,21.6
45.2,32.45,21.3
44.9,32.2,21.0
46.349999999999994,32.349999999999994,21.5
50.3,35.05,23.35
53.6,38.150000000000006,25.75
56.5,40.9,27.4
58.6,43.3,29.0
59.95,44.95,30.05
61.0,45.849999999999994,30.6
61.150000000000006,46.3,30.85
60.9,45.95,30.65
59.849999999999994,44.55,29.0
56.7,42.0,27.55
54.0,40.1,26.35
52.7,38.7,25.5
51.25,37.6,24.8
50.4,36.849999999999994,24.35
49.45,36.25,23.7
48.6,35.3,23.3
47.9,34.6,22.95
47.25,34.05,22.6
46.650000000000006,33.5,22.2
46.05,33.150000000000006,21.75
45.6,32.7,21.4
45.2,32.4,21.05
44.8,32.05,20.799999999999997
46.45,32.150000000000006,21.0
50.25,34.9,23.0
53.6,37.95,25.3
56.45,40.9,27.3
58.650000000000006,43.349999999999994,28.85
59.9,44.849999999999994,29.8
60.95,45.75,30.5
61.25,46.349999999999994,30.8
60.9,45.849999999999994,30.55
59.849999999999994,44.55,29.2
56.8,41.95,27.4
54.150000000000006,39.95,26.4
52.8,38.8,25.5
51.4,37.5,24.85
50.45,36.6,24.200000000000003
49.650000000000006,35.95,23.65
48.8,35.349999999999994,23.05
48.05,34.55,22.85
47.45,33.849999999999994,22.45
46.75,33.4,22.2
46.2,32.9,21.8
45.7,32.55,21.5
45.25,32.25,21.3
44.95,31.85,21.1
46.55,32.150000000000006,21.05
50.35,34.95,23.05
53.5,38.35,25.2
56.45,41.2,27.15
58.6,43.3,28.65
60.0,44.8,29.9
61.0,46.0,30.6
61.4,46.55,30.85
60.9,46.1,30.45
59.95,44.5,29.05
56.8,42.05,27.55
54.349999999999994,40.0,26.6
52.75,38.7,25.700000000000003
51.5,37.75,24.95
50.5,36.95,24.2
49.6,36.05,23.75
48.95,35.3,23.3
48.150000000000006,34.7,22.9
47.5,34.1,22.7
46.9,33.5,22.25
46.349999999999994,33.1,21.95
45.9,32.849999999999994,21.65
45.349999999999994,32.650000000000006,21.4
45.05,32.2,21.2
46.55,32.4,21.25
50.3,35.349999999999994,23.25
53.6,38.6,25.25
56.650000000000006,41.5,27.1
58.8,43.5,28.9
60.2,45.1,29.9
61.1,46.25,30.7
61.6,46.75,31.05
61.25,46.349999999999994,30.799999999999997
60.2,44.650000000000006,29.25
57.150000000000006,42.2,27.75
54.650000000000006,40.150000000000006,26.65
52.9,38.8,25.85
51.75,37.650000000000006,25.1
50.75,36.9,24.5
49.9,36.25,23.9
49.2,35.6,23.4
48.3,34.8,23.1
47.650000000000006,34.25,22.75
47.1,33.6,22.45
46.5,33.150000000000006,22.1
46.1,32.7,21.8
45.55,32.4,21.65
45.3,32.0,21.4
46.8,32.45,21.6
50.45,35.4,23.4
53.85,38.650000000000006,25.45
56.95,41.55,27.25
59.0,43.6,29.05
60.349999999999994,45.25,30.0
61.3,46.45,30.8
61.650000000000006,47.0,31.2
61.25,46.5,30.9
60.349999999999994,44.849999999999994,29.5
57.349999999999994,42.5,27.85
54.75,40.3,26.8
53.05,38.9,26.15
51.849999999999994,37.75,25.2
50.849999999999994,37.0,24.7
49.9,36.3,24.1
49.2,35.7,23.6
48.4,34.9,23.2
47.7,34.2,23.0
47.150000000000006,33.6,22.5
46.55,33.150000000000006,22.25
46.1,32.6,21.85
45.650000000000006,32.2,21.6
45.150000000000006,32.0,21.45
46.8,32.6,21.7
50.45,35.45,23.65
53.8,38.6,25.4
56.75,41.5,27.3
58.849999999999994,43.7,29.15
60.3,45.45,30.1
61.25,46.6,31.05
61.7,47.0,31.45
61.2,46.7,30.95
60.6,45.150000000000006,29.55
57.4,42.7,28.0
54.8,40.5,26.9
53.1,39.1,26.1
51.849999999999994,38.0,25.35
50.849999999999994,37.25,24.75
50.0,36.4,24.3
49.1,35.7,23.7
48.45,35.0,23.2
47.75,34.3,23.05
47.15,33.7,22.85
46.5,33.25,22.45
46.05,32.9,22.1
45.55,32.349999999999994,21.7
45.25,31.95,21.5
46.6,32.7,21.85
50.25,35.5,23.75
53.9,38.55,25.45
56.849999999999994,41.6,27.55
59.05,43.9,29.1
60.45,45.650000000000006,30.15
61.45,46.7,31.25
62.150000000000006,47.1,31.7
61.849999999999994,46.849999999999994,31.3
61.0,45.349999999999994,29.75
57.849999999999994,42.95,28.1
55.2,40.7,27.05
53.349999999999994,39.25,26.3
52.0,38.25,25.4
50.95,37.45,24.9
50.150000000000006,36.7,24.45
49.5,35.95,23.95
48.6,35.2,23.4
47.8,34.5,23.0
47.25,33.849999999999994,22.85
46.650000000000006,33.4,22.5
46.25,32.95,22.2
45.9,32.5,21.9
45.5,32.150000000000006,21.75
46.75,32.8,22.0
50.5,35.7,23.8
54.25,38.75,25.6
57.25,41.75,27.7
59.55,44.1,29.3
60.8,45.849999999999994,30.450000000000003
61.8,47.0,31.3
62.5,47.5,31.75
62.349999999999994,47.1,31.35
61.25,45.65,29.75
58.3,43.1,28.15
55.5,40.8,27.05
53.8,39.45,26.2
52.4,38.35,25.4
51.25,37.650000000000006,24.8
50.45,36.8,24.25
49.7,36.0,23.75
48.849999999999994,35.349999999999994,23.2
48.1,34.6,22.95
47.6,33.9,22.6
46.95,33.349999999999994,22.3
46.55,32.95,22.1
46.1,32.6,21.9
45.75,32.25,21.6
47.150000000000006,32.8,21.9
50.75,35.7,23.8
54.349999999999994,38.9,25.55
57.3,41.9,27.75
59.650000000000006,44.3,29.3
60.9,46.150000000000006,30.45
61.849999999999994,47.3,31.4
62.45,47.8,31.8
62.2,47.349999999999994,31.45
61.3,45.8,29.8
58.2,43.15,28.15
55.650000000000006,40.849999999999994,26.95
53.849999999999994,39.5,26.1
52.349999999999994,38.3,25.3
51.45,37.5,24.8
50.55,36.75,24.35
49.8,36.05,23.65
49.05,35.3,23.1
48.25,34.6,22.85
47.7,33.95,22.45
47.2,33.45,22.25
46.8,32.95,21.95
46.2,32.650000000000006,21.6
45.75,32.3,21.4
47.25,32.9,21.95
50.849999999999994,35.75,23.7
54.349999999999994,39.0,25.6
57.349999999999994,41.85,27.6
59.6,44.349999999999994,29.4
60.9,46.1,30.3
61.900000000000006,47.349999999999994,31.3
62.349999999999994,47.849999999999994,31.9
61.9,47.45,31.65
61.0,45.95,30.0
58.25,43.05,28.200000000000003
55.650000000000006,41.0,27.05
53.9,39.55,26.15
52.5,38.4,25.3
51.45,37.55,24.7
50.7,36.75,24.2
50.05,36.1,23.65
49.2,35.349999999999994,23.25
48.4,34.650000000000006,22.799999999999997
47.8,34.05,22.4
47.25,33.55,22.1
46.8,33.1,21.9
46.3,32.7,21.5
45.8,32.5,21.25
47.55,32.95,21.799999999999997
51.05,35.849999999999994,23.799999999999997
54.3,39.05,25.75
57.3,41.849999999999994,27.7
59.4,44.349999999999994,29.5
60.9,46.1,30.55
