Cluster 0,Cluster 1,Cluster 2,Cluster 3
47.5,22.4,58.85,33.1
49.9,24.2,61.25,35.0
51.7,25.45,62.9,36.5
52.9,25.95,64.05,37.5
53.45,26.2,64.5,37.7
53.3,25.6,64.6,36.8
51.2,24.05,63.2,35.0
48.150000000000006,22.1,59.55,32.9
46.0,21.1,56.35,31.5
44.7,20.4,54.9,30.8
43.4,19.9,53.9,30.1
42.7,19.35,53.15,29.5
41.9,18.5,52.5,29.1
41.1,17.85,51.7,28.7
40.5,17.3,51.3,28.2
39.849999999999994,17.049999999999997,50.85,27.9
39.4,16.75,50.55,27.5
38.7,16.25,50.1,27.2
38.3,15.9,49.8,27.0
37.95,15.850000000000001,49.4,26.7
37.7,15.649999999999999,49.0,26.6
38.150000000000006,15.95,49.4,26.7
40.849999999999994,17.9,52.9,28.2
44.4,20.35,55.7,30.8
47.4,22.5,58.900000000000006,33.2
49.8,24.3,61.15,35.0
51.6,25.55,62.85,36.6
53.0,26.2,64.05,37.3
53.650000000000006,26.65,64.69999999999999,37.6
53.2,25.85,64.9,36.9
51.3,24.05,63.3,34.9
48.1,22.5,59.8,32.8
46.0,21.55,56.45,31.4
44.55,20.6,54.95,30.6
43.3,19.95,53.9,29.9
42.45,19.6,53.0,29.5
41.8,18.9,52.349999999999994,28.9
41.150000000000006,18.200000000000003,51.75,28.5
40.4,17.75,51.1,28.0
39.8,17.35,50.5,27.8
39.25,16.85,50.1,27.4
38.7,16.5,49.75,27.2
38.3,16.05,49.45,26.8
37.95,15.9,49.2,26.6
37.6,15.7,48.8,26.3
38.150000000000006,15.9,49.5,26.5
40.9,17.9,52.75,28.1
44.349999999999994,20.5,55.85,30.9
47.4,22.65,58.900000000000006,33.2
49.8,24.4,61.25,35.0
51.6,25.6,62.95,36.5
53.05,26.35,64.25,37.4
53.8,26.65,65.0,37.5
53.2,26.0,65.05,36.8
51.3,24.15,63.5,35.0
48.2,22.65,59.95,33.0
46.05,21.75,56.650000000000006,31.5
44.5,20.9,54.8,30.6
43.4,20.05,53.85,30.0
42.4,19.6,52.95,29.4
41.7,19.05,52.349999999999994,29.0
41.0,18.4,51.75,28.6
40.3,17.8,51.25,28.1
39.650000000000006,17.15,50.5,27.7
39.150000000000006,16.6,50.0,27.5
38.75,16.6,49.6,27.2
38.25,16.05,49.25,26.9
38.0,15.8,48.95,26.7
37.650000000000006,15.8,48.9,26.4
38.2,15.649999999999999,49.45,26.5
41.0,18.1,52.849999999999994,28.2
44.45,20.6,55.95,30.9
47.55,22.8,59.05,33.3
49.9,24.55,61.349999999999994,35.1
51.8,25.6,63.05,36.6
53.2,26.45,64.3,37.3
53.95,26.85,65.1,37.4
53.3,26.15,65.1,36.7
51.55,24.25,63.5,34.9
48.3,22.75,60.2,33.2
46.150000000000006,21.9,56.9,31.7
44.7,21.1,54.8,30.8
43.6,20.05,53.9,30.2
42.55,19.7,52.95,29.7
41.9,19.15,52.3,29.0
41.2,18.5,51.8,28.8
40.5,17.85,51.0,28.3
39.849999999999994,17.299999999999997,50.5,27.9
39.349999999999994,16.75,49.95,27.7
38.849999999999994,16.799999999999997,49.6,27.4
38.5,16.2,49.3,27.1
38.1,15.8,49.1,26.8
37.75,15.8,48.85,26.6
38.3,15.649999999999999,49.6,26.7
41.2,18.15,52.9,28.4
44.55,20.7,56.25,31.0
47.6,22.8,59.1,33.2
49.95,24.45,61.349999999999994,35.2
51.849999999999994,25.65,63.25,36.7
53.3,26.45,64.5,37.4
54.150000000000006,27.15,65.3,37.5
53.45,26.5,65.3,36.9
51.7,24.25,63.75,35.0
48.45,22.700000000000003,60.349999999999994,33.4
46.349999999999994,21.65,57.0,31.7
44.8,21.0,54.95,30.8
43.650000000000006,20.1,53.95,30.2
42.650000000000006,19.55,53.0,29.6
42.0,19.1,52.25,29.2
41.349999999999994,18.5,51.75,28.8
40.6,18.2,51.05,28.3
39.849999999999994,17.65,50.349999999999994,28.0
39.4,17.2,49.849999999999994,27.7
38.75,17.049999999999997,49.650000000000006,27.4
38.5,16.450000000000003,49.3,27.0
38.2,16.0,49.1,26.8
37.9,15.8,48.9,26.6
38.349999999999994,15.850000000000001,49.6,26.8
41.349999999999994,18.1,53.05,28.6
44.9,20.6,56.25,31.2
47.8,22.8,59.2,33.4
50.349999999999994,24.55,61.6,35.5
52.4,25.4,63.45,36.8
53.9,26.6,64.65,37.5
54.349999999999994,27.299999999999997,65.4,37.5
53.8,26.65,65.4,37.0
51.9,24.35,63.8,35.3
48.6,22.700000000000003,60.55,33.3
46.55,21.65,57.150000000000006,31.8
45.0,21.1,55.1,30.8
43.9,20.200000000000003,54.05,30.2
42.7,19.7,53.05,29.6
42.150000000000006,19.299999999999997,52.3,29.2
41.3,18.65,51.75,28.8
40.7,18.3,51.15,28.4
40.0,17.65,50.4,28.0
39.5,17.3,49.8,27.7
38.9,16.95,49.6,27.3
38.6,16.65,49.25,27.0
38.25,16.35,49.05,26.9
38.0,16.0,49.05,26.6
38.45,15.9,49.8,26.9
41.45,18.0,53.25,28.6
45.1,20.549999999999997,56.55,31.3
47.95,22.65,59.3,33.5
50.6,24.2,61.75,35.4
52.75,25.45,63.55,36.8
54.0,26.75,64.7,37.5
54.4,27.25,65.5,37.5
54.1,26.7,65.55,36.9
52.1,24.6,63.9,35.2
48.650000000000006,22.55,60.7,33.3
46.650000000000006,21.6,57.4,31.9
45.150000000000006,20.75,55.3,30.7
44.05,20.2,54.25,30.0
42.9,19.700000000000003,53.25,29.4
42.3,19.25,52.35,29.0
41.55,18.55,52.0,28.6
40.650000000000006,18.15,51.25,28.3
40.1,17.549999999999997,50.6,27.8
39.5,17.2,50.25,27.5
38.95,16.85,49.95,27.1
38.6,16.5,49.6,26.9
38.2,16.25,49.45,26.7
37.95,16.15,49.150000000000006,26.5
38.5,16.1,50.0,26.7
41.5,17.95,53.5,28.6
45.2,20.35,56.849999999999994,31.2
47.95,22.45,59.55,33.3
50.75,23.95,62.05,35.3
52.650000000000006,25.6,63.6,36.3
54.150000000000006,26.75,64.9,37.1
