station _1,station _10,station _100,station _101,station _102,station _103,station _104,station _105,station _106,station _107,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _21,station _22,station _23,station _24,station _25,station _26,station _27,station _28,station _29,station _3,station _30,station _31,station _32,station _33,station _34,station _35,station _36,station _37,station _38,station _39,station _4,station _40,station _41,station _42,station _43,station _44,station _45,station _46,station _47,station _48,station _49,station _5,station _50,station _51,station _52,station _53,station _54,station _55,station _56,station _57,station _58,station _59,station _6,station _60,station _61,station _62,station _63,station _64,station _65,station _66,station _67,station _68,station _69,station _7,station _70,station _71,station _72,station _73,station _74,station _75,station _76,station _77,station _78,station _79,station _8,station _80,station _81,station _82,station _83,station _84,station _85,station _86,station _87,station _88,station _89,station _9,station _90,station _91,station _92,station _93,station _94,station _95,station _96,station _97,station _98,station _99
28.94444444444444,11.222222222222223,19.944444444444446,12.72222222222222,21.05555555555556,19.5,20.72222222222222,20.27777777777778,11.61111111111111,21.166666666666664,19.55555555555556,20.05555555555556,21.166666666666664,12.0,18.22222222222222,22.55555555555556,10.611111111111112,19.5,19.444444444444443,6.500000000000002,17.0,17.22222222222222,12.055555555555555,20.72222222222222,19.33333333333333,21.0,20.11111111111111,14.388888888888888,16.166666666666668,20.88888888888889,23.277777777777786,16.5,12.0,23.000000000000004,15.88888888888889,23.5,16.72222222222222,17.555555555555557,21.72222222222221,24.0,12.944444444444445,12.72222222222222,16.944444444444443,12.27777777777778,8.333333333333334,9.5,9.388888888888888,14.944444444444445,23.94444444444444,12.944444444444445,9.944444444444445,16.555555555555554,30.38888888888889,16.055555555555554,12.777777777777777,25.0,22.166666666666668,30.72222222222222,17.72222222222222,24.611111111111107,16.055555555555554,12.5,25.33333333333333,11.38888888888889,25.11111111111111,27.22222222222222,28.05555555555556,26.888888888888893,14.444444444444445,12.611111111111112,10.0,10.777777777777777,15.499999999999998,10.499999999999998,12.833333333333334,22.333333333333336,15.555555555555555,27.88888888888889,25.05555555555555,15.666666666666668,13.166666666666668,16.833333333333332,22.22222222222222,18.833333333333336,18.05555555555556,22.38888888888889,17.166666666666664,14.27777777777778,25.55555555555556,17.555555555555557,23.111111111111107,18.05555555555556,25.444444444444443,23.166666666666668,21.72222222222221,8.111111111111112,12.111111111111107,25.0,29.77777777777777,12.5,8.444444444444446,4.000000000000002,14.222222222222223,14.5,20.33333333333333,23.833333333333336,17.388888888888886
28.61111111111111,11.222222222222223,18.277777777777786,12.5,21.05555555555556,18.55555555555556,19.666666666666668,20.33333333333333,12.22222222222222,21.0,18.722222222222225,18.94444444444444,20.83333333333333,11.77777777777778,17.11111111111111,21.83333333333333,11.833333333333332,18.444444444444446,18.444444444444446,6.111111111111111,17.944444444444443,16.277777777777775,12.0,22.166666666666668,18.5,21.55555555555556,17.166666666666664,14.166666666666666,15.944444444444446,20.05555555555556,23.666666666666664,16.11111111111111,13.777777777777777,22.5,15.944444444444446,23.833333333333336,18.55555555555556,17.11111111111111,20.611111111111107,23.88888888888889,14.666666666666666,12.111111111111107,16.5,11.444444444444445,7.555555555555556,9.611111111111107,9.388888888888888,17.666666666666664,23.111111111111107,16.5,9.944444444444445,15.499999999999998,30.444444444444443,15.0,15.055555555555555,23.722222222222225,18.000000000000004,30.77777777777778,16.055555555555554,24.833333333333336,18.444444444444446,15.111111111111112,23.33333333333333,11.166666666666668,23.33333333333333,28.38888888888889,27.61111111111111,28.72222222222222,13.499999999999998,16.38888888888889,9.11111111111111,12.333333333333334,15.0,10.444444444444445,14.666666666666666,22.38888888888889,15.22222222222222,27.444444444444446,24.944444444444446,19.5,12.555555555555555,19.05555555555556,22.61111111111111,19.833333333333336,19.55555555555556,22.11111111111111,15.499999999999998,13.833333333333332,24.166666666666664,18.444444444444446,22.11111111111111,20.222222222222225,22.666666666666664,23.61111111111111,22.166666666666668,7.777777777777778,12.166666666666666,24.55555555555556,27.5,11.222222222222223,8.333333333333334,7.111111111111109,14.000000000000002,14.333333333333332,18.33333333333333,22.944444444444443,18.61111111111111
27.77777777777778,12.388888888888888,16.166666666666668,13.499999999999998,20.944444444444446,17.944444444444443,18.77777777777777,20.222222222222225,14.222222222222223,20.72222222222222,17.055555555555557,16.61111111111111,19.833333333333336,12.833333333333334,16.277777777777775,20.0,13.555555555555554,17.83333333333333,17.666666666666664,7.666666666666665,18.5,15.666666666666668,13.61111111111111,23.5,17.22222222222222,21.77777777777778,15.72222222222222,13.833333333333332,15.999999999999998,19.33333333333333,24.0,15.777777777777777,15.555555555555555,21.38888888888889,17.83333333333333,23.666666666666664,19.944444444444446,16.72222222222222,18.61111111111111,23.22222222222222,16.38888888888889,11.722222222222223,15.999999999999998,10.88888888888889,6.666666666666666,11.222222222222223,10.944444444444446,19.33333333333333,21.5,19.61111111111111,12.111111111111107,14.555555555555555,30.222222222222225,14.222222222222223,17.388888888888886,20.500000000000004,16.055555555555554,30.33333333333333,14.888888888888888,24.666666666666668,20.27777777777778,17.388888888888886,21.611111111111114,11.833333333333332,19.833333333333336,29.22222222222221,26.666666666666664,29.72222222222222,12.5,19.444444444444443,8.444444444444446,14.444444444444445,14.666666666666666,11.61111111111111,16.5,22.22222222222222,15.0,26.77777777777778,24.388888888888893,21.944444444444443,11.944444444444445,20.27777777777778,22.5,20.27777777777778,20.666666666666668,21.333333333333336,14.444444444444445,13.444444444444446,21.0,19.111111111111114,19.55555555555556,21.888888888888893,19.5,23.666666666666664,22.22222222222222,9.388888888888888,14.000000000000002,23.5,23.277777777777786,10.111111111111112,12.166666666666666,11.61111111111111,14.833333333333334,14.666666666666666,16.61111111111111,21.555555555555557,19.555555555555557
26.11111111111111,14.055555555555554,14.944444444444445,15.277777777777777,20.444444444444443,17.388888888888886,18.111111111111107,19.72222222222222,16.277777777777775,20.0,15.777777777777777,14.888888888888888,17.944444444444443,14.555555555555555,15.499999999999998,17.88888888888889,15.61111111111111,17.333333333333336,17.11111111111111,13.22222222222222,18.88888888888889,15.0,15.499999999999998,24.388888888888893,15.499999999999998,21.83333333333333,14.888888888888888,13.499999999999998,17.333333333333336,18.722222222222225,23.666666666666664,15.38888888888889,17.166666666666664,19.77777777777777,19.944444444444446,23.22222222222222,21.11111111111111,16.333333333333332,17.27777777777778,21.77777777777778,17.944444444444443,11.500000000000002,15.666666666666668,14.666666666666666,5.999999999999998,13.38888888888889,12.944444444444445,20.444444444444443,18.94444444444444,21.83333333333333,15.22222222222222,13.722222222222223,29.27777777777778,13.38888888888889,19.22222222222221,17.166666666666664,14.222222222222223,29.55555555555556,13.777777777777777,23.94444444444444,21.55555555555556,19.166666666666668,20.11111111111111,13.22222222222222,16.444444444444446,29.55555555555556,24.833333333333336,30.55555555555556,11.722222222222223,21.72222222222221,7.611111111111112,16.833333333333332,14.333333333333332,13.88888888888889,18.111111111111107,21.55555555555556,15.499999999999998,25.666666666666668,23.166666666666668,23.666666666666664,11.333333333333332,21.05555555555556,22.05555555555556,20.72222222222222,21.38888888888889,19.61111111111111,13.61111111111111,13.11111111111111,19.22222222222221,19.388888888888893,16.38888888888889,23.166666666666668,17.5,23.22222222222222,21.77777777777778,12.611111111111112,16.166666666666668,21.166666666666664,21.666666666666668,9.222222222222223,15.833333333333332,15.277777777777777,17.444444444444443,15.72222222222222,15.666666666666668,19.666666666666668,20.27777777777778
23.111111111111107,15.833333333333332,14.000000000000002,17.0,19.33333333333333,16.944444444444443,17.555555555555557,18.55555555555556,18.166666666666668,18.277777777777786,14.888888888888888,14.000000000000002,16.555555555555554,16.222222222222225,15.0,16.72222222222222,17.388888888888886,16.77777777777778,16.61111111111111,16.944444444444443,18.77777777777777,14.5,17.22222222222222,25.05555555555555,14.5,21.27777777777777,14.11111111111111,14.555555555555555,19.0,18.000000000000004,23.5,15.22222222222222,18.444444444444446,18.722222222222225,22.0,22.0,21.888888888888893,16.055555555555554,16.38888888888889,19.0,19.22222222222221,12.5,15.38888888888889,19.444444444444443,5.38888888888889,15.555555555555555,15.055555555555555,21.05555555555556,17.72222222222222,23.166666666666668,18.166666666666668,12.999999999999998,27.722222222222225,12.72222222222222,20.72222222222222,15.777777777777777,12.777777777777777,28.22222222222222,12.611111111111112,21.888888888888893,22.444444444444446,20.55555555555556,18.666666666666664,14.77777777777778,14.5,29.611111111111107,22.444444444444446,30.88888888888889,11.277777777777777,23.5,8.055555555555555,18.61111111111111,14.055555555555554,15.944444444444446,19.27777777777778,20.33333333333333,17.555555555555557,23.55555555555556,20.166666666666664,24.833333333333336,10.777777777777777,21.5,20.27777777777778,20.72222222222222,21.77777777777778,17.72222222222222,12.944444444444445,13.277777777777777,18.000000000000004,19.388888888888893,14.77777777777778,24.05555555555556,15.999999999999998,21.888888888888893,20.83333333333333,15.166666666666664,17.944444444444443,17.944444444444443,19.61111111111111,8.38888888888889,18.61111111111111,18.61111111111111,19.5,17.11111111111111,14.666666666666666,18.22222222222222,20.777777777777782
21.05555555555556,17.388888888888886,13.22222222222222,18.666666666666664,16.88888888888889,16.5,17.0,16.555555555555554,19.61111111111111,16.38888888888889,14.11111111111111,13.38888888888889,15.61111111111111,17.555555555555557,14.555555555555555,15.88888888888889,18.666666666666664,16.277777777777775,16.11111111111111,18.77777777777777,18.55555555555556,14.055555555555554,18.722222222222225,25.55555555555556,13.944444444444445,20.166666666666664,13.666666666666668,16.5,20.88888888888889,17.72222222222222,23.05555555555556,14.944444444444445,19.5,17.944444444444443,23.61111111111111,19.61111111111111,22.444444444444446,17.11111111111111,15.61111111111111,17.333333333333336,20.27777777777778,15.055555555555555,15.111111111111112,23.22222222222222,6.77777777777778,17.5,16.77777777777778,21.611111111111114,16.88888888888889,24.0,20.27777777777778,12.444444444444445,24.944444444444446,11.833333333333332,21.666666666666668,14.555555555555555,11.555555555555554,26.05555555555556,11.944444444444445,18.33333333333333,23.000000000000004,21.611111111111114,17.166666666666664,16.333333333333332,12.999999999999998,29.05555555555556,20.83333333333333,30.55555555555556,10.611111111111112,24.5,12.555555555555555,19.77777777777777,14.27777777777778,17.444444444444443,20.166666666666664,17.83333333333333,19.61111111111111,21.38888888888889,16.944444444444443,25.55555555555556,10.22222222222222,21.666666666666668,17.555555555555557,20.444444444444443,21.666666666666668,16.72222222222222,12.333333333333334,15.944444444444446,16.88888888888889,19.22222222222221,13.444444444444446,24.611111111111107,14.944444444444445,19.22222222222221,18.833333333333336,17.22222222222222,19.166666666666668,16.444444444444446,18.38888888888889,7.388888888888887,20.777777777777786,21.05555555555556,21.05555555555556,19.111111111111114,14.055555555555554,17.5,21.055555555555557
19.55555555555556,18.5,12.666666666666664,19.88888888888889,14.833333333333334,16.055555555555554,16.61111111111111,15.277777777777777,20.72222222222222,15.499999999999998,13.444444444444446,12.88888888888889,15.0,18.77777777777777,14.055555555555554,15.22222222222222,19.5,15.88888888888889,15.72222222222222,19.944444444444446,17.944444444444443,13.722222222222223,19.666666666666668,25.944444444444446,13.555555555555554,18.05555555555556,13.277777777777777,18.5,22.666666666666664,17.27777777777778,21.83333333333333,14.72222222222222,20.166666666666664,17.27777777777778,24.833333333333336,17.944444444444443,22.55555555555556,19.0,15.0,16.38888888888889,20.944444444444446,17.88888888888889,15.999999999999998,25.77777777777778,12.88888888888889,19.05555555555556,18.05555555555556,21.72222222222221,15.999999999999998,24.33333333333333,21.944444444444443,11.944444444444445,22.83333333333333,11.11111111111111,22.333333333333336,13.499999999999998,10.333333333333334,24.22222222222221,10.999999999999998,16.72222222222222,23.000000000000004,22.5,15.88888888888889,17.5,11.666666666666666,28.166666666666668,19.61111111111111,29.88888888888889,12.111111111111107,25.0,16.11111111111111,20.55555555555556,15.944444444444446,18.55555555555556,20.88888888888889,15.944444444444446,21.38888888888889,19.27777777777778,15.444444444444445,25.88888888888889,9.77777777777778,21.611111111111114,15.999999999999998,19.5,21.05555555555556,16.055555555555554,11.666666666666666,18.666666666666664,15.777777777777777,18.666666666666664,12.555555555555555,24.611111111111107,13.944444444444445,17.22222222222222,16.11111111111111,18.61111111111111,20.0,15.0,17.166666666666664,6.388888888888888,22.944444444444443,22.83333333333333,22.27777777777777,21.27777777777777,13.555555555555554,16.833333333333332,21.055555555555557
18.444444444444446,19.27777777777778,12.111111111111107,20.666666666666668,13.666666666666668,15.666666666666668,16.222222222222225,14.27777777777778,21.44444444444444,14.77777777777778,12.88888888888889,12.388888888888888,14.27777777777778,19.72222222222222,13.777777777777777,14.77777777777778,20.0,15.38888888888889,15.277777777777777,20.666666666666668,16.944444444444443,13.38888888888889,20.444444444444443,26.11111111111111,13.166666666666668,16.61111111111111,12.833333333333334,20.27777777777778,23.94444444444444,16.77777777777778,17.444444444444443,14.666666666666666,20.666666666666668,16.833333333333332,25.944444444444446,16.88888888888889,22.22222222222222,20.72222222222222,14.444444444444445,15.72222222222222,21.27777777777777,20.55555555555556,17.83333333333333,27.722222222222225,17.83333333333333,20.166666666666664,19.111111111111114,21.5,15.22222222222222,24.22222222222221,23.166666666666668,11.444444444444445,20.72222222222222,10.777777777777777,22.61111111111111,12.72222222222222,9.388888888888888,22.666666666666664,10.166666666666664,15.72222222222222,22.444444444444446,22.83333333333333,15.0,18.444444444444446,10.277777777777777,26.44444444444444,18.38888888888889,28.5,15.88888888888889,25.222222222222225,18.94444444444444,21.0,18.166666666666668,19.5,21.27777777777777,14.72222222222222,22.83333333333333,17.77777777777778,14.222222222222223,25.88888888888889,9.77777777777778,21.05555555555556,15.055555555555555,16.944444444444443,19.33333333333333,15.444444444444445,10.999999999999998,20.88888888888889,14.888888888888888,17.5,11.722222222222223,24.0,12.944444444444445,16.333333333333332,14.944444444444445,19.72222222222222,20.444444444444443,13.944444444444445,16.055555555555554,6.722222222222223,24.72222222222222,23.88888888888889,23.166666666666668,22.944444444444443,13.055555555555555,16.333333333333332,20.777777777777782
17.555555555555557,19.88888888888889,11.722222222222223,21.27777777777777,12.777777777777777,15.277777777777777,15.833333333333332,13.499999999999998,21.944444444444443,14.27777777777778,12.388888888888888,12.0,13.777777777777777,20.444444444444443,13.444444444444446,14.388888888888888,20.27777777777778,15.111111111111112,14.944444444444445,21.166666666666664,15.555555555555555,13.11111111111111,21.05555555555556,26.05555555555556,12.88888888888889,15.61111111111111,12.611111111111112,21.666666666666668,24.77777777777777,16.444444444444446,14.11111111111111,15.88888888888889,20.83333333333333,16.333333333333332,26.72222222222221,15.944444444444446,21.5,22.22222222222222,13.944444444444445,15.111111111111112,21.44444444444444,22.38888888888889,19.833333333333336,28.88888888888889,20.72222222222222,20.83333333333333,19.77777777777777,20.88888888888889,14.27777777777778,23.833333333333336,24.05555555555556,10.72222222222222,18.88888888888889,10.333333333333334,22.55555555555556,12.0,8.38888888888889,21.38888888888889,9.72222222222222,14.666666666666666,21.44444444444444,22.88888888888889,14.555555555555555,19.166666666666668,9.388888888888888,23.444444444444446,17.388888888888886,25.944444444444446,18.77777777777777,25.05555555555555,21.38888888888889,21.05555555555556,20.38888888888889,20.05555555555556,21.222222222222225,13.88888888888889,23.88888888888889,16.61111111111111,13.166666666666668,25.27777777777778,12.72222222222222,19.27777777777778,14.055555555555554,14.388888888888888,16.166666666666668,15.055555555555555,10.444444444444445,22.88888888888889,14.055555555555554,15.444444444444445,11.166666666666668,22.61111111111111,12.055555555555555,15.444444444444445,14.388888888888888,20.55555555555556,20.666666666666668,12.88888888888889,14.944444444444445,11.666666666666666,26.05555555555556,24.444444444444443,23.722222222222225,24.27777777777778,12.777777777777777,15.999999999999998,20.055555555555554
16.61111111111111,20.05555555555556,11.333333333333332,21.72222222222221,12.111111111111107,14.944444444444445,15.444444444444445,13.055555555555555,22.166666666666668,13.722222222222223,11.944444444444445,11.555555555555554,13.277777777777777,20.83333333333333,13.166666666666668,14.055555555555554,20.222222222222225,14.833333333333334,14.611111111111107,21.44444444444444,14.555555555555555,12.88888888888889,21.222222222222225,25.72222222222222,12.5,14.833333333333334,12.388888888888888,22.83333333333333,25.38888888888889,16.11111111111111,12.444444444444445,17.666666666666664,20.611111111111107,15.944444444444446,27.38888888888889,15.22222222222222,19.833333333333336,23.5,13.61111111111111,14.666666666666666,21.27777777777777,23.666666666666664,21.611111111111114,29.5,22.333333333333336,21.333333333333336,20.05555555555556,19.833333333333336,13.61111111111111,23.5,24.5,10.22222222222222,17.61111111111111,10.0,21.77777777777778,11.444444444444445,7.666666666666665,20.05555555555556,12.999999999999998,13.444444444444446,18.833333333333336,22.333333333333336,14.000000000000002,19.55555555555556,8.333333333333334,21.333333333333336,16.444444444444446,23.277777777777786,21.44444444444444,24.444444444444443,23.5,20.666666666666668,22.11111111111111,20.38888888888889,20.944444444444446,13.166666666666668,24.666666666666668,15.555555555555555,12.0,24.55555555555556,15.499999999999998,16.88888888888889,13.22222222222222,12.88888888888889,14.222222222222223,14.666666666666666,10.0,24.33333333333333,13.277777777777777,13.722222222222223,10.611111111111112,19.444444444444443,11.166666666666668,14.77777777777778,13.833333333333332,20.944444444444446,20.611111111111107,12.22222222222222,14.222222222222223,15.72222222222222,27.0,24.5,23.94444444444444,24.88888888888889,12.555555555555555,15.61111111111111,18.22222222222222
