day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,Mean
109.00390625,111.01640625000002,111.86718749999996,111.85546875,111.07578125,109.73125000000002,107.97578124999998,105.60000000000002,102.853125,100.26250000000002,40.71171875,42.790625,43.54843749999999,43.50156249999999,42.89296875,41.63046875,39.83671875,37.5359375,34.9,32.642968749999994,32.68125,33.14453125,33.63828125,34.0296875,34.5328125,35.13828125,35.72265625,36.35625,36.91640625,37.44296874999999,38.2140625,39.315625,40.73828125,42.5453125,45.04609375,46.990625,47.665625,47.53203125,46.88515625000001,45.80390625,44.2859375,42.208593750000006,39.82109375,37.296875,36.76796875,37.1390625,37.70234375,38.26484375,38.9234375,39.778906250000006,40.595312500000006,41.39609375,42.36875,43.4578125,44.53593749999999,46.03203125,47.87578125,50.23359375,52.94140625,54.59140625,55.25859375,55.1125,54.57421875,53.64296875,52.18671875,50.2875,47.88671875,45.28828125,43.678125,44.13125000000001,44.80546875,45.66640625000001,46.5390625,47.69453125,49.01015625,50.3171875,51.86953125000001,53.57578125,55.306250000000006,57.21171875,59.4484375,62.66875,65.62812500000001,67.29921875,68.08749999999999,68.26015625,67.7859375,66.57734375000001,64.86328125,62.67421875,53.16806423611112
107.1359375,109.08359374999998,111.17109375,112.00937499999996,111.85390625,111.03046874999998,109.7703125,107.86874999999998,105.4796875,102.61875000000002,38.6828125,40.87499999999999,42.9578125,43.73046875,43.73515625,42.9984375,41.73125,39.93671875,37.61328125,35.053906250000004,33.00234375,32.9203125,33.37109375,33.68828125,34.125,34.736718749999994,35.28125,35.853125000000006,36.345312500000006,36.81796875,37.4734375,38.42109375,39.60703125,40.934375,42.84218750000001,45.54687500000001,47.33828125,47.9171875,47.834375,47.28125000000001,46.278125,44.704687500000006,42.58515625,39.989843750000006,37.50234375,36.88359375,37.3484375,37.8859375,38.48671875,39.29375000000001,40.0421875,40.767187500000006,41.69453125,42.673437500000006,43.640625,44.92734375,46.45625,48.21875,50.7,53.52421875,55.07734375,55.552343750000006,55.55078125,55.109375,54.11875,52.64453124999999,50.5640625,48.18671875,45.55234375,43.95156250000001,44.4078125,45.20703125,45.98671875,47.07968749999999,48.321875,49.559375,50.99218749999999,52.6296875,54.18671875,55.86953125,57.63906250000001,60.0359375,63.48671875,66.36640625,67.9328125,68.72890625,68.74296875,68.0484375,66.78515625,65.03828125,53.26256076388889
105.875,107.2,109.2421875,111.31171875,112.00703125,111.8015625,111.07499999999996,109.67109375,107.77578124999997,105.26328124999998,37.2875,38.83203125,41.06484375,43.1453125,43.96328125,43.841406250000006,43.0984375,41.84609375,40.01171875,37.76875,35.384375,33.234375,33.1390625,33.40859375,33.791406249999994,34.340625,34.86640625,35.39375,35.828125,36.235937500000006,36.85234375,37.67734374999999,38.70390625,39.78828125,41.20546875,43.30234375,45.89765625,47.60859375,48.2390625,48.228125,47.75859375,46.71015625,45.071875,42.75078125,40.22109375,37.65625,37.0875,37.53359375,38.11640625,38.8515625,39.540625,40.19921875,41.071875,41.98671875,42.84375,44.01484375,45.340625,46.7859375,48.67265625,51.3,54.01875,55.3671875,56.00546875,56.09765625,55.5703125,54.54609375,52.89921875,50.85625,48.46953125,45.896875,44.25,44.7953125,45.50859375,46.52890625,47.708593750000006,48.8671875,50.23359375,51.7453125,53.23984375,54.7375,56.26562500000001,58.18828125,60.803125,64.2359375,67.01015625,68.575,69.19453125,68.990625,68.23359375,66.93046875,53.272126736111105
104.9390625,105.92578125,107.34374999999996,109.359375,111.32421875,111.97109374999998,111.86171875,110.98671874999998,109.59531250000003,107.57343749999995,36.265625,37.415625,39.01484375,41.28125,43.38984375,44.0859375,43.95,43.2375,41.9328125,40.1734375,38.0578125,35.62109375,33.4453125,33.1765625,33.503125000000004,33.993750000000006,34.470312500000006,34.98828125,35.35703124999999,35.708593750000006,36.26640625000001,37.04921875,37.950781250000006,38.87109375,40.05078125,41.63203125,43.64296875,46.18671875,47.9359375,48.634375000000006,48.7015625,48.1953125,47.06484375,45.240625,42.97265625,40.39609375,37.896875,37.259375000000006,37.77578125,38.49765625,39.0859375,39.696875000000006,40.51328125,41.35859375,42.1546875,43.20078125,44.428125,45.6625,47.2296875,49.2671875,51.78984375,54.3171875,55.81640625000001,56.5515625,56.54687499999999,55.97109375,54.778906250000006,53.16953125,51.14453125,48.81015625,46.2765625,44.66875,45.08671875,46.0484375,47.140625,48.246875,49.54296875,50.9890625,52.36171875,53.77265625,55.122656250000006,56.78750000000001,58.91796875,61.521875,64.88203125,67.64140624999999,69.01875,69.434375,69.16015625,68.36484375,53.20722222222222
104.17109375,104.97187499999998,106.10703125,107.446875,109.38515625,111.3015625,112.0453125,111.77421875,110.921875,109.41640625,35.43046875,36.38515625,37.584375,39.25546875,41.55078125,43.5203125,44.203125,44.0859375,43.3265625,42.10390625,40.442968750000006,38.306250000000006,35.84296875,33.48671875,33.2703125,33.705468749999994,34.1203125,34.58515625,34.934375,35.23046875,35.740625,36.45703125,37.31484375,38.096875,39.10859375,40.4421875,41.9578125,43.9203125,46.54140625,48.35000000000001,49.12109375,49.140625,48.54609375,47.23281250000001,45.45546875,43.15156250000001,40.64453125,38.10234375,37.50625,38.153906250000006,38.7125,39.2453125,40.021093750000006,40.7921875,41.517187500000006,42.513281250000006,43.62109375,44.73671875,46.1140625,47.828125,49.72421874999999,52.10546875,54.7890625,56.37578125,56.99140625,56.92578125000001,56.19140624999999,55.0609375,53.46875,51.4921875,49.228125000000006,46.79921875,44.97890625,45.63125,46.6609375,47.6734375,48.91328125,50.29296875,51.60703124999999,52.8703125,54.13203125,55.62109375,57.478125,59.61796875,62.16406249999999,65.54609375000001,68.07890624999999,69.253125,69.58515625,69.2578125,53.08348090277779
103.54765625,104.20234375,105.08906249999998,106.19296875,107.484375,109.37578125000005,111.378125,111.959375,111.71796875,110.74921875,34.749218750000004,35.553124999999994,36.5734375,37.8421875,39.49921875,41.68671875,43.65546875,44.346875,44.1921875,43.4984375,42.3515625,40.6921875,38.52734375,35.8875,33.592968750000004,33.478125,33.83671875,34.23515625,34.5203125,34.80390625,35.27109375,35.928125,36.72265625,37.44609375,38.346875,39.48671875,40.73828125,42.20859375,44.29062499999999,46.97890625,48.83515625,49.559375,49.4859375,48.71249999999999,47.453125,45.63359375,43.3734375,40.8390625,38.39296875,37.88984375,38.36171875,38.871875,39.565625,40.28203125,40.95703125,41.8734375,42.921875,43.92109375,45.19921875,46.70390625,48.27890625,50.01953125,52.57578125,55.3484375,56.80703125000001,57.34609375,57.13437499999999,56.47421875,55.35078125,53.825781250000006,51.9296875,49.8015625,47.21953125,45.544531250000006,46.23046875,47.1859375,48.3390625,49.657812500000006,50.91328125,52.1,53.2203125,54.6234375,56.2921875,58.169531250000006,60.25546875,62.82421874999999,65.9859375,68.32421875,69.40156250000001,69.66796875,52.914644097222215
102.99453125000002,103.57421875,104.31796874999998,105.17890624999998,106.2296875,107.47109375,109.46171875000005,111.31015625000002,111.90546875,111.56328124999996,34.15625,34.87109375,35.73359375,36.845312500000006,38.071875,39.63359375,41.849218750000006,43.794531250000006,44.45703125,44.3703125,43.7484375,42.603125,40.9078125,38.5625,35.99453125,33.8046875,33.6015625,33.953125,34.16015625,34.3875,34.8421875,35.44609375,36.18984375,36.8484375,37.7078125,38.70546875,39.7796875,40.98203125,42.583593750000006,44.7296875,47.47890625000001,49.290625,49.88984375,49.65,48.928125,47.6375,45.840625,43.548437500000006,41.14140625,38.80703125000001,38.08671875,38.515625,39.19375000000001,39.8203125,40.44296875,41.30234375,42.284375,43.216406250000006,44.37890625,45.778125,47.1484375,48.5578125,50.466406250000006,53.146875,55.796875,57.16328125,57.56328125,57.42421875,56.7828125,55.72578125,54.2703125,52.534375,50.2859375,47.865625,46.1734375,46.751562500000006,47.85,49.08984375,50.26640625,51.39296875,52.435156250000006,53.69765625,55.28125,56.965625,58.806250000000006,60.89296875,63.26171875000001,66.25078124999999,68.47109375,69.46249999999998,52.71490451388888
102.5,103.03437499999998,103.68515625,104.4,105.2140625,106.21796875,107.53359375,109.38515625,111.259375,111.759375,33.63203125,34.275781249999994,35.05546875,36.02421875,37.0703125,38.20468749999999,39.765625,42.0,43.9265625,44.646875,44.62265625,43.98828125,42.81953125,40.92578125000001,38.65625,36.19453125,33.93828125,33.717187499999994,33.8609375,34.0265625,34.43828125,35.01875,35.704687500000006,36.303125,37.11328125,38.04296875,38.989843750000006,40.0109375,41.36171875,43.01953125,45.19609375,47.95390625,49.60781250000001,50.06640625,49.871875,49.12734375,47.82265625,45.99453125,43.84609375,41.5609375,39.0390625,38.24765625,38.845312500000006,39.4328125,39.971875,40.78046875,41.70625,42.575781250000006,43.67421875000001,44.958593750000006,46.208593750000006,47.42109375,48.98046875,51.00859375,53.6328125,56.16015625,57.36640625,57.845312500000006,57.73359375,57.1640625,56.17812499999999,54.91171874999999,53.0609375,50.96249999999999,48.55234375,46.72578125,47.41484375,48.6,49.703125,50.7375,51.73125,52.9140625,54.34218750000001,55.94375,57.59765625,59.446875,61.34609375,63.5390625,66.43281250000001,68.53515625,52.49800347222223
