day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93,Median
77.6,74.69999999999999,70.85,65.9,61.55,58.4,59.35,61.2,63.15,65.1,67.15,68.8,71.0,73.35,77.4,81.65,84.65,86.3,87.4,88.05000000000001,87.4,86.8,85.19999999999999,83.1,80.55,77.45,73.65,68.9,65.05,61.55,62.35,63.95,65.4,67.0,68.85,70.7,72.9,75.1,77.95,81.85,84.9,86.5,87.25,87.35,86.3,85.1,83.44999999999999,81.3,78.4,74.75,70.25,66.1,60.95,59.5,60.45,61.25,63.1,64.35,66.05,68.19999999999999,70.1,71.75,74.05000000000001,77.85,81.65,83.69999999999999,84.5,84.55,83.95,82.55000000000001,80.75,78.25,75.0,71.3,66.19999999999999,61.7,56.25,55.95,56.35,57.05,58.1,59.2,60.2,61.75,63.400000000000006,64.9,66.94999999999999,69.45,73.2,75.25,76.0,76.4,76.05,75.6,72.325
79.69999999999999,77.75,74.75,70.94999999999999,66.1,62.0,58.6,59.45,61.6,63.35,65.3,67.15,69.0,71.0,73.30000000000001,77.2,81.7,84.85,86.45,87.5,88.30000000000001,87.8,87.0,85.30000000000001,83.1,80.55,77.6,73.65,68.95,64.95,61.55,62.45,63.9,65.55,67.0,68.85,70.75,72.80000000000001,74.9,77.65,81.5,84.5,86.35,87.05,87.05000000000001,86.3,85.2,83.65,81.19999999999999,78.2,74.5,69.85,65.9,60.8,59.35,60.3,61.35,62.7,64.2,66.0,68.15,69.9,71.65,73.9,77.65,81.2,83.35,84.15,84.4,83.80000000000001,82.30000000000001,80.5,78.05,74.9,71.0,65.95,61.1,55.85,55.650000000000006,55.95,56.7,57.7,58.85,60.0,61.25,62.95,64.5,66.4,68.94999999999999,72.55,74.8,75.94999999999999,76.1,76.15,72.1
81.8,79.95,77.85,74.85,71.15,66.4,62.6,58.8,59.8,61.85,63.55,65.5,67.25,69.25,70.95,73.15,77.3,82.1,85.05,86.7,87.69999999999999,88.55,87.9,87.0,85.44999999999999,83.4,80.7,77.6,73.75,69.05,64.8,61.7,62.45,64.0,65.5,66.85,68.9,70.75,72.6,74.65,77.35,81.30000000000001,84.3,86.15,86.9,87.05000000000001,86.35,85.30000000000001,83.45,81.1,78.05,74.35,69.80000000000001,65.9,60.75,59.2,60.150000000000006,61.2,62.55,64.05,66.05,67.95,69.65,71.65,73.75,77.45,81.15,82.94999999999999,84.1,84.2,83.6,82.15,80.3,77.75,74.4,70.5,65.55000000000001,60.55,55.5,55.4,55.65,56.3,57.35,58.6,59.45,60.6,62.45,64.15,65.80000000000001,68.15,72.05,74.55,75.80000000000001,76.19999999999999,71.85
83.3,82.05000000000001,80.35,78.15,75.19999999999999,71.55,66.75,62.95,58.9,60.1,61.9,63.7,65.65,67.35,69.35,70.9,73.1,77.55,82.19999999999999,85.25,86.95,88.19999999999999,88.55000000000001,88.0,87.1,85.69999999999999,83.45,80.80000000000001,77.69999999999999,73.85,69.05000000000001,64.6,61.6,62.45,64.05,65.4,66.8,68.8,70.55000000000001,72.3,74.4,77.15,81.25,84.30000000000001,86.05,86.94999999999999,87.15,86.5,85.19999999999999,83.30000000000001,80.9,78.05,74.15,69.75,65.7,60.75,59.05,59.85,61.150000000000006,62.5,64.0,66.05000000000001,67.8,69.55,71.55000000000001,73.65,77.4,81.1,82.95,84.0,84.05,83.35,81.85,80.15,77.35,74.05,69.9,65.15,60.150000000000006,55.05,55.1,55.4,56.05,57.1,58.0,58.9,60.2,61.8,63.7,65.2,67.75,71.75,74.35,75.6,71.65
84.15,83.55000000000001,82.4,80.6,78.55,75.55,71.9,67.05000000000001,63.05,59.1,60.15,61.95,63.95,65.75,67.35,69.30000000000001,70.94999999999999,73.35,77.7,82.35,85.5,87.4,88.5,88.5,88.2,87.30000000000001,85.9,83.45,80.8,77.85,73.85,69.05,64.4,61.650000000000006,62.400000000000006,64.0,65.4,66.8,68.80000000000001,70.35,72.05,74.35,76.85,81.25,84.2,86.15,87.0,87.25,86.45,85.05,83.1,80.65,78.0,74.05000000000001,69.7,65.55,60.7,58.85,59.8,61.1,62.45,63.95,65.9,67.85,69.45,71.5,73.55000000000001,77.25,80.9,82.85,83.80000000000001,83.75,83.0,81.69999999999999,79.75,76.9,73.5,69.4,64.85,59.7,54.7,54.75,55.25,55.85,56.650000000000006,57.45,58.5,59.75,61.25,62.95,64.8,67.3,71.44999999999999,74.25,71.7
84.15,84.45,83.80000000000001,82.45,80.9,78.9,75.75,72.0,67.35,63.15,59.2,60.1,62.1,64.0,65.85,67.35,69.4,71.05,73.55,77.75,82.6,85.75,87.6,88.65,88.65,88.4,87.4,85.80000000000001,83.6,80.85,77.7,73.65,69.1,64.19999999999999,61.6,62.3,63.9,65.25,66.80000000000001,68.65,70.1,71.9,74.25,76.6,81.15,84.15,86.15,87.1,87.25,86.25,84.9,82.94999999999999,80.7,77.85,73.95,69.6,65.35,60.6,58.85,59.75,61.05,62.45,63.9,65.9,67.75,69.3,71.15,73.44999999999999,76.80000000000001,80.75,82.55,83.44999999999999,83.4,82.80000000000001,81.35,79.25,76.55,73.1,69.05,64.44999999999999,59.35,54.3,54.6,55.05,55.6,56.3,57.05,58.1,59.25,60.55,62.35,64.65,67.05,71.15,71.525
84.1,84.35,84.85,83.85,82.85,81.25,78.85,76.1,72.0,67.55,63.3,59.4,60.25,62.2,64.1,65.8,67.44999999999999,69.5,71.2,73.65,77.9,82.9,85.95,87.85,88.75,88.69999999999999,88.45,87.3,86.0,83.65,80.8,77.4,73.5,69.05,64.05,61.6,62.25,63.85,65.05000000000001,66.75,68.30000000000001,70.0,71.75,74.05,76.3,81.0,84.4,86.25,86.95,87.0,86.05,84.80000000000001,82.85,80.6,77.75,73.8,69.44999999999999,65.15,60.45,58.75,59.75,61.0,62.5,63.85,65.8,67.5,68.9,70.7,73.0,76.5,80.45,82.19999999999999,83.1,83.2,82.45,80.9,78.75,76.15,72.80000000000001,68.65,64.05,58.85,54.15,54.2,54.650000000000006,55.25,55.9,56.75,57.7,58.75,60.05,61.85,64.5,66.85,71.875
83.85,84.25,85.05000000000001,84.8,84.25,83.2,81.35,78.9,76.0,72.0,67.5,63.55,59.6,60.35,62.3,64.15,65.85,67.65,69.65,71.3,73.80000000000001,78.1,82.94999999999999,85.95,88.15,88.8,88.65,88.5,87.45,86.0,83.55000000000001,80.75,77.35,73.44999999999999,68.95,63.95,61.45,62.15,63.7,64.95,66.5,67.8,69.7,71.5,73.80000000000001,76.05000000000001,80.8,84.45,86.1,86.5,86.7,85.9,84.7,82.75,80.55,77.65,73.7,69.35,64.95,60.400000000000006,58.7,59.650000000000006,60.85,62.45,63.75,65.45,67.05000000000001,68.5,70.45,72.75,76.15,80.05,81.9,82.8,82.75,81.80000000000001,80.4,78.35,75.80000000000001,72.35,68.25,63.6,58.5,53.900000000000006,53.85,54.2,54.85,55.5,56.3,57.1,58.25,59.650000000000006,61.55,64.15,72.175
82.8,84.0,84.9,85.3,85.05,84.55000000000001,83.4,81.6,78.9,76.2,72.0,67.5,63.65,59.650000000000006,60.45,62.4,64.2,66.0,67.75,69.7,71.35,73.94999999999999,78.30000000000001,83.05,86.15,88.4,88.85,88.7,88.45,87.5,85.80000000000001,83.5,80.69999999999999,77.4,73.25,68.8,63.7,61.35,62.0,63.45,64.75,66.25,67.55,69.44999999999999,71.35,73.55,75.80000000000001,80.45,84.44999999999999,85.8,86.25,86.35,85.9,84.6,82.80000000000001,80.5,77.55000000000001,73.7,69.15,64.85,60.2,58.7,59.5,60.75,62.35,63.5,65.15,66.65,68.35,70.35,72.4,75.8,79.80000000000001,81.6,82.35,82.2,81.35,80.0,77.95,75.35,71.94999999999999,67.8,63.25,58.1,53.55,53.5,53.95,54.55,55.2,55.8,56.7,57.85,59.45,61.35,72.2
80.6,83.0,84.25,85.25,85.65,85.25,84.6,83.44999999999999,81.55000000000001,79.1,76.25,72.0,67.45,63.7,59.8,60.650000000000006,62.55,64.25,66.15,67.85,69.75,71.55,74.15,78.44999999999999,83.15,86.5,88.4,88.9,88.8,88.55,87.5,85.6,83.35,80.55000000000001,77.35,73.19999999999999,68.7,63.55,61.2,61.85,63.2,64.75,66.0,67.3,69.05000000000001,71.15,73.4,75.65,80.35,84.2,85.4,85.94999999999999,86.1,85.8,84.55,82.80000000000001,80.45,77.5,73.55,68.9,64.75,60.1,58.7,59.4,60.65,62.05,63.35,64.85,66.5,68.0,70.0,72.1,75.55,79.35,81.2,81.75,81.75,80.94999999999999,79.6,77.6,75.0,71.55000000000001,67.3,62.85,57.55,53.15,53.3,53.6,54.25,54.7,55.4,56.35,57.45,59.2,72.64999999999999
75.2,80.65,82.9,84.45,85.65,86.15,85.6,84.7,83.55,81.65,79.2,76.45,72.05,67.5,63.8,59.9,60.85,62.75,64.35,66.25,67.9,69.9,71.75,74.30000000000001,78.65,83.25,86.65,88.5,89.05,89.0,88.5,87.6,85.6,83.25,80.5,77.2,72.85,68.4,63.650000000000006,61.1,61.8,63.150000000000006,64.75,65.85,67.05,68.85,71.0,73.15,75.4,80.3,83.85,85.15,85.80000000000001,86.1,85.75,84.6,82.95,80.35,77.35,73.4,68.80000000000001,64.65,60.0,58.65,59.3,60.5,61.95,63.15,64.65,66.25,67.7,69.65,71.80000000000001,75.15,78.85,80.7,81.35,81.4,80.6,79.15,77.2,74.6,71.15,66.9,62.35,57.0,52.900000000000006,52.95,53.3,53.85,54.35,55.05,56.1,57.150000000000006,73.0
71.55,75.4,80.65,83.15,84.9,86.15,86.55,86.05,84.85,83.55,81.8,79.5,76.6,72.0,67.65,63.8,60.0,61.15,62.85,64.55000000000001,66.3,68.1,69.95,72.0,74.45,78.75,83.3,86.8,88.55000000000001,89.19999999999999,89.05000000000001,88.6,87.55,85.55,83.1,80.4,76.85,72.5,68.25,63.55,60.9,61.6,63.0,64.5,65.65,66.9,68.65,70.75,72.9,75.25,80.1,83.65,84.9,85.75,86.0,85.65,84.65,82.9,80.35,77.2,73.25,68.69999999999999,64.5,59.8,58.6,59.1,60.25,61.5,62.95,64.45,65.95,67.44999999999999,69.35,71.55000000000001,74.85,78.4,80.25,81.0,81.05000000000001,80.1,78.9,76.8,74.3,70.75,66.5,61.85,56.45,52.55,52.7,52.95,53.55,54.0,54.8,55.75,72.7
69.2,71.7,75.75,80.75,83.15,85.05000000000001,86.3,86.5,86.15,85.1,83.7,81.85,79.69999999999999,76.55,71.95,67.75,63.85,60.1,61.1,62.95,64.55000000000001,66.5,68.1,70.05,72.15,74.69999999999999,78.8,83.3,86.95,88.7,89.19999999999999,89.15,88.6,87.45,85.4,83.0,80.05000000000001,76.55,72.25,68.15,63.45,60.75,61.45,62.650000000000006,64.3,65.5,66.85,68.45,70.6,72.80000000000001,75.19999999999999,79.85,83.35,84.80000000000001,85.80000000000001,86.1,85.8,84.6,82.75,80.1,77.0,73.15,68.55000000000001,64.3,59.7,58.400000000000006,58.95,59.9,61.3,62.85,64.3,65.65,67.05000000000001,69.1,71.19999999999999,74.35,77.85,79.8,80.5,80.65,79.8,78.5,76.45,73.85,70.4,66.15,61.25,56.0,52.3,52.400000000000006,52.650000000000006,53.3,53.8,54.6,72.525
66.9,69.3,71.9,75.85,80.85,83.44999999999999,85.6,86.7,86.75,86.30000000000001,85.25,83.80000000000001,81.95,79.65,76.5,72.0,67.75,64.1,60.3,61.1,63.05,64.8,66.55,68.15,70.1,72.45,74.94999999999999,78.85,83.35,86.85,88.55,89.15,89.2,88.55,87.25,85.3,82.8,79.8,76.35,72.1,68.0,63.2,60.5,61.25,62.3,64.1,65.45,66.5,68.30000000000001,70.44999999999999,72.7,75.15,79.69999999999999,83.15,84.85,85.85,86.15,85.7,84.45,82.45,79.9,76.9,73.05,68.4,64.25,59.35,58.2,58.8,59.7,61.150000000000006,62.7,64.0,65.3,66.85,68.80000000000001,70.94999999999999,73.95,77.19999999999999,79.4,80.1,80.1,79.35,78.05,76.0,73.5,70.1,65.7,60.85,55.7,52.05,52.05,52.4,53.05,53.7,72.575
64.75,67.0,69.5,72.05,75.94999999999999,80.9,83.75,85.94999999999999,86.8,86.9,86.25,85.44999999999999,84.05,81.95,79.55000000000001,76.45,71.95,67.9,64.15,60.4,61.25,63.35,64.85,66.55,68.3,70.1,72.6,75.1,78.95,83.35,86.7,88.4,89.1,89.15,88.35,87.0,85.05000000000001,82.55,79.6,76.1,71.9,67.8,62.900000000000006,60.25,61.05,62.150000000000006,63.9,65.1,66.3,68.2,70.4,72.7,75.1,79.75,83.05,84.9,85.85,85.95,85.65,84.4,82.35,79.9,76.80000000000001,72.95,68.35,64.2,59.05,58.0,58.7,59.6,60.95,62.3,63.75,65.0,66.55,68.45,70.55,73.5,76.80000000000001,79.05,79.65,79.65,79.1,77.6,75.8,73.19999999999999,69.75,65.4,60.45,55.25,51.55,51.6,52.2,52.9,72.65
