Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
47.85,21.0,9.6,54.6,31.0,42.6
46.85,20.6,9.55,54.150000000000006,30.65,41.9
45.900000000000006,20.0,9.55,53.75,30.15,41.349999999999994
44.650000000000006,19.7,9.649999999999999,53.45,29.8,40.8
43.95,19.4,9.25,53.05,29.4,40.3
43.7,19.0,9.1,52.55,28.95,39.8
43.150000000000006,18.8,9.1,52.15,28.7,39.3
42.6,18.6,9.25,52.0,28.5,38.95
42.400000000000006,18.5,9.3,51.650000000000006,28.25,38.7
44.5,18.7,9.3,51.9,28.45,39.0
48.55,21.0,9.15,54.3,30.5,42.0
53.0,24.3,10.05,57.15,32.9,45.150000000000006
56.5,26.5,12.0,60.3,35.0,48.150000000000006
59.4,28.1,13.95,62.400000000000006,36.6,50.4
61.6,29.2,15.5,64.30000000000001,37.8,52.2
63.0,29.8,16.5,65.65,38.349999999999994,53.349999999999994
63.849999999999994,29.8,16.65,66.15,38.45,54.05
64.25,28.7,16.25,66.1,38.0,53.8
62.25,26.9,15.4,64.6,36.2,51.45
57.9,24.9,13.5,61.35,34.55,48.6
54.95,23.5,11.95,59.15,33.5,46.5
53.05,22.7,10.75,57.7,32.6,45.2
51.05,22.1,10.1,56.35,31.9,44.1
49.45,21.6,9.4,55.3,31.35,43.2
48.099999999999994,21.1,9.4,54.55,30.8,42.5
47.0,20.5,9.45,54.05,30.4,41.849999999999994
46.0,20.1,9.4,53.55,30.0,41.150000000000006
44.849999999999994,19.8,9.35,53.25,29.65,40.6
44.15,19.4,9.0,52.9,29.25,40.05
43.9,19.2,8.899999999999999,52.5,28.9,39.5
43.4,18.9,8.85,51.95,28.55,39.0
42.8,18.6,8.95,51.6,28.3,38.650000000000006
42.65,18.5,9.05,51.3,28.05,38.4
44.6,18.7,9.0,51.650000000000006,28.25,38.849999999999994
48.7,21.0,9.0,54.25,30.55,41.8
53.150000000000006,24.4,9.9,57.05,32.849999999999994,45.0
56.7,26.5,11.8,59.9,34.9,48.05
59.55,28.1,13.55,62.25,36.5,50.349999999999994
61.849999999999994,29.0,15.15,64.19999999999999,37.7,52.1
63.2,29.8,16.4,65.5,38.25,53.349999999999994
64.15,30.0,16.6,66.1,38.4,54.1
64.44999999999999,28.9,16.05,65.95,37.9,53.75
62.45,27.1,15.25,64.5,36.150000000000006,51.5
58.150000000000006,25.2,13.5,61.35,34.5,48.5
55.349999999999994,23.9,11.95,58.75,33.349999999999994,46.4
53.3,23.0,10.600000000000001,57.5,32.5,45.0
51.25,22.4,10.0,56.2,31.7,44.05
49.65,21.7,9.25,55.25,31.15,43.25
48.400000000000006,21.2,9.25,54.55,30.6,42.349999999999994
47.25,20.9,9.2,54.05,30.2,41.6
46.25,20.5,9.25,53.55,29.75,41.0
45.1,19.8,9.2,53.05,29.4,40.5
44.4,19.6,8.85,52.75,29.1,39.9
44.1,19.4,8.75,52.25,28.6,39.349999999999994
43.5,19.1,8.7,51.7,28.3,39.0
42.9,19.0,8.75,51.3,28.0,38.7
42.7,18.6,8.85,50.95,27.8,38.4
44.9,19.1,8.8,51.400000000000006,28.0,38.7
49.0,21.0,8.8,54.25,30.35,41.8
53.5,24.3,9.899999999999999,57.05,32.7,44.95
57.0,26.6,11.85,59.9,34.8,48.0
59.849999999999994,28.2,13.5,62.150000000000006,36.349999999999994,50.4
62.2,29.1,15.15,64.05000000000001,37.5,52.150000000000006
63.5,30.0,16.25,65.4,38.2,53.45
64.55,29.9,16.5,66.0,38.3,54.1
64.85,29.3,15.95,65.9,37.7,53.8
62.5,27.1,15.149999999999999,64.3,36.1,51.45
58.55,25.3,13.55,61.3,34.4,48.55
55.75,24.2,12.149999999999999,58.75,33.45,46.55
53.65,23.2,10.85,57.0,32.25,44.95
51.45,22.6,10.2,55.95,31.6,44.0
49.95,22.1,9.5,55.3,31.0,43.3
48.75,21.5,9.05,54.599999999999994,30.4,42.4
47.5,21.0,9.0,54.0,30.0,41.55
46.5,20.5,8.95,53.4,29.5,41.05
45.35,20.2,9.0,52.9,29.2,40.5
44.7,20.0,8.7,52.55,28.85,40.150000000000006
44.45,19.6,8.55,52.05,28.55,39.650000000000006
43.8,19.4,8.55,51.45,28.25,39.3
43.25,19.2,8.55,51.05,28.0,38.9
42.95,19.0,8.600000000000001,50.7,27.7,38.6
45.2,19.2,8.55,51.150000000000006,27.9,38.8
49.3,21.5,8.5,54.35,30.3,41.9
53.8,24.4,10.05,57.2,32.55,45.0
57.25,26.5,11.95,60.0,34.7,48.05
60.05,28.0,13.399999999999999,62.349999999999994,36.05,50.4
62.45,29.0,15.05,64.15,37.3,52.150000000000006
63.8,29.9,16.25,65.6,38.0,53.55
64.9,29.9,16.5,66.35,38.2,54.2
65.05,29.5,16.0,66.0,37.7,53.849999999999994
62.75,27.2,15.2,64.4,36.1,51.55
58.8,25.7,13.7,61.4,34.45,48.6
56.05,24.4,12.25,58.6,33.3,46.55
53.85,23.5,11.0,56.95,32.45,45.0
51.7,22.7,10.35,55.95,31.6,43.95
50.25,22.2,9.7,55.35,31.0,43.25
48.95,21.7,9.3,54.65,30.4,42.45
47.7,21.1,9.0,53.95,29.95,41.55
46.7,20.6,9.05,53.349999999999994,29.6,41.05
45.55,20.3,9.0,52.95,29.2,40.4
44.849999999999994,20.0,8.7,52.5,28.8,40.05
44.55,19.7,8.6,52.05,28.5,39.650000000000006
43.9,19.5,8.6,51.45,28.2,39.4
43.3,19.3,8.6,51.05,27.9,38.95
43.0,19.0,8.5,50.75,27.8,38.75
45.2,19.2,8.5,51.15,28.05,38.75
49.349999999999994,21.7,8.4,54.5,30.2,41.849999999999994
53.95,24.4,10.149999999999999,57.45,32.4,45.1
57.35,26.4,12.0,60.25,34.4,48.25
60.2,28.1,13.4,62.55,36.0,50.45
62.55,29.0,15.100000000000001,64.35,37.150000000000006,52.25
63.9,29.8,16.35,65.8,37.9,53.7
64.9,30.0,16.7,66.6,38.05,54.3
65.19999999999999,29.4,16.1,66.1,37.650000000000006,53.95
