station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _21,station _22,station _23,station _24,station _25,station _26,station _27,station _28,station _29,station _3,station _30,station _31,station _32,station _33,station _34,station _35,station _36,station _37,station _38,station _39,station _4,station _40,station _41,station _42,station _43,station _44,station _45,station _46,station _47,station _48,station _49,station _5,station _50,station _51,station _52,station _53,station _54,station _55,station _56,station _57,station _58,station _59,station _6,station _60,station _61,station _62,station _63,station _64,station _65,station _66,station _67,station _68,station _69,station _7,station _70,station _71,station _72,station _73,station _74,station _75,station _76,station _77,station _78,station _79,station _8,station _80,station _81,station _82,station _83,station _84,station _85,station _86,station _87,station _88,station _89,station _9,station _90,station _91,station _92,station _93,station _94
11.61111111111111,23.833333333333336,17.388888888888886,12.666666666666664,13.833333333333332,24.0,15.944444444444446,22.61111111111111,17.055555555555557,10.333333333333334,17.333333333333336,20.666666666666668,21.944444444444443,15.777777777777777,14.833333333333334,23.000000000000004,25.55555555555556,29.5,19.33333333333333,15.944444444444446,24.55555555555556,25.33333333333333,19.944444444444446,16.5,21.0,15.499999999999998,25.11111111111111,13.444444444444446,25.27777777777778,21.72222222222221,29.77777777777777,22.05555555555556,19.61111111111111,12.5,13.277777777777777,16.166666666666668,17.333333333333336,28.61111111111111,17.22222222222222,14.444444444444445,24.611111111111107,9.833333333333334,29.111111111111114,24.5,21.55555555555556,15.61111111111111,17.055555555555557,29.111111111111114,25.05555555555555,17.555555555555557,28.833333333333336,22.666666666666664,23.22222222222222,17.555555555555557,15.72222222222222,24.444444444444443,11.833333333333332,25.33333333333333,23.833333333333336,9.000000000000002,22.0,16.77777777777778,23.277777777777786,15.277777777777777,10.944444444444446,17.444444444444443,21.77777777777778,13.499999999999998,9.11111111111111,24.22222222222221,14.666666666666666,23.61111111111111,13.38888888888889,22.83333333333333,22.722222222222225,29.166666666666664,25.05555555555555,11.77777777777778,28.94444444444444,12.88888888888889,18.61111111111111,15.88888888888889,21.72222222222221,19.55555555555556,9.444444444444445,18.666666666666664,12.999999999999998,11.444444444444445,21.611111111111114,12.444444444444445,10.833333333333334,29.05555555555556,23.277777777777786,12.666666666666664
11.166666666666668,24.444444444444443,17.11111111111111,12.5,13.666666666666668,22.83333333333333,15.555555555555555,21.55555555555556,16.72222222222222,10.166666666666664,17.055555555555557,20.444444444444443,22.333333333333336,15.499999999999998,14.555555555555555,22.944444444444443,25.88888888888889,27.77777777777778,19.05555555555556,15.833333333333332,24.388888888888893,25.72222222222222,19.444444444444443,16.166666666666668,20.666666666666668,15.22222222222222,25.11111111111111,13.277777777777777,26.05555555555556,20.777777777777786,29.5,20.444444444444443,19.388888888888893,12.055555555555555,12.944444444444445,15.88888888888889,17.055555555555557,28.55555555555556,16.833333333333332,14.333333333333332,24.833333333333336,9.5,28.5,24.611111111111107,22.5,15.333333333333334,15.0,28.72222222222222,24.611111111111107,17.333333333333336,28.22222222222222,22.11111111111111,23.55555555555556,16.77777777777778,15.444444444444445,24.111111111111114,11.666666666666666,24.33333333333333,24.111111111111114,8.61111111111111,22.5,16.11111111111111,21.0,13.277777777777777,10.555555555555555,16.61111111111111,20.83333333333333,13.277777777777777,9.000000000000002,22.722222222222225,13.833333333333332,22.444444444444446,13.166666666666668,22.61111111111111,20.55555555555556,28.94444444444444,24.77777777777777,11.500000000000002,28.94444444444444,12.666666666666664,18.5,16.222222222222225,20.83333333333333,18.55555555555556,9.333333333333332,16.333333333333332,12.777777777777777,11.166666666666668,20.05555555555556,12.22222222222222,10.555555555555555,29.111111111111114,22.77777777777778,12.388888888888888
10.833333333333334,24.666666666666668,16.666666666666668,12.27777777777778,13.277777777777777,20.38888888888889,15.277777777777777,20.88888888888889,16.38888888888889,10.666666666666668,16.88888888888889,19.666666666666668,22.27777777777777,15.38888888888889,14.333333333333332,23.05555555555556,25.83333333333333,25.222222222222225,18.94444444444444,16.277777777777775,23.833333333333336,25.611111111111107,18.05555555555556,15.833333333333332,20.500000000000004,14.944444444444445,24.72222222222222,13.166666666666668,26.38888888888889,18.22222222222222,28.833333333333336,19.55555555555556,19.0,11.500000000000002,12.611111111111112,15.499999999999998,16.77777777777778,27.944444444444443,16.38888888888889,13.944444444444445,24.5,9.166666666666666,27.05555555555556,24.27777777777778,23.000000000000004,15.166666666666664,13.944444444444445,28.05555555555556,23.5,17.0,26.72222222222221,20.72222222222222,23.5,16.11111111111111,15.166666666666664,23.000000000000004,11.38888888888889,22.722222222222225,23.88888888888889,8.333333333333334,22.77777777777778,15.61111111111111,19.77777777777777,12.055555555555555,10.22222222222222,15.777777777777777,20.166666666666664,12.944444444444445,9.27777777777778,21.44444444444444,13.277777777777777,21.666666666666668,13.055555555555555,21.611111111111114,18.722222222222225,28.22222222222222,23.722222222222225,11.444444444444445,28.27777777777778,12.5,18.33333333333333,16.166666666666668,18.722222222222225,18.33333333333333,9.27777777777778,14.944444444444445,12.388888888888888,10.944444444444446,19.111111111111114,12.055555555555555,10.444444444444445,28.666666666666664,21.333333333333336,12.166666666666666
10.666666666666668,24.444444444444443,16.444444444444446,12.333333333333334,13.11111111111111,19.0,14.944444444444445,20.38888888888889,16.11111111111111,13.499999999999998,16.77777777777778,17.22222222222222,21.77777777777778,15.22222222222222,14.166666666666666,25.33333333333333,25.05555555555555,24.166666666666664,18.722222222222225,18.111111111111107,22.5,24.833333333333336,15.666666666666668,15.666666666666668,20.27777777777778,14.666666666666666,23.55555555555556,12.999999999999998,26.333333333333336,16.77777777777778,27.444444444444446,18.94444444444444,19.72222222222222,11.11111111111111,12.22222222222222,15.277777777777777,16.72222222222222,26.77777777777778,16.11111111111111,14.944444444444445,23.55555555555556,9.055555555555554,24.55555555555556,23.33333333333333,23.277777777777786,16.444444444444446,13.277777777777777,26.611111111111114,21.222222222222225,16.833333333333332,24.27777777777778,18.444444444444446,23.000000000000004,15.555555555555555,15.055555555555555,20.222222222222225,11.444444444444445,21.27777777777777,22.77777777777778,8.111111111111112,22.444444444444446,15.111111111111112,18.88888888888889,11.222222222222223,10.055555555555555,15.111111111111112,19.55555555555556,12.88888888888889,12.0,20.83333333333333,12.666666666666664,21.0,14.72222222222222,18.94444444444444,17.77777777777778,26.55555555555556,21.11111111111111,11.166666666666668,26.55555555555556,12.27777777777778,19.27777777777778,15.944444444444446,17.555555555555557,18.277777777777786,9.222222222222223,13.944444444444445,12.22222222222222,10.72222222222222,18.22222222222222,11.833333333333332,10.444444444444445,27.61111111111111,18.444444444444446,11.944444444444445
10.333333333333334,23.61111111111111,16.444444444444446,14.222222222222223,12.88888888888889,18.111111111111107,14.833333333333334,19.944444444444446,16.11111111111111,15.72222222222222,18.33333333333333,15.166666666666664,20.611111111111107,15.111111111111112,15.555555555555555,26.72222222222221,22.83333333333333,23.38888888888889,18.833333333333336,19.444444444444443,19.88888888888889,22.83333333333333,14.388888888888888,15.555555555555555,20.38888888888889,16.055555555555554,21.27777777777777,12.944444444444445,25.55555555555556,15.72222222222222,25.666666666666668,18.55555555555556,21.55555555555556,10.72222222222222,12.0,15.0,17.88888888888889,25.0,15.777777777777777,16.88888888888889,21.11111111111111,8.722222222222223,23.22222222222222,20.11111111111111,23.166666666666668,18.277777777777786,12.666666666666664,23.61111111111111,19.88888888888889,16.666666666666668,22.722222222222225,17.11111111111111,20.83333333333333,15.277777777777777,15.277777777777777,18.38888888888889,13.444444444444446,20.166666666666664,20.11111111111111,8.333333333333334,21.5,14.77777777777778,18.277777777777786,10.444444444444445,10.277777777777777,14.666666666666666,19.166666666666668,12.555555555555555,14.72222222222222,20.444444444444443,12.166666666666666,20.500000000000004,16.944444444444443,17.5,17.0,24.5,19.27777777777778,10.944444444444446,24.27777777777778,13.61111111111111,21.44444444444444,15.055555555555555,16.88888888888889,18.166666666666668,10.444444444444445,13.277777777777777,12.055555555555555,10.444444444444445,17.555555555555557,13.88888888888889,12.27777777777778,24.77777777777777,17.166666666666664,11.777777777777779
10.444444444444445,21.44444444444444,18.000000000000004,16.444444444444446,14.166666666666666,17.5,14.5,19.55555555555556,17.88888888888889,17.72222222222222,20.11111111111111,13.88888888888889,17.666666666666664,17.11111111111111,18.05555555555556,27.61111111111111,20.83333333333333,22.722222222222225,21.05555555555556,20.666666666666668,18.722222222222225,21.27777777777777,13.555555555555554,15.38888888888889,22.61111111111111,18.5,20.05555555555556,14.77777777777778,23.166666666666668,15.0,24.666666666666668,18.277777777777786,23.61111111111111,10.444444444444445,11.944444444444445,15.944444444444446,19.61111111111111,24.0,15.555555555555555,18.94444444444444,19.0,10.055555555555555,22.333333333333336,18.000000000000004,22.944444444444443,19.944444444444446,12.166666666666666,22.11111111111111,19.05555555555556,18.111111111111107,21.83333333333333,16.222222222222225,17.333333333333336,14.888888888888888,17.444444444444443,17.27777777777778,15.61111111111111,19.33333333333333,18.33333333333333,10.111111111111112,18.94444444444444,14.444444444444445,17.77777777777778,9.72222222222222,12.0,14.11111111111111,18.722222222222225,12.611111111111112,17.0,20.05555555555556,11.722222222222223,20.05555555555556,18.77777777777777,16.555555555555554,16.333333333333332,22.944444444444443,18.5,12.833333333333334,22.83333333333333,15.61111111111111,23.666666666666664,14.555555555555555,16.5,17.944444444444443,12.27777777777778,12.72222222222222,13.61111111111111,11.166666666666668,17.055555555555557,16.555555555555554,14.5,22.722222222222225,16.277777777777775,11.61111111111111
12.72222222222222,20.0,19.833333333333336,18.38888888888889,16.055555555555554,17.055555555555557,15.499999999999998,19.27777777777778,19.77777777777777,19.27777777777778,21.83333333333333,13.11111111111111,16.11111111111111,20.05555555555556,20.33333333333333,28.27777777777778,19.55555555555556,22.0,23.5,21.5,18.111111111111107,20.222222222222225,12.944444444444445,17.11111111111111,24.55555555555556,20.611111111111107,19.27777777777778,17.166666666666664,20.944444444444446,14.333333333333332,24.0,17.88888888888889,25.27777777777778,10.166666666666664,13.444444444444446,18.33333333333333,21.27777777777777,23.277777777777786,15.38888888888889,20.83333333333333,18.000000000000004,12.666666666666664,21.666666666666668,17.22222222222222,22.27777777777777,21.0,11.77777777777778,21.222222222222225,18.61111111111111,20.444444444444443,21.05555555555556,15.61111111111111,15.777777777777777,14.611111111111107,19.833333333333336,16.5,17.555555555555557,18.5,17.388888888888886,12.0,17.444444444444443,14.388888888888888,17.333333333333336,9.333333333333332,13.777777777777777,13.722222222222223,18.38888888888889,13.833333333333332,18.38888888888889,19.72222222222222,11.333333333333332,19.666666666666668,20.38888888888889,15.944444444444446,15.777777777777777,22.11111111111111,17.88888888888889,15.0,21.888888888888893,17.555555555555557,25.500000000000004,14.11111111111111,16.055555555555554,17.83333333333333,13.666666666666668,12.166666666666666,15.833333333333332,13.11111111111111,16.5,18.94444444444444,16.38888888888889,21.944444444444443,15.61111111111111,13.38888888888889
15.666666666666668,19.0,21.55555555555556,19.944444444444446,18.000000000000004,16.61111111111111,18.05555555555556,19.0,21.38888888888889,20.444444444444443,23.38888888888889,12.388888888888888,15.22222222222222,22.444444444444446,21.888888888888893,28.5,18.666666666666664,21.44444444444444,25.611111111111107,22.166666666666668,17.61111111111111,19.166666666666668,12.388888888888888,19.72222222222222,26.11111111111111,22.444444444444446,18.61111111111111,19.166666666666668,19.61111111111111,13.833333333333332,23.38888888888889,17.61111111111111,26.38888888888889,9.944444444444445,15.72222222222222,20.88888888888889,22.722222222222225,22.83333333333333,17.27777777777778,22.05555555555556,17.388888888888886,15.444444444444445,21.05555555555556,16.666666666666668,20.83333333333333,21.72222222222221,11.38888888888889,20.500000000000004,18.05555555555556,22.61111111111111,20.444444444444443,15.055555555555555,14.944444444444445,14.222222222222223,21.83333333333333,15.999999999999998,19.22222222222221,17.77777777777778,16.72222222222222,13.61111111111111,16.666666666666668,15.777777777777777,16.833333333333332,8.777777777777777,15.38888888888889,13.444444444444446,18.05555555555556,15.111111111111112,19.22222222222221,19.388888888888893,10.944444444444446,19.388888888888893,21.44444444444444,15.444444444444445,15.166666666666664,21.333333333333336,17.27777777777778,17.166666666666664,21.166666666666664,19.05555555555556,26.77777777777778,13.777777777777777,15.72222222222222,17.72222222222222,14.666666666666666,11.666666666666666,17.72222222222222,15.38888888888889,16.055555555555554,20.777777777777786,17.666666666666664,21.166666666666664,15.111111111111112,15.61111111111111
17.83333333333333,18.33333333333333,22.944444444444443,21.0,19.72222222222222,16.333333333333332,20.444444444444443,18.666666666666664,22.77777777777778,21.05555555555556,24.666666666666668,11.77777777777778,14.555555555555555,24.111111111111114,22.77777777777778,28.72222222222222,17.944444444444443,20.88888888888889,27.0,22.55555555555556,17.388888888888886,18.444444444444446,12.0,22.166666666666668,27.111111111111107,23.833333333333336,17.944444444444443,20.83333333333333,18.833333333333336,13.38888888888889,23.000000000000004,17.333333333333336,27.0,9.666666666666666,18.05555555555556,23.166666666666668,23.88888888888889,22.38888888888889,19.61111111111111,22.77777777777778,16.833333333333332,17.83333333333333,20.611111111111107,15.999999999999998,19.22222222222221,22.05555555555556,11.055555555555555,19.833333333333336,17.61111111111111,24.27777777777778,19.833333333333336,14.5,14.27777777777778,13.833333333333332,23.38888888888889,15.499999999999998,20.38888888888889,17.22222222222222,16.166666666666668,14.888888888888888,16.055555555555554,18.38888888888889,16.444444444444446,8.38888888888889,17.0,13.166666666666668,17.77777777777778,16.61111111111111,19.666666666666668,19.111111111111114,10.555555555555555,19.111111111111114,22.22222222222222,14.944444444444445,14.72222222222222,20.611111111111107,16.72222222222222,18.77777777777777,20.500000000000004,20.222222222222225,27.666666666666664,13.499999999999998,15.38888888888889,17.555555555555557,15.166666666666664,11.333333333333332,19.33333333333333,17.27777777777778,15.666666666666668,22.05555555555556,18.5,20.444444444444443,14.611111111111107,17.72222222222222
19.444444444444443,17.61111111111111,24.22222222222221,21.72222222222221,20.83333333333333,15.999999999999998,22.27777777777777,18.38888888888889,24.0,21.44444444444444,25.72222222222222,11.333333333333332,13.944444444444445,25.222222222222225,23.166666666666668,28.55555555555556,17.166666666666664,20.611111111111107,27.88888888888889,22.88888888888889,17.11111111111111,17.72222222222222,11.555555555555554,23.722222222222225,27.666666666666664,24.88888888888889,17.444444444444443,22.11111111111111,18.166666666666668,12.944444444444445,22.61111111111111,17.11111111111111,27.22222222222222,10.333333333333334,19.72222222222222,24.77777777777777,24.77777777777777,22.05555555555556,21.72222222222221,23.111111111111107,16.277777777777775,19.5,20.11111111111111,15.38888888888889,17.83333333333333,22.11111111111111,10.72222222222222,19.33333333333333,17.22222222222222,25.55555555555556,19.27777777777778,14.055555555555554,13.666666666666668,13.61111111111111,24.55555555555556,15.22222222222222,21.166666666666664,16.72222222222222,15.499999999999998,15.944444444444446,15.499999999999998,20.88888888888889,16.055555555555554,8.111111111111112,18.33333333333333,12.944444444444445,17.5,17.72222222222222,19.72222222222222,18.833333333333336,10.277777777777777,18.88888888888889,22.722222222222225,14.444444444444445,14.333333333333332,20.05555555555556,16.166666666666668,19.88888888888889,19.88888888888889,21.0,28.111111111111107,13.277777777777777,15.055555555555555,17.444444444444443,15.444444444444445,10.999999999999998,20.38888888888889,18.88888888888889,15.38888888888889,22.83333333333333,18.94444444444444,19.77777777777777,14.222222222222223,19.499999999999996
