station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _20,station _21,station _22,station _23,station _24,station _25,station _26,station _27,station _28,station _29,station _3,station _30,station _31,station _32,station _33,station _34,station _35,station _36,station _37,station _38,station _4,station _5,station _6,station _7,station _8,station _9
21.333333333333336,22.88888888888889,18.111111111111107,18.22222222222222,22.444444444444446,17.83333333333333,15.166666666666664,23.94444444444444,17.944444444444443,14.611111111111107,13.22222222222222,27.22222222222222,25.72222222222222,19.166666666666668,18.61111111111111,19.33333333333333,10.944444444444446,13.833333333333332,18.61111111111111,24.944444444444446,19.111111111111114,21.166666666666664,20.777777777777786,25.11111111111111,20.444444444444443,25.222222222222225,19.444444444444443,13.61111111111111,13.499999999999998,12.055555555555555,15.277777777777777,12.27777777777778,20.83333333333333,25.11111111111111,27.166666666666668,24.72222222222222,24.055555555555557,24.166666666666664
20.88888888888889,22.55555555555556,18.55555555555556,16.5,22.77777777777778,20.27777777777778,14.944444444444445,24.33333333333333,18.55555555555556,14.444444444444445,13.277777777777777,27.333333333333336,26.77777777777778,18.33333333333333,17.944444444444443,18.55555555555556,10.833333333333334,14.444444444444445,18.33333333333333,23.55555555555556,18.166666666666668,20.944444444444446,20.55555555555556,23.722222222222225,19.944444444444446,24.77777777777777,18.88888888888889,13.166666666666668,13.277777777777777,11.77777777777778,14.77777777777778,11.944444444444445,20.611111111111107,24.5,27.77777777777778,24.33333333333333,23.77777777777777,24.666666666666668
20.55555555555556,21.77777777777778,19.666666666666668,15.333333333333334,22.444444444444446,22.27777777777777,14.833333333333334,24.27777777777778,19.22222222222221,14.333333333333332,13.88888888888889,27.05555555555556,27.0,17.61111111111111,17.27777777777778,17.88888888888889,10.72222222222222,15.22222222222222,18.05555555555556,21.55555555555556,17.88888888888889,20.944444444444446,20.38888888888889,22.333333333333336,19.61111111111111,23.88888888888889,18.111111111111107,12.833333333333334,13.055555555555555,11.500000000000002,14.27777777777778,11.722222222222223,20.38888888888889,23.61111111111111,28.111111111111107,23.38888888888889,23.38888888888889,25.0
20.27777777777778,20.72222222222222,20.88888888888889,14.444444444444445,21.611111111111114,22.61111111111111,14.77777777777778,23.55555555555556,20.0,14.166666666666666,15.0,26.38888888888889,26.77777777777778,17.0,16.72222222222222,17.333333333333336,10.666666666666668,15.88888888888889,17.83333333333333,20.38888888888889,17.666666666666664,20.777777777777786,20.222222222222225,21.72222222222221,19.33333333333333,22.5,17.055555555555557,12.555555555555555,13.055555555555555,11.38888888888889,13.88888888888889,11.555555555555554,20.05555555555556,22.27777777777777,27.944444444444443,22.11111111111111,22.83333333333333,25.166666666666664
20.0,19.166666666666668,21.888888888888893,13.777777777777777,20.444444444444443,22.27777777777777,14.888888888888888,22.27777777777777,20.444444444444443,14.055555555555554,16.666666666666668,25.38888888888889,26.0,16.5,16.166666666666668,16.833333333333332,11.666666666666666,16.166666666666668,17.666666666666664,19.77777777777777,17.444444444444443,20.72222222222222,19.88888888888889,21.44444444444444,19.05555555555556,20.500000000000004,15.666666666666668,12.444444444444445,12.88888888888889,11.222222222222223,13.555555555555554,11.333333333333332,19.833333333333336,20.38888888888889,27.111111111111107,20.500000000000004,22.166666666666668,25.166666666666664
19.666666666666668,18.111111111111107,22.77777777777778,13.055555555555555,18.94444444444444,21.83333333333333,15.72222222222222,20.27777777777778,20.33333333333333,13.944444444444445,18.722222222222225,24.111111111111114,24.666666666666668,16.055555555555554,15.666666666666668,16.38888888888889,13.277777777777777,16.444444444444446,17.5,19.33333333333333,17.333333333333336,20.55555555555556,19.72222222222222,21.166666666666664,18.833333333333336,17.944444444444443,14.72222222222222,14.27777777777778,12.72222222222222,11.11111111111111,13.22222222222222,11.333333333333332,19.61111111111111,19.388888888888893,25.944444444444446,19.388888888888893,21.27777777777777,25.0
19.444444444444443,17.72222222222222,23.22222222222222,12.555555555555555,17.944444444444443,21.27777777777777,16.88888888888889,19.0,19.77777777777777,13.833333333333332,20.27777777777778,22.38888888888889,22.722222222222225,15.666666666666668,15.333333333333334,15.999999999999998,14.166666666666666,16.5,17.444444444444443,18.88888888888889,17.22222222222222,20.500000000000004,19.444444444444443,20.944444444444446,18.666666666666664,16.555555555555554,14.27777777777778,16.277777777777775,12.666666666666664,12.111111111111107,12.944444444444445,11.277777777777777,19.388888888888893,18.94444444444444,24.33333333333333,18.833333333333336,20.555555555555557,24.555555555555557
19.22222222222221,17.22222222222222,23.666666666666664,12.166666666666666,17.27777777777778,20.55555555555556,18.000000000000004,18.22222222222222,19.0,13.833333333333332,20.944444444444446,21.05555555555556,20.666666666666668,16.055555555555554,14.944444444444445,15.666666666666668,14.944444444444445,16.333333333333332,17.27777777777778,18.5,17.11111111111111,20.500000000000004,19.27777777777778,20.777777777777786,18.38888888888889,15.88888888888889,14.000000000000002,18.05555555555556,13.38888888888889,13.777777777777777,12.72222222222222,12.0,19.166666666666668,18.5,22.722222222222225,18.444444444444446,20.33333333333333,23.88888888888889
19.0,16.88888888888889,23.77777777777777,11.77777777777778,16.77777777777778,19.61111111111111,19.166666666666668,17.666666666666664,17.83333333333333,14.555555555555555,21.44444444444444,20.11111111111111,19.444444444444443,16.77777777777778,15.0,15.61111111111111,15.499999999999998,15.88888888888889,17.27777777777778,18.166666666666668,16.944444444444443,21.333333333333336,19.166666666666668,20.55555555555556,18.22222222222222,15.499999999999998,13.666666666666668,20.0,14.833333333333334,15.666666666666668,13.38888888888889,14.055555555555554,19.0,18.277777777777786,21.944444444444443,18.000000000000004,20.166666666666664,23.000000000000004
18.88888888888889,16.38888888888889,23.61111111111111,11.555555555555554,16.222222222222225,18.444444444444446,20.222222222222225,17.166666666666664,16.88888888888889,15.72222222222222,21.27777777777777,19.22222222222221,18.666666666666664,17.77777777777778,15.944444444444446,16.5,16.166666666666668,15.333333333333334,19.05555555555556,18.000000000000004,16.77777777777778,22.333333333333336,19.111111111111114,20.444444444444443,18.000000000000004,15.0,13.444444444444446,22.0,16.38888888888889,17.444444444444443,14.222222222222223,15.61111111111111,18.833333333333336,18.111111111111107,21.55555555555556,17.555555555555557,20.055555555555557,22.277777777777775
