station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _2,station _3,station _4,station _5,station _6,station _7,station _8,station _9
-2.333333333333333,-4.11111111111111,-17.444444444444443,-10.388888888888888,-21.61111111111111,-12.888888888888888,-18.38888888888889,-11.777777777777777,-6.61111111111111,-0.8888888888888896,0.6666666666666682,-7.722222222222221,-6.555555555555555,-2.111111111111112,-13.88888888888889,-12.833333333333334,-12.777777777777777
-2.3888888888888893,-4.555555555555555,-17.77777777777778,-10.0,-21.77777777777778,-13.166666666666666,-18.5,-12.777777777777777,-6.944444444444445,-0.4444444444444448,0.3888888888888904,-8.111111111111112,-7.166666666666666,-2.055555555555555,-12.333333333333332,-13.333333333333332,-13.666666666666668
-2.444444444444444,-4.944444444444444,-17.666666666666668,-8.222222222222223,-22.05555555555556,-13.333333333333332,-18.61111111111111,-13.38888888888889,-7.277777777777779,-0.1111111111111107,0.166666666666665,-8.5,-7.777777777777778,-2.1666666666666656,-11.27777777777778,-13.77777777777778,-14.222222222222223
-2.5,-5.277777777777778,-16.27777777777778,-6.222222222222221,-22.333333333333336,-13.444444444444445,-18.722222222222225,-13.88888888888889,-7.611111111111111,-0.3333333333333341,0.0,-8.833333333333332,-8.222222222222223,-2.055555555555555,-10.555555555555555,-14.166666666666666,-14.833333333333332
-2.6111111111111107,-5.611111111111112,-14.333333333333334,-4.611111111111112,-22.5,-13.555555555555554,-18.61111111111111,-14.72222222222222,-7.944444444444445,-1.0000000000000004,-0.1111111111111107,-9.0,-8.444444444444445,-2.000000000000001,-10.388888888888888,-14.388888888888888,-15.388888888888888
-2.666666666666667,-5.944444444444444,-12.22222222222222,-3.5000000000000004,-22.55555555555556,-13.666666666666668,-18.666666666666668,-15.11111111111111,-8.055555555555555,-1.222222222222222,-0.166666666666667,-9.222222222222223,-8.555555555555555,-1.4444444444444453,-11.11111111111111,-14.944444444444445,-15.88888888888889
-2.2222222222222223,-6.111111111111111,-10.777777777777777,-2.6111111111111107,-21.944444444444443,-13.88888888888889,-18.444444444444446,-15.11111111111111,-8.277777777777777,-1.6666666666666663,-0.2777777777777778,-9.444444444444445,-8.833333333333332,-1.0000000000000004,-12.555555555555555,-15.22222222222222,-16.555555555555557
-1.277777777777778,-6.555555555555555,-9.555555555555555,-2.055555555555555,-20.11111111111111,-13.88888888888889,-17.944444444444443,-15.333333333333334,-8.333333333333334,-1.7777777777777772,-0.2777777777777778,-9.72222222222222,-9.0,-0.7222222222222227,-14.11111111111111,-15.555555555555555,-17.0
-0.3888888888888885,-6.666666666666666,-8.88888888888889,-1.8333333333333337,-17.944444444444443,-13.88888888888889,-17.27777777777778,-15.444444444444445,-5.444444444444445,-1.888888888888888,-0.3333333333333341,-9.944444444444445,-9.222222222222223,-0.6111111111111119,-15.166666666666666,-15.88888888888889,-17.5
0.3333333333333341,-6.888888888888888,-8.444444444444445,-2.111111111111112,-16.333333333333332,-14.0,-16.666666666666668,-15.61111111111111,-2.8888888888888884,-1.9444444444444444,-0.3888888888888885,-10.166666666666666,-9.388888888888888,-0.7222222222222227,-16.0,-15.944444444444445,-17.0
