station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _2,station _3,station _4,station _5,station _6,station _7,station _8,station _9
8.722222222222223,9.444444444444445,-17.11111111111111,7.88888888888889,-2.7777777777777777,5.166666666666665,4.27777777777778,-3.3888888888888897,11.277777777777777,4.500000000000001,4.000000000000002,9.944444444444445,4.11111111111111,8.166666666666668,7.333333333333335,4.27777777777778,4.11111111111111
9.222222222222223,9.166666666666666,-16.38888888888889,6.61111111111111,-1.722222222222223,4.833333333333335,4.000000000000002,-3.444444444444444,9.055555555555554,4.444444444444445,5.0,9.611111111111107,3.888888888888889,8.61111111111111,6.222222222222223,4.833333333333335,3.5555555555555545
9.388888888888888,8.499999999999998,-16.22222222222222,5.833333333333333,-0.6111111111111119,4.666666666666666,3.777777777777776,-2.999999999999999,7.000000000000001,5.0,5.777777777777777,9.000000000000002,3.444444444444446,8.88888888888889,4.722222222222222,5.1111111111111125,2.999999999999999
9.5,7.388888888888887,-16.38888888888889,5.222222222222221,0.3888888888888904,4.444444444444445,3.611111111111111,-2.1666666666666656,5.666666666666668,6.277777777777776,6.166666666666667,7.833333333333334,2.555555555555556,9.055555555555554,3.722222222222224,5.1111111111111125,2.5
9.388888888888888,6.77777777777778,-16.72222222222222,4.722222222222222,1.222222222222224,4.222222222222223,3.4999999999999982,-1.4999999999999996,4.61111111111111,7.555555555555556,6.333333333333332,6.666666666666666,2.000000000000001,9.11111111111111,3.111111111111112,4.722222222222222,2.055555555555557
9.166666666666666,6.500000000000002,-16.833333333333332,4.333333333333331,1.888888888888888,4.055555555555554,3.333333333333333,-1.1666666666666674,3.5555555555555545,8.61111111111111,6.333333333333332,5.9444444444444455,1.6666666666666663,8.833333333333332,2.6111111111111125,3.944444444444445,1.722222222222223
8.499999999999998,6.222222222222223,-17.055555555555554,4.000000000000002,2.2222222222222223,3.944444444444445,3.111111111111112,-1.0000000000000004,2.8888888888888906,9.055555555555554,6.0555555555555545,5.499999999999999,1.4444444444444453,8.61111111111111,2.1666666666666656,3.277777777777777,1.3333333333333326
7.611111111111112,6.0555555555555545,-17.27777777777778,3.722222222222224,2.2777777777777786,3.777777777777776,3.111111111111112,-0.944444444444444,2.333333333333335,9.388888888888888,5.333333333333334,5.166666666666665,1.277777777777776,8.166666666666668,1.833333333333332,2.6111111111111125,0.9999999999999984
7.111111111111109,5.999999999999998,-17.555555555555557,3.4999999999999982,1.9444444444444444,3.722222222222224,2.999999999999999,-1.3333333333333326,1.7777777777777792,9.5,4.555555555555557,4.833333333333335,1.1666666666666674,7.611111111111112,1.555555555555554,2.2222222222222223,0.777777777777777
6.77777777777778,5.777777777777777,-17.444444444444443,3.333333333333333,0.8888888888888896,4.27777777777778,3.2222222222222205,-2.055555555555555,1.222222222222224,9.333333333333332,4.222222222222223,4.555555555555557,0.9999999999999984,7.055555555555557,1.3333333333333326,1.833333333333332,0.6666666666666682
