Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
48.8,32.0,18.15,48.2,50.6,40.849999999999994,27.4,12.7,62.65
52.9,34.3,20.799999999999997,51.4,55.5,43.8,28.9,12.95,66.4
56.2,36.8,22.700000000000003,54.4,59.1,46.349999999999994,31.200000000000003,13.100000000000001,69.55
59.1,38.4,24.450000000000003,56.8,60.2,48.55,32.55,14.399999999999999,71.65
61.3,39.9,25.5,58.7,60.3,50.4,33.7,15.950000000000001,72.8
63.0,40.9,26.35,59.4,60.0,51.5,34.25,16.75,73.3
64.0,41.4,26.35,59.6,59.9,52.2,34.349999999999994,16.9,73.1
63.9,40.8,25.7,58.8,59.1,51.849999999999994,33.6,16.4,72.35
62.3,38.8,23.85,57.1,56.3,50.2,32.05,15.7,70.75
58.5,36.9,22.15,54.3,53.8,47.0,30.45,15.049999999999999,67.1
54.8,35.6,20.95,52.3,51.6,45.150000000000006,29.5,14.5,64.65
52.8,34.6,20.25,51.1,50.5,43.95,28.8,14.05,64.0
51.2,33.9,19.6,50.0,49.5,42.849999999999994,28.15,13.350000000000001,63.4
49.6,33.1,19.049999999999997,49.1,48.7,42.0,27.7,12.95,62.5
48.5,32.5,18.3,48.0,47.8,41.25,27.35,12.55,61.75
47.6,32.0,17.85,47.4,47.1,40.6,27.0,12.3,61.15
46.8,31.6,17.45,46.7,46.5,40.1,26.65,12.05,60.7
46.1,31.2,17.0,46.2,45.8,39.7,26.35,11.85,60.05
45.2,30.7,16.7,45.7,45.5,39.25,26.2,11.5,59.7
44.8,30.2,16.35,45.3,45.0,38.7,25.85,11.25,59.2
43.9,29.9,16.0,44.8,44.7,38.4,25.65,11.05,58.849999999999994
43.1,29.7,15.850000000000001,44.5,44.7,38.1,25.5,11.0,58.6
42.7,29.5,15.5,44.3,44.7,37.9,25.4,11.0,58.349999999999994
45.2,29.9,16.35,44.8,45.3,38.05,25.55,11.149999999999999,59.05
48.9,31.9,18.3,48.0,50.8,40.9,27.55,12.4,62.55
53.2,34.4,20.450000000000003,51.5,55.7,43.8,29.05,12.649999999999999,66.3
56.3,36.6,22.5,54.6,59.2,46.4,31.3,12.8,69.55
59.2,38.4,24.35,56.9,60.5,48.7,32.6,14.15,71.6
61.5,39.7,25.45,58.8,60.5,50.45,33.75,15.7,72.75
63.2,40.8,26.15,59.5,60.2,51.6,34.25,16.55,73.2
64.3,41.2,26.3,59.7,60.0,52.25,34.349999999999994,16.7,73.05
64.3,40.7,25.55,58.9,59.2,52.0,33.650000000000006,16.3,72.3
62.7,38.6,23.85,57.0,56.5,50.2,32.1,15.600000000000001,70.65
58.9,36.8,22.05,54.2,53.9,47.0,30.45,14.95,67.0
55.1,35.5,20.9,52.3,51.8,45.2,29.45,14.45,64.5
53.1,34.5,20.35,51.0,50.7,43.95,28.75,13.9,63.8
51.4,33.8,19.75,49.9,49.6,42.9,28.0,13.2,63.2
49.7,33.1,19.1,48.9,48.8,41.95,27.6,12.75,62.400000000000006
48.7,32.5,18.4,48.0,48.0,41.25,27.25,12.399999999999999,61.6
47.7,31.8,17.9,47.3,47.2,40.7,26.9,12.149999999999999,61.05
47.0,31.2,17.450000000000003,46.7,46.5,40.1,26.5,12.0,60.55
46.2,30.7,17.1,46.2,46.0,39.6,26.3,11.85,59.900000000000006
45.3,30.4,16.75,45.7,45.6,39.2,26.1,11.5,59.45
45.0,30.0,16.4,45.2,45.1,38.75,25.7,11.25,59.05
44.0,29.7,16.1,44.7,44.9,38.3,25.6,11.05,58.55
43.1,29.4,15.95,44.3,44.7,38.0,25.35,11.05,58.3
42.8,29.1,15.65,44.0,44.8,37.7,25.2,11.15,58.15
45.1,29.6,16.450000000000003,44.6,45.4,37.8,25.45,11.149999999999999,58.849999999999994
49.2,31.7,18.25,47.8,50.8,40.650000000000006,27.4,12.15,62.45
53.5,34.2,20.35,51.2,55.7,43.6,28.85,12.3,66.15
56.6,36.7,22.35,54.5,59.4,46.2,31.15,12.55,69.45
59.5,38.3,24.2,56.8,60.6,48.5,32.6,13.95,71.4
61.7,39.4,25.4,58.6,60.7,50.3,33.6,15.5,72.5
63.2,40.5,25.95,59.5,60.4,51.5,34.25,16.5,73.0
64.3,40.9,26.25,59.5,60.2,52.05,34.25,16.65,72.85
64.6,40.6,25.6,58.9,59.4,51.849999999999994,33.6,16.25,72.1
63.0,38.4,23.9,56.8,56.7,50.2,32.1,15.4,70.44999999999999
59.1,36.7,22.05,54.0,54.0,47.0,30.4,14.65,66.80000000000001
55.3,35.2,21.05,52.1,51.9,45.0,29.4,14.05,64.30000000000001
53.3,34.3,20.25,50.8,50.9,43.75,28.7,13.75,63.6
51.5,33.6,19.65,49.7,49.7,42.75,27.9,13.25,63.0
49.8,32.9,19.15,48.8,48.9,41.650000000000006,27.45,12.7,62.2
48.8,32.4,18.5,47.8,48.1,41.0,27.0,12.35,61.4
47.8,31.9,17.95,47.2,47.3,40.5,26.6,12.149999999999999,60.85
47.0,31.3,17.5,46.5,46.6,39.849999999999994,26.3,11.95,60.35
