Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
42.35,25.3,43.650000000000006,17.7,9.2,28.5,58.1,45.45,35.5
42.2,25.05,43.45,17.45,9.25,28.3,57.9,45.150000000000006,35.25
44.0,24.8,43.95,17.4,9.2,28.3,58.9,46.3,35.8
48.1,27.3,47.1,19.85,9.35,29.9,62.4,51.7,38.95
52.45,30.9,50.25,22.2,10.25,32.1,65.8,57.7,41.849999999999994
55.9,33.8,52.75,24.700000000000003,12.100000000000001,33.8,69.2,59.8,44.55
58.75,36.05,55.0,26.3,14.399999999999999,35.3,71.5,62.0,46.7
60.95,37.7,56.7,27.65,15.950000000000001,36.3,72.4,62.6,48.25
62.25,38.9,57.650000000000006,28.75,16.75,36.9,72.6,62.2,49.4
63.2,39.2,58.4,28.95,16.9,37.0,72.1,61.75,49.95
63.55,38.6,58.05,27.7,16.4,36.1,71.3,60.400000000000006,49.55
61.45,36.1,56.150000000000006,25.5,15.7,34.9,69.9,57.3,47.7
57.25,33.5,53.25,23.8,13.8,33.7,66.7,54.5,45.0
54.400000000000006,31.35,51.0,22.75,12.2,32.6,64.4,52.15,42.8
52.5,30.3,49.4,21.75,11.1,32.0,63.5,50.95,41.7
50.55,29.45,48.45,21.1,10.350000000000001,31.4,62.8,49.8,40.7
49.1,28.7,47.6,20.5,9.8,31.0,62.0,48.9,39.8
47.65,28.2,46.75,20.05,9.75,30.7,61.6,48.35,39.150000000000006
46.6,27.65,46.25,19.55,9.7,30.5,60.9,47.55,38.45
45.7,27.2,45.7,19.1,9.65,30.0,60.4,47.2,37.75
44.5,26.65,45.0,18.6,9.6,29.8,59.8,46.95,37.4
43.75,26.2,44.5,18.25,9.2,29.5,59.3,46.55,36.849999999999994
43.5,25.8,44.1,17.9,9.05,29.2,58.7,46.25,36.4
43.1,25.4,43.7,17.700000000000003,9.05,28.9,58.4,46.0,36.1
42.6,25.05,43.5,17.45,9.15,28.7,58.0,45.8,35.7
42.400000000000006,24.75,43.2,17.25,9.15,28.5,57.9,45.45,35.4
44.3,24.85,43.9,17.2,9.25,28.6,58.9,46.6,36.05
48.3,27.25,47.1,19.700000000000003,9.25,30.2,62.3,51.95,39.05
52.75,30.6,50.25,22.0,10.1,32.3,65.9,57.75,41.9
56.2,33.6,52.8,24.6,12.0,34.0,69.2,59.95,44.7
59.150000000000006,35.650000000000006,55.05,26.25,14.15,35.4,71.5,62.15,46.8
61.3,37.35,56.8,27.5,15.7,36.2,72.3,62.7,48.25
62.650000000000006,38.45,57.8,28.65,16.55,37.0,72.4,62.25,49.5
63.6,38.8,58.349999999999994,28.6,16.7,36.9,72.0,61.9,49.95
63.949999999999996,38.1,58.05,27.7,16.3,36.2,71.2,60.599999999999994,49.5
61.9,36.0,56.150000000000006,25.55,15.600000000000001,35.0,69.7,57.45,47.9
57.6,33.05,53.2,23.7,13.65,33.6,66.6,54.55,45.0
54.75,31.25,50.8,22.7,12.15,32.7,64.3,52.3,42.95
52.7,30.1,49.349999999999994,21.8,11.05,32.0,63.4,51.15,41.8
50.849999999999994,29.15,48.349999999999994,21.0,10.35,31.4,62.7,49.95,40.849999999999994
49.25,28.35,47.5,20.4,9.600000000000001,31.0,61.8,49.0,39.75
47.85,27.7,46.75,19.85,9.6,30.6,61.5,48.4,39.2
46.85,27.2,46.150000000000006,19.4,9.55,30.3,60.7,47.65,38.5
45.900000000000006,26.65,45.55,18.95,9.55,30.1,60.3,47.25,37.8
44.650000000000006,26.2,45.0,18.5,9.649999999999999,29.7,59.7,46.95,37.349999999999994
43.95,25.7,44.45,18.2,9.25,29.4,59.2,46.55,36.9
43.7,25.3,44.1,17.9,9.1,29.1,58.6,46.25,36.45
43.150000000000006,24.95,43.7,17.6,9.1,28.9,58.3,46.0,36.150000000000006
42.6,24.6,43.4,17.3,9.25,28.7,57.8,45.8,35.8
42.400000000000006,24.35,43.150000000000006,17.0,9.3,28.5,57.7,45.5,35.349999999999994
44.5,24.7,43.849999999999994,17.1,9.3,28.5,58.7,46.7,36.0
48.55,27.1,47.0,19.75,9.15,30.1,62.1,52.05,38.9
53.0,30.5,50.0,22.1,10.05,32.2,65.7,57.95,41.849999999999994
56.5,33.150000000000006,52.5,24.6,12.0,33.8,69.0,60.0,44.4
59.4,35.25,55.0,26.4,13.95,35.4,71.3,62.25,46.55
61.6,37.05,56.65,27.65,15.5,36.4,72.1,62.9,48.3
63.0,38.150000000000006,57.6,28.9,16.5,37.0,72.2,62.4,49.25
63.849999999999994,38.5,58.2,28.9,16.65,37.0,71.7,62.05,49.7
64.25,38.0,57.9,28.1,16.25,36.3,70.9,60.95,49.25
62.25,35.95,56.0,25.75,15.4,35.0,69.5,57.7,47.849999999999994
57.9,32.849999999999994,53.0,23.7,13.5,33.7,66.3,54.8,44.849999999999994
54.95,31.2,50.6,22.65,11.95,32.7,64.0,52.45,42.95
53.05,30.0,49.150000000000006,21.7,10.75,32.0,63.2,51.3,41.7
51.05,29.0,48.2,21.15,10.1,31.5,62.5,50.1,40.7
49.45,28.3,47.1,20.299999999999997,9.4,31.0,61.6,49.150000000000006,39.75
48.099999999999994,27.8,46.55,19.799999999999997,9.4,30.5,61.3,48.5,39.1
47.0,27.2,45.9,19.4,9.45,30.4,60.6,47.75,38.4
46.0,26.6,45.349999999999994,18.95,9.4,29.9,60.1,47.35,37.7
44.849999999999994,26.200000000000003,44.8,18.5,9.35,29.6,59.5,47.05,37.25
44.15,25.700000000000003,44.349999999999994,18.2,9.0,29.3,58.9,46.65,36.75
43.9,25.25,43.8,17.85,8.899999999999999,29.0,58.3,46.3,36.2
43.4,24.95,43.4,17.55,8.85,28.7,58.0,46.15,35.849999999999994
42.8,24.700000000000003,43.150000000000006,17.25,8.95,28.4,57.5,45.900000000000006,35.55
42.65,24.4,42.75,17.0,9.05,28.2,57.5,45.650000000000006,35.2
44.6,24.75,43.6,17.1,9.0,28.3,58.6,46.95,35.8
48.7,27.2,46.8,19.65,9.0,29.9,61.9,52.3,38.55
53.150000000000006,30.6,49.849999999999994,22.15,9.9,31.8,65.5,58.2,41.45
56.7,33.05,52.45,24.7,11.8,33.6,68.7,60.3,44.1
59.55,35.2,54.8,26.45,13.55,35.2,71.0,62.45,46.4
61.849999999999994,36.849999999999994,56.599999999999994,27.799999999999997,15.15,36.3,71.8,63.25,48.1
63.2,38.150000000000006,57.6,28.9,16.4,36.9,72.0,62.8,49.3
64.15,38.55,58.150000000000006,29.05,16.6,37.0,71.5,62.4,49.75
64.44999999999999,38.0,57.8,28.3,16.05,36.2,70.7,61.25,49.3
62.45,36.0,55.95,26.05,15.25,34.9,69.2,58.0,48.0
58.150000000000006,32.9,52.8,23.95,13.5,33.7,66.0,55.05,44.9
55.349999999999994,30.95,50.3,22.85,11.95,32.6,63.6,52.55,42.9
